alpha,fold,sigma68_ns,n_pair_residuals,heldout_run,selector,stratum_train_runs,heldout_stratum
0.01,0,2.244789016812732,2289,58,median_first4,59 63 65,low_rate
0.01,1,1.7740663123685603,1110,58,median_first4,59 63 65,low_rate
0.01,2,1.9727544494582736,198,58,median_first4,59 63 65,low_rate
0.01,-1,1.997203259546522,0,58,median_first4,59 63 65,low_rate
0.1,0,2.234363101542937,2289,58,median_first4,59 63 65,low_rate
0.1,1,1.7710674284054064,1110,58,median_first4,59 63 65,low_rate
0.1,2,1.9718389365315674,198,58,median_first4,59 63 65,low_rate
0.1,-1,1.9924231554933034,0,58,median_first4,59 63 65,low_rate
1.0,0,2.211723071439678,2289,58,median_first4,59 63 65,low_rate
1.0,1,1.7890308640131976,1110,58,median_first4,59 63 65,low_rate
1.0,2,1.9684421106204228,198,58,median_first4,59 63 65,low_rate
1.0,-1,1.989732015357766,0,58,median_first4,59 63 65,low_rate
10.0,0,2.1377428489434687,2289,58,median_first4,59 63 65,low_rate
10.0,1,1.7414617192344215,1110,58,median_first4,59 63 65,low_rate
10.0,2,1.8834498109821034,198,58,median_first4,59 63 65,low_rate
10.0,-1,1.9208847930533313,0,58,median_first4,59 63 65,low_rate
100.0,0,1.8459633469276342,2289,58,median_first4,59 63 65,low_rate
100.0,1,1.692987248292065,1110,58,median_first4,59 63 65,low_rate
100.0,2,1.7174153856039769,198,58,median_first4,59 63 65,low_rate
100.0,-1,1.752121993607892,0,58,median_first4,59 63 65,low_rate
0.01,0,2.3855038899008156,2799,59,median_first4,60 61 62,mid_rate
0.01,1,1.9295675807217407,2424,59,median_first4,60 61 62,mid_rate
0.01,2,1.944452963311803,2421,59,median_first4,60 61 62,mid_rate
0.01,-1,2.0865081446447866,0,59,median_first4,60 61 62,mid_rate
0.1,0,2.384872377332416,2799,59,median_first4,60 61 62,mid_rate
0.1,1,1.9278570658007619,2424,59,median_first4,60 61 62,mid_rate
0.1,2,1.9434174634793002,2421,59,median_first4,60 61 62,mid_rate
0.1,-1,2.0853823022041595,0,59,median_first4,60 61 62,mid_rate
1.0,0,2.3778110913506603,2799,59,median_first4,60 61 62,mid_rate
1.0,1,1.9223181208087547,2424,59,median_first4,60 61 62,mid_rate
1.0,2,1.935045200055787,2421,59,median_first4,60 61 62,mid_rate
1.0,-1,2.0783914707384006,0,59,median_first4,60 61 62,mid_rate
10.0,0,2.3541856866840547,2799,59,median_first4,60 61 62,mid_rate
10.0,1,1.8959188062369179,2424,59,median_first4,60 61 62,mid_rate
10.0,2,1.9215664554585488,2421,59,median_first4,60 61 62,mid_rate
10.0,-1,2.0572236494598406,0,59,median_first4,60 61 62,mid_rate
100.0,0,2.286399726323011,2799,59,median_first4,60 61 62,mid_rate
