method,spacing_cm,split,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf,heldout_run,selector,stratum_train_runs,heldout_stratum
le500,2.0,train,3597,-1.370292123017613,4.4379492170822505,6.916291573222732,0.24353628023352794,215.4571567072298,0.7198267484168644,58,median_first4,59 63 65,low_rate
le500,2.0,heldout,219,-2.001406462295705,4.276464547244176,4.253314208378284,0.2237442922374429,0.8147152005573083,1.2817323849569138,58,median_first4,59 63 65,low_rate
cfd10,2.0,train,3597,-2.846774745853402,3.3123414254449233,6.51537046193582,0.04837364470391994,270.7022408805994,7.379414672253682,58,median_first4,59 63 65,low_rate
cfd10,2.0,heldout,219,-2.6568637902402656,3.2704806590066764,14.991371260708931,0.0593607305936073,2.053333860757785,0.9899751493293615,58,median_first4,59 63 65,low_rate
cfd20,2.0,train,3597,-3.0738390685192343,3.2529817479834167,5.930135123400425,0.07089241034195162,361.2115800580548,9.222395415552064,58,median_first4,59 63 65,low_rate
cfd20,2.0,heldout,219,-3.2272342149502435,3.1154211816170307,4.88610097512565,0.0730593607305936,314.71073303563577,1.4965312275034803,58,median_first4,59 63 65,low_rate
cfd30,2.0,train,3597,-2.914599620627971,3.3302080023408904,5.923237013305243,0.09869335557408952,302.3360916313934,7.9877176930554015,58,median_first4,59 63 65,low_rate
cfd30,2.0,heldout,219,-2.6954781809695874,3.201911704605976,5.071954464482122,0.0867579908675799,153.73568652731564,1.3315079969257204,58,median_first4,59 63 65,low_rate
cfd40,2.0,train,3597,-2.7206921837450615,3.4986697890172174,6.0897300700938075,0.12621629135390602,220.6610054034511,5.991869406257343,58,median_first4,59 63 65,low_rate
cfd40,2.0,heldout,219,-2.485968257783192,3.2812253435530834,5.267355331128638,0.1095890410958904,2.67384769603452,1.335135314551903,58,median_first4,59 63 65,low_rate
cfd50,2.0,train,3597,-2.4152010965251023,3.716548008762161,7.340154295043593,0.15207117041979426,1.3682000094063673,3.496958598356817,58,median_first4,59 63 65,low_rate
cfd50,2.0,heldout,219,-2.2314567085261174,3.5303095172513093,3.5619471464817627,0.1461187214611872,144.02472504019454,1.640965991847175,58,median_first4,59 63 65,low_rate
template_phase,2.0,train,3597,-4.127234772861918,2.825281300973799,3.3033288552816757,0.10842368640533778,7.706806952157573,85.71197708605513,58,median_first4,59 63 65,low_rate
template_phase,2.0,heldout,219,-4.127234772861925,2.586945215516622,3.4839887411900183,0.0776255707762557,4.297103709147503,5.1200459859994,58,median_first4,59 63 65,low_rate
of_1_9,2.0,train,3597,-3.4129850945914413,3.4518843024362242,3.832962975165468,0.1581873783708646,157.27571824380698,6.882614376485701,58,median_first4,59 63 65,low_rate
of_1_9,2.0,heldout,219,-2.7227064428858085,3.9546631421475182,3.9036628604425982,0.2191780821917808,6.824133234082807,1.8148568900339326,58,median_first4,59 63 65,low_rate
of_2_10,2.0,train,3597,-3.5416172356003983,3.4556851257748953,3.8572585279905063,0.1662496524881846,22.556871326209087,5.972645365785754,58,median_first4,59 63 65,low_rate
