method,family,separation_ns,good_recovery_fraction,n_positive
amplitude_binned_asymmetric_template_fit,traditional,5.0,0.3116883116883117,77
amplitude_binned_asymmetric_template_fit,traditional,7.5,0.3230769230769231,65
amplitude_binned_asymmetric_template_fit,traditional,10.0,0.3181818181818182,66
amplitude_binned_asymmetric_template_fit,traditional,15.0,0.3442622950819672,61
amplitude_binned_asymmetric_template_fit,traditional,20.0,0.20270270270270271,74
amplitude_binned_asymmetric_template_fit,traditional,30.0,0.23809523809523808,63
amplitude_binned_asymmetric_template_fit,traditional,40.0,0.3283582089552239,67
amplitude_binned_asymmetric_template_fit,traditional,50.0,0.3793103448275862,58
amplitude_binned_asymmetric_template_fit,traditional,60.0,0.43478260869565216,69
ridge_logistic_plus_ridge_regression,ml,5.0,0.4155844155844156,77
ridge_logistic_plus_ridge_regression,ml,7.5,0.38461538461538464,65
ridge_logistic_plus_ridge_regression,ml,10.0,0.5,66
ridge_logistic_plus_ridge_regression,ml,15.0,0.45901639344262296,61
ridge_logistic_plus_ridge_regression,ml,20.0,0.581081081081081,74
ridge_logistic_plus_ridge_regression,ml,30.0,0.6031746031746031,63
ridge_logistic_plus_ridge_regression,ml,40.0,0.5522388059701493,67
ridge_logistic_plus_ridge_regression,ml,50.0,0.4827586206896552,58
ridge_logistic_plus_ridge_regression,ml,60.0,0.30434782608695654,69
hist_gradient_boosted_trees,ml,5.0,0.4805194805194805,77
hist_gradient_boosted_trees,ml,7.5,0.4307692307692308,65
hist_gradient_boosted_trees,ml,10.0,0.6060606060606061,66
hist_gradient_boosted_trees,ml,15.0,0.5245901639344263,61
hist_gradient_boosted_trees,ml,20.0,0.6081081081081081,74
hist_gradient_boosted_trees,ml,30.0,0.6031746031746031,63
hist_gradient_boosted_trees,ml,40.0,0.582089552238806,67
hist_gradient_boosted_trees,ml,50.0,0.7758620689655172,58
hist_gradient_boosted_trees,ml,60.0,0.5362318840579711,69
compact_mlp_classifier_regressor,ml,5.0,0.4155844155844156,77
compact_mlp_classifier_regressor,ml,7.5,0.35384615384615387,65
compact_mlp_classifier_regressor,ml,10.0,0.5303030303030303,66
compact_mlp_classifier_regressor,ml,15.0,0.36065573770491804,61
compact_mlp_classifier_regressor,ml,20.0,0.5135135135135135,74
compact_mlp_classifier_regressor,ml,30.0,0.5238095238095238,63
compact_mlp_classifier_regressor,ml,40.0,0.43283582089552236,67
compact_mlp_classifier_regressor,ml,50.0,0.6206896551724138,58
compact_mlp_classifier_regressor,ml,60.0,0.42028985507246375,69
one_dimensional_cnn,nn,5.0,0.09090909090909091,77
one_dimensional_cnn,nn,7.5,0.0,65
one_dimensional_cnn,nn,10.0,0.19696969696969696,66
one_dimensional_cnn,nn,15.0,0.21311475409836064,61
one_dimensional_cnn,nn,20.0,0.44594594594594594,74
one_dimensional_cnn,nn,30.0,0.6031746031746031,63
one_dimensional_cnn,nn,40.0,0.373134328358209,67
one_dimensional_cnn,nn,50.0,0.1724137931034483,58
one_dimensional_cnn,nn,60.0,0.014492753623188406,69
attention_waveform_encoder,new_architecture,5.0,0.11688311688311688,77
attention_waveform_encoder,new_architecture,7.5,0.12307692307692308,65
attention_waveform_encoder,new_architecture,10.0,0.24242424242424243,66
attention_waveform_encoder,new_architecture,15.0,0.3770491803278688,61
attention_waveform_encoder,new_architecture,20.0,0.4189189189189189,74
attention_waveform_encoder,new_architecture,30.0,0.6190476190476191,63
attention_waveform_encoder,new_architecture,40.0,0.373134328358209,67
attention_waveform_encoder,new_architecture,50.0,0.1896551724137931,58
attention_waveform_encoder,new_architecture,60.0,0.057971014492753624,69
