stratum,heldout_run,base_method,s03a_candidate,s03a_alpha,signed_candidate,hgb_cv_sigma68_ns,mlp_hidden,cnn_channels
median_selected,58,template_phase,amp_only,10.0,inv_amp,1.5442343801128064,16,4
median_selected,59,template_phase,amp_only,0.01,inv_amp,1.5526251631141763,16,4
median_selected,60,template_phase,amp_only,0.01,inv_amp,1.506892300289853,16,4
median_selected,61,template_phase,amp_only,0.0,inv_amp,1.4511139876513268,16,4
median_selected,62,template_phase,amp_only,0.01,inv_amp,1.5157389847959446,16,4
median_selected,63,template_phase,amp_only,0.01,inv_amp,1.51922032491608,16,4
median_selected,65,template_phase,amp_only,0.1,inv_amp,1.5479163617996665,16,4
dynamic_only,58,template_phase,amp_only,10.0,inv_sqrt_amp,2.757947028730242,16,4
dynamic_only,59,template_phase,amp_only,10.0,inv_sqrt_plus_inv_amp,2.8469764821543433,16,4
dynamic_only,60,template_phase,amp_only,10.0,inv_sqrt_plus_inv_amp,3.020037733441465,16,4
dynamic_only,61,template_phase,amp_only,10.0,inv_amp,2.603748177928926,16,4
dynamic_only,62,template_phase,amp_only,10.0,inv_sqrt_plus_inv_amp,2.7346965289918934,16,4
dynamic_only,63,template_phase,amp_only,10.0,inv_sqrt_amp,2.820301083545802,16,4
dynamic_only,65,template_phase,amp_only,10.0,inv_sqrt_amp,2.8611112312846525,16,4
matched_control,58,template_phase,amp_only,10.0,inv_sqrt_amp,1.9474803381347499,16,4
matched_control,59,template_phase,amp_only,10.0,inv_sqrt_amp,1.567866212744586,16,4
matched_control,60,template_phase,amp_only,10.0,inv_amp,1.6004992961992701,16,4
matched_control,61,template_phase,amp_only,10.0,inv_amp,1.6955139841821496,16,4
matched_control,62,template_phase,amp_only,10.0,inv_sqrt_plus_inv_amp,1.4463134741277741,16,4
matched_control,63,template_phase,amp_only,10.0,inv_sqrt_amp,1.5759210637613705,16,4
matched_control,65,template_phase,amp_only,10.0,inv_sqrt_amp,1.5451744937132175,16,4
