population,current_group,dynamic_topology,n,secondary_fraction,timing_tail_fraction,median_dynamic_amp_adc
dynamic_baseline_excursion,high_20nA,B2_only,37531,2.664464043057739e-05,0.0,3512.0
dynamic_baseline_excursion,high_20nA,B2_plus_one_downstream,10387,0.0,0.0,3165.0
dynamic_baseline_excursion,high_20nA,B2_plus_ge2_downstream,5938,0.0,0.7733243516335466,2891.0
dynamic_baseline_excursion,high_20nA,all_four,3849,0.0,0.20706677058976358,2531.0
dynamic_baseline_excursion,high_20nA,B4_only,550,0.0,0.0,1572.5
dynamic_baseline_excursion,low_2nA,B2_only,360,0.0,0.0,3459.0
dynamic_baseline_excursion,high_20nA,B6_only,283,0.0,0.0,1804.0
dynamic_baseline_excursion,high_20nA,B8_only,253,0.0,0.0,1611.0
dynamic_baseline_excursion,high_20nA,downstream_ge2,81,0.0,0.7654320987654321,2430.0
dynamic_baseline_excursion,low_2nA,B2_plus_one_downstream,17,0.0,0.0,3470.0
dynamic_baseline_excursion,high_20nA,all_downstream,8,0.0,0.0,1661.5
dynamic_baseline_excursion,low_2nA,B2_plus_ge2_downstream,8,0.0,1.0,3012.5
dynamic_baseline_excursion,low_2nA,all_four,6,0.0,0.0,2441.5
dynamic_baseline_excursion,low_2nA,B6_only,2,0.0,0.0,2267.0
dynamic_baseline_excursion,low_2nA,B4_only,1,0.0,0.0,2278.0
dynamic_baseline_excursion,low_2nA,B8_only,1,0.0,0.0,3110.0
matched_s00_control,high_20nA,B2_only,37531,0.12096666755482134,0.0,3476.0
matched_s00_control,high_20nA,B2_plus_one_downstream,10387,0.0851063829787234,0.0,3225.0
matched_s00_control,high_20nA,B2_plus_ge2_downstream,5938,0.06180532165712361,0.9516672280229034,2911.0
matched_s00_control,high_20nA,all_four,3849,0.03247596778383996,0.5061054819433619,2572.0
matched_s00_control,high_20nA,B4_only,550,0.014545454545454545,0.0,1589.5
matched_s00_control,low_2nA,B2_only,360,0.12222222222222222,0.0,3420.0
matched_s00_control,high_20nA,B6_only,283,0.045936395759717315,0.0,1806.0
matched_s00_control,high_20nA,B8_only,253,0.043478260869565216,0.0,1675.0
matched_s00_control,high_20nA,downstream_ge2,81,0.037037037037037035,0.9012345679012346,2292.0
matched_s00_control,low_2nA,B2_plus_one_downstream,17,0.11764705882352941,0.0,3472.0
matched_s00_control,high_20nA,all_downstream,8,0.0,0.625,1766.0
matched_s00_control,low_2nA,B2_plus_ge2_downstream,8,0.125,1.0,3283.5
matched_s00_control,low_2nA,all_four,6,0.0,0.3333333333333333,2880.0
matched_s00_control,low_2nA,B6_only,2,0.0,0.0,2544.0
matched_s00_control,low_2nA,B4_only,1,0.0,0.0,2861.0
matched_s00_control,low_2nA,B8_only,1,0.0,0.0,3484.0
