pool,comparison,delta_median_ns,ci_low_ns,ci_high_ns,p_value
run64_only,ridge_minus_traditional,-0.15364517885083817,-0.45382914260567964,0.3510406125575888,0.518
run64_only,gradient_boosted_trees_minus_traditional,-0.14815614817117106,-0.45381038974961685,0.3532462910805676,0.502
run64_only,mlp_minus_traditional,-0.15883414125104423,-0.4413850050429823,0.3053989959538629,0.452
run64_only,cnn1d_minus_traditional,-0.14318425946846913,-0.45381038974961685,0.30065889552871816,0.534
run64_only,support_gated_cnn_minus_traditional,-0.13751013987372485,-0.4492522150090998,0.3230780743323266,0.522
sample_iii_early,ridge_minus_traditional,-0.0545375081619659,-0.19723332302869667,0.13195842066074703,0.472
sample_iii_early,gradient_boosted_trees_minus_traditional,-0.012555720075698051,-0.19939696033288795,0.19686434048183638,0.896
sample_iii_early,mlp_minus_traditional,0.21819290363809385,-0.06476121215240609,0.7320023854521629,0.158
sample_iii_early,cnn1d_minus_traditional,0.010049631306648044,-0.2808128194892525,0.45095793632528136,0.948
sample_iii_early,support_gated_cnn_minus_traditional,0.1341788824024449,-0.06004480914064514,0.950228438981608,0.184
sample_iii_late,ridge_minus_traditional,0.7656879054019752,0.3891950886293041,1.428281961101419,0.0
sample_iii_late,gradient_boosted_trees_minus_traditional,-0.02203800509589282,-0.18602578901824196,0.15471877099669895,0.812
sample_iii_late,mlp_minus_traditional,-0.09094379407092312,-0.22850042112430627,0.0536975280995271,0.212
sample_iii_late,cnn1d_minus_traditional,0.24849564537401791,-0.009208100249446738,0.4911024773052411,0.052
sample_iii_late,support_gated_cnn_minus_traditional,0.000337702631309833,-0.1634904392364318,0.8519333078971737,0.998
sample_iii_mixed,ridge_minus_traditional,0.37055425341861703,0.06725794573508481,0.8564498871725543,0.012
sample_iii_mixed,gradient_boosted_trees_minus_traditional,-0.12469072981334062,-0.2657333194055758,0.08690059433513042,0.2
sample_iii_mixed,mlp_minus_traditional,0.5247682747591729,0.15671246627189872,1.7484204365777536,0.002
sample_iii_mixed,cnn1d_minus_traditional,-0.27366442753044196,-0.5079816006672574,0.13627389928111597,0.2
sample_iii_mixed,support_gated_cnn_minus_traditional,0.048654078284535274,-0.22375978069107078,0.46587338652012683,0.676
