search_root,path,kind,suffix,bytes,is_source_like,conversion_token_hit
data,data/root/root/hrda_run_0000.root,filesystem,.root,5508,False,root
data,data/root/root/hrda_run_0001.root,filesystem,.root,5508,False,root
data,data/root/root/hrda_run_0002.root,filesystem,.root,5508,False,root
data,data/root/root/hrda_run_0003.root,filesystem,.root,5508,False,root
data,data/root/root/hrda_run_0012.root,filesystem,.root,3578244,False,root
data,data/root/root/hrda_run_0013.root,filesystem,.root,12145402,False,root
data,data/root/root/hrda_run_0014.root,filesystem,.root,837346,False,root
data,data/root/root/hrda_run_0015.root,filesystem,.root,24746939,False,root
data,data/root/root/hrda_run_0016.root,filesystem,.root,2874850,False,root
data,data/root/root/hrda_run_0017.root,filesystem,.root,1365754,False,root
data,data/root/root/hrda_run_0018.root,filesystem,.root,18111007,False,root
data,data/root/root/hrda_run_0019.root,filesystem,.root,17810450,False,root
data,data/root/root/hrda_run_0020.root,filesystem,.root,13971057,False,root
data,data/root/root/hrda_run_0021.root,filesystem,.root,5508,False,root
data,data/root/root/hrda_run_0022.root,filesystem,.root,5508,False,root
data,data/root/root/hrda_run_0023.root,filesystem,.root,944893,False,root
data,data/root/root/hrda_run_0024.root,filesystem,.root,6184513,False,root
data,data/root/root/hrda_run_0025.root,filesystem,.root,828833,False,root
data,data/root/root/hrda_run_0026.root,filesystem,.root,13404039,False,root
data,data/root/root/hrda_run_0027.root,filesystem,.root,8618874,False,root
data,data/root/root/hrda_run_0028.root,filesystem,.root,1292921,False,root
data,data/root/root/hrda_run_0029.root,filesystem,.root,6393883,False,root
data,data/root/root/hrda_run_0030.root,filesystem,.root,1303672,False,root
data,data/root/root/hrda_run_0031.root,filesystem,.root,9888079,False,root
data,data/root/root/hrda_run_0032.root,filesystem,.root,10365191,False,root
data,data/root/root/hrda_run_0033.root,filesystem,.root,13980468,False,root
data,data/root/root/hrda_run_0034.root,filesystem,.root,9685894,False,root
data,data/root/root/hrda_run_0035.root,filesystem,.root,6906038,False,root
data,data/root/root/hrda_run_0036.root,filesystem,.root,5406671,False,root
data,data/root/root/hrda_run_0037.root,filesystem,.root,12558688,False,root
data,data/root/root/hrda_run_0039.root,filesystem,.root,7551093,False,root
data,data/root/root/hrda_run_0040.root,filesystem,.root,8132296,False,root
data,data/root/root/hrda_run_0041.root,filesystem,.root,8476807,False,root
data,data/root/root/hrda_run_0042.root,filesystem,.root,8439631,False,root
data,data/root/root/hrda_run_0043.root,filesystem,.root,9816,False,root
data,data/root/root/hrda_run_0044.root,filesystem,.root,1072439,False,root
data,data/root/root/hrda_run_0045.root,filesystem,.root,11978439,False,root
data,data/root/root/hrda_run_0046.root,filesystem,.root,363504,False,root
data,data/root/root/hrda_run_0047.root,filesystem,.root,2725102,False,root
data,data/root/root/hrda_run_0048.root,filesystem,.root,7883395,False,root
data,data/root/root/hrda_run_0049.root,filesystem,.root,8041307,False,root
data,data/root/root/hrda_run_0050.root,filesystem,.root,10925423,False,root
data,data/root/root/hrda_run_0051.root,filesystem,.root,5005769,False,root
data,data/root/root/hrda_run_0052.root,filesystem,.root,2440882,False,root
data,data/root/root/hrda_run_0053.root,filesystem,.root,9656826,False,root
data,data/root/root/hrda_run_0054.root,filesystem,.root,9124046,False,root
data,data/root/root/hrda_run_0055.root,filesystem,.root,5958441,False,root
data,data/root/root/hrda_run_0056.root,filesystem,.root,12667291,False,root
data,data/root/root/hrda_run_0057.root,filesystem,.root,7791169,False,root
data,data/root/root/hrda_run_0058.root,filesystem,.root,8355851,False,root
data,data/root/root/hrda_run_0059.root,filesystem,.root,10400361,False,root
data,data/root/root/hrda_run_0060.root,filesystem,.root,8889565,False,root
data,data/root/root/hrda_run_0061.root,filesystem,.root,8999644,False,root
data,data/root/root/hrda_run_0062.root,filesystem,.root,9250458,False,root
data,data/root/root/hrda_run_0063.root,filesystem,.root,9118926,False,root
