pool,comparison,delta_median_ns,ci_low_ns,ci_high_ns,p_value
run64_only,ridge_minus_traditional,-0.15617141036353244,-0.44717367376646155,0.32570909972114487,0.494
run64_only,gradient_boosted_trees_minus_traditional,-0.1370190593960059,-0.44187354343967616,0.31663184467631417,0.49
run64_only,mlp_minus_traditional,-0.14837119158994871,-0.46696432100276036,0.31625270324689214,0.502
run64_only,cnn_1d_minus_traditional,-0.15120008685073927,-0.46010406664816683,0.34811016651443016,0.48
run64_only,composition_gated_cnn_minus_traditional,-0.13881821488406754,-0.45381038974961685,0.30120255143055236,0.518
sample_iii_early,ridge_minus_traditional,-0.059252851011675434,-0.21498304300790733,0.13793599685110247,0.456
sample_iii_early,gradient_boosted_trees_minus_traditional,-0.011671814547062231,-0.21105826471010744,0.1945038140950089,0.908
sample_iii_early,mlp_minus_traditional,0.03182600892274556,-0.16634520200624534,0.3335823952453858,0.812
sample_iii_early,cnn_1d_minus_traditional,0.12584955014909716,-0.33032146454676764,0.6279646334418646,0.614
sample_iii_early,composition_gated_cnn_minus_traditional,0.10567908734461362,-0.11454175260594447,0.5334489617424653,0.366
sample_iii_late,ridge_minus_traditional,0.7496964812286575,0.4009478476424917,1.370504819479818,0.0
sample_iii_late,gradient_boosted_trees_minus_traditional,-0.04085629889175535,-0.24321459464033784,0.13304660551526362,0.65
sample_iii_late,mlp_minus_traditional,1.1997502180965307,0.20537776642116162,2.3148338769443635,0.004
sample_iii_late,cnn_1d_minus_traditional,0.26431970579568653,0.07596497564157562,0.5847438212201085,0.02
sample_iii_late,composition_gated_cnn_minus_traditional,1.1142070728969053,0.29266022187891977,1.8514351693177178,0.002
sample_iii_mixed,ridge_minus_traditional,0.3787373065118096,0.06893659704232857,0.8422917673997423,0.014
sample_iii_mixed,gradient_boosted_trees_minus_traditional,-0.1337165498580205,-0.26614994659428554,0.053171719930549255,0.178
sample_iii_mixed,mlp_minus_traditional,1.1499847177107454,0.35404440841744017,1.9417281713499834,0.002
sample_iii_mixed,cnn_1d_minus_traditional,-0.13687613198418425,-0.390127844747036,0.3938908395000586,0.568
sample_iii_mixed,composition_gated_cnn_minus_traditional,-0.35952803398730393,-0.587190752638696,0.030875067806684246,0.06
