method,family,baseline,n_heldout_runs,n_pair_residuals,sigma68_ns,full_rms_ns,abs_residual_p95_ns,tail_frac_vs_traditional_p95,ci_low,ci_high,delta_vs_traditional_ns,delta_ci_low,delta_ci_high
hgb_waveform_amp_shape_stave,ml,analytic_timewalk,7,11460,1.1074168319603352,2.1317098900814804,2.669437658152637,0.020331588132635255,1.0753128562649419,1.1587926292593722,-0.44367487901744806,-0.8423304626565126,-0.2411823439777396
hgb_waveform_stave_onehot,ml,analytic_timewalk,7,11460,1.1260651138120898,2.195510828604088,2.800442844240211,0.021465968586387434,1.089058455891008,1.1847271664978443,-0.42502659716569346,-0.8291053603867014,-0.20510800121477302
hgb_stave_offset_guardrail,stave_offset_guardrail,analytic_timewalk,7,11460,1.1515617974183487,2.1949921415982527,2.849590319230935,0.021727748691099478,1.1100657714995303,1.206898463762528,-0.39952991355943457,-0.80474922380825,-0.16538114200381596
mlp_waveform_amp_shape_stave,ml,analytic_timewalk,7,11460,1.1621031570716447,2.4585173124548265,2.782975597700919,0.02050610820244328,1.1061991449765272,1.235245035258476,-0.3889885539061386,-0.8184009210490939,-0.16695638001393462
mlp_waveform_stave_onehot,ml,analytic_timewalk,7,11460,1.2254469841971243,2.376141859394621,3.0377417475545556,0.026090750436300176,1.180003591050935,1.2747638922858748,-0.32564472678065903,-0.7347538031626756,-0.12159642232069255
ridge_waveform_stave_onehot,ml,analytic_timewalk,7,11460,1.2444150772855516,2.4073486016315884,3.0837154861799867,0.026788830715532286,1.172926649044516,1.3217800430542,-0.30667663369223175,-0.7387226793329384,-0.08920621441406591
feature_gated_waveform_amp_shape_stave,ml,analytic_timewalk,7,11460,1.2534910448640963,2.435128923379325,3.0512797963236813,0.027399650959860383,1.2133394613512092,1.3081171553632718,-0.29760066611368696,-0.671199831006395,-0.09478203948977046
feature_gated_waveform_stave_onehot,ml,analytic_timewalk,7,11460,1.2550514608749264,2.4280740007014896,3.123639855937684,0.02774869109947644,1.2120891321945366,1.320634132257328,-0.29604025010285695,-0.6696824743219987,-0.1053884590306578
ridge_stave_offset_guardrail,stave_offset_guardrail,analytic_timewalk,7,11460,1.2625941235877183,2.4234656638070047,3.172449193826774,0.029842931937172777,1.2021024584418163,1.326248890299597,-0.28849758739006504,-0.7171129798783517,-0.08923376966885108
cnn1d_waveform_amp_shape_stave,ml,analytic_timewalk,7,11460,1.2638650117356276,2.436014836029494,3.1054911119726527,0.02801047120418848,1.2120442894143655,1.3427688679752086,-0.2872266992421557,-0.685886221617476,-0.08592466273492591
ridge_waveform_amp_shape_stave,ml,analytic_timewalk,7,11460,1.327934130188251,2.4521262839737394,3.0115962664661553,0.02530541012216405,1.2811024298566658,1.3808451348826447,-0.2231575807895323,-0.6366676520417048,-0.00608294147340209
cnn1d_waveform_stave_onehot,ml,analytic_timewalk,7,11460,1.3753067955664573,2.5376504182377024,3.449918117291089,0.03821989528795811,1.3318948135242183,1.4473165833828607,-0.17578491541132601,-0.5979287156931753,0.03996266028400975
hgb_waveform_amp_shape,ml,analytic_timewalk,7,11460,1.4741184135811425,2.2920563975903914,2.99274071041263,0.02425828970331588,1.3864789524807557,1.58285577788097,-0.07697329739664083,-0.36225068357808626,0.047461199303442045
hgb_waveform_only,ml,analytic_timewalk,7,11460,1.5105611509344652,2.4063466479033613,3.2019939415813656,0.030279232111692846,1.4274932808055902,1.6584405115674685,-0.04053056004331812,-0.2558744007950955,0.08927256508084283
feature_gated_waveform_amp_shape_stave_shuffled,shuffled_target_control,analytic_timewalk,7,11460,1.544349743498728,2.649548247481434,3.691853489066044,0.048080279232111695,1.3505992280265162,1.9287983719086315,-0.006741967479055422,-0.060271425882088954,0.053117450086440365
