primary_atom,current_group,dynamic_topology,n,secondary_fraction,timing_tail_fraction,charge_area_median,baseline_excursion_median,saturation_fraction,dropout_proxy_fraction,pid_support_proxy_fraction,median_energy_range_proxy
baseline_excursion,high_20nA,B2_only,88118,0.04227286139040832,0.0,50571.5,628.0,1.0,0.2141446696475181,0.0,2.0
dynamic_only,high_20nA,B2_only,40869,2.446842349947393e-05,0.0,-30343.0,785.0,1.0,0.9916317991631799,0.0,2.0
baseline_excursion,high_20nA,B2_plus_one_downstream,12840,0.08722741433021806,0.0,25107.0,1713.0,1.0,0.32087227414330216,0.0,2.0
dynamic_only,high_20nA,B2_plus_one_downstream,8953,0.0,0.0,-26006.0,956.0,1.0,0.9970959454931307,0.0,4.0
baseline_excursion,high_20nA,B2_plus_ge2_downstream,8010,0.0686641697877653,0.887390761548065,19194.0,1734.5,1.0,0.37228464419475654,1.0,4.0
median_threshold_edge,high_20nA,B2_only,7845,0.0003824091778202677,0.0,7093.0,31.0,1.0,0.35411089866156786,0.0,2.0
dynamic_only,high_20nA,B2_plus_ge2_downstream,5818,0.0,0.7799931247851495,-24038.0,1021.0,1.0,0.9975936748023376,1.0,4.0
baseline_excursion,high_20nA,all_four,5385,0.035283194057567316,0.206313834726091,15460.0,1605.0,1.0,0.38774373259052924,1.0,4.0
dynamic_only,high_20nA,all_four,3755,0.0,0.2229027962716378,-20007.0,1005.0,1.0,0.9989347536617843,1.0,4.0
baseline_excursion,low_2nA,B2_only,1139,0.05706760316066725,0.0,51269.0,549.0,1.0,0.13081650570676032,0.0,2.0
median_threshold_edge,high_20nA,B2_plus_one_downstream,859,0.0,0.0,-11444.0,1733.0,1.0,0.7520372526193247,0.0,4.0
median_threshold_edge,high_20nA,B2_plus_ge2_downstream,555,0.0,0.8540540540540541,-7867.0,1919.0,1.0,0.7513513513513513,1.0,4.0
dynamic_only,high_20nA,B4_only,414,0.0,0.0,-16338.5,811.0,1.0,0.9855072463768116,0.0,4.0
dynamic_only,low_2nA,B2_only,411,0.0,0.0,-30264.0,675.0,1.0,0.9854014598540146,0.0,2.0
median_threshold_edge,high_20nA,all_four,362,0.0,0.19613259668508287,-6452.5,2104.5,1.0,0.8066298342541437,1.0,6.0
dynamic_only,high_20nA,B6_only,257,0.0,0.0,-17447.0,738.0,1.0,0.9844357976653697,0.0,6.0
dynamic_only,high_20nA,B8_only,191,0.0,0.0,-16501.0,753.0,1.0,0.9633507853403142,0.0,8.0
baseline_excursion,high_20nA,B4_only,117,0.05982905982905983,0.0,23959.0,1366.0,1.0,0.3162393162393162,0.0,4.0
baseline_excursion,high_20nA,B6_only,110,0.07272727272727272,0.0,14368.0,1999.0,1.0,0.45454545454545453,0.0,6.0
median_threshold_edge,low_2nA,B2_only,109,0.0,0.0,7344.0,31.0,1.0,0.21100917431192662,0.0,2.0
dynamic_only,high_20nA,downstream_ge2,64,0.0,0.75,-21223.0,837.0,1.0,1.0,0.0,6.0
baseline_excursion,high_20nA,B8_only,59,0.05084745762711865,0.0,14741.0,1314.0,1.0,0.3050847457627119,0.0,8.0
median_threshold_edge,high_20nA,B4_only,57,0.0,0.0,2299.0,19.0,1.0,0.2807017543859649,0.0,4.0
median_threshold_edge,high_20nA,B6_only,47,0.0,0.0,6861.0,25.0,1.0,0.2978723404255319,0.0,6.0
baseline_excursion,high_20nA,downstream_ge2,44,0.06818181818181818,0.8181818181818182,15288.0,1337.0,1.0,0.3181818181818182,0.0,6.0
median_threshold_edge,high_20nA,B8_only,44,0.0,0.0,6979.5,15.0,1.0,0.25,0.0,8.0
baseline_excursion,low_2nA,B2_plus_one_downstream,34,0.08823529411764706,0.0,18488.0,1198.5,1.0,0.38235294117647056,0.0,2.0
baseline_excursion,low_2nA,B2_plus_ge2_downstream,11,0.09090909090909091,1.0,18345.0,1999.0,1.0,0.45454545454545453,1.0,4.0
dynamic_only,low_2nA,B2_plus_one_downstream,10,0.0,0.0,-24277.5,982.5,1.0,1.0,0.0,4.0
dynamic_only,low_2nA,B2_plus_ge2_downstream,9,0.0,1.0,-29805.0,790.0,1.0,1.0,1.0,4.0
dynamic_only,low_2nA,all_four,6,0.0,0.0,-19436.5,1415.0,1.0,1.0,1.0,4.0
baseline_excursion,high_20nA,all_downstream,5,0.0,0.0,12334.0,1480.0,1.0,0.4,1.0,8.0
dynamic_only,high_20nA,all_downstream,5,0.0,0.0,-11658.0,618.0,1.0,1.0,1.0,6.0
median_threshold_edge,high_20nA,downstream_ge2,4,0.0,0.75,-5792.5,1777.5,1.0,0.75,0.0,6.0
baseline_excursion,low_2nA,all_four,3,0.0,0.0,-4521.0,2589.0,1.0,0.6666666666666666,1.0,6.0
median_threshold_edge,high_20nA,all_downstream,3,0.0,0.3333333333333333,7721.0,59.0,1.0,0.3333333333333333,1.0,6.0
dynamic_only,low_2nA,B4_only,2,0.0,0.0,-15538.0,746.0,1.0,1.0,0.0,4.0
dynamic_only,low_2nA,B6_only,2,0.0,0.0,-21298.0,601.5,1.0,1.0,0.0,6.0
median_threshold_edge,low_2nA,B6_only,2,0.0,0.0,-7378.0,800.5,1.0,0.5,0.0,6.0
