method,a_gate_stratum,n_runs,n_pair_rows,sigma68_ns,sigma68_ci_low_ns,sigma68_ci_high_ns,mean_abs_pair_cov_ns2,cov_ci_low_ns2,cov_ci_high_ns2,correlated_fraction
pair_median,all,21,65484,2.090504189144874,1.8054607952094084,10.93932182247048,228.5346093364996,187.88405216049657,292.8819656917513,0.36641949668744095
pair_median,high_A_width_gate,7,17750,2.0070817419506475,1.7114451369333834,27.683582719429804,250.56800477665809,142.58265230074193,340.9292722020463,0.3829002739696033
pair_median,low_A_width_gate,7,25722,2.0162766155367864,1.6986069211452721,36.279913123747725,228.76789895146868,182.32236136833185,326.3437697372829,0.3550703747183644
pair_median,mid_A_width_gate,7,22012,2.258982806364397,1.9423170451992777,18.726938557283567,202.55681010551748,148.7276614939389,271.47870404841507,0.35820652881825316
traditional_a_width_gate_ridge,all,21,65484,8.278834712467717,7.721136897548131,10.05220150262572,64.20212899370743,54.476895917613426,79.0874475921047,0.39713131299471915
traditional_a_width_gate_ridge,high_A_width_gate,7,17750,8.692035050682247,8.168901477458391,12.481855880721234,61.05329151171462,49.95834580364547,71.07375620238126,0.387544806623487
traditional_a_width_gate_ridge,low_A_width_gate,7,25722,7.6767496483796664,7.146746836566102,12.515344969403428,68.73761127756882,39.97156819222296,103.78114098430218,0.4057792005518896
traditional_a_width_gate_ridge,mid_A_width_gate,7,22012,8.645288624205925,7.8266380096481,10.51394293480789,62.584376724860796,46.425676202681245,80.45931344942642,0.39718033483787196
ridge,all,21,65484,7.965127369400669,7.40578240789338,8.608936269045795,59.33119822332742,50.952463704985,71.14669984921728,0.3706085009904494
ridge,high_A_width_gate,7,17750,8.768693858291558,7.326189727151204,12.244839381523361,59.07345061255712,50.53826323562554,69.78488736714844,0.3585664461126954
ridge,low_A_width_gate,7,25722,7.445996942855813,6.516287447122202,9.34190846180786,60.179190168057886,43.208650165030186,80.30779348748842,0.3733252843737537
ridge,mid_A_width_gate,7,22012,7.949667045289174,7.0453566577547395,10.16071871518711,58.64257983370725,40.48631945934069,78.41592238249831,0.3819162224882155
gradient_boosted_trees,all,21,65484,3.911738119572093,3.6067572208286642,10.338882412468342,87.92648724033435,72.94478859694021,104.01159928366245,0.3337034572184016
gradient_boosted_trees,high_A_width_gate,7,17750,3.6429713841287636,3.1833256599411484,18.03202409229082,88.86454885554862,62.29409186377589,112.02764085587445,0.3206862923214167
gradient_boosted_trees,low_A_width_gate,7,25722,3.8858060289521426,3.5150737782836936,14.551920820341655,91.3604581275824,65.74618690076744,119.13215306473998,0.32720536411081724
gradient_boosted_trees,mid_A_width_gate,7,22012,4.080432588816474,3.7724692832923763,15.847841655920448,82.8257826541283,43.550940125215035,114.52720438994844,0.35984161136400095
extra_trees_s18e_style,all,21,65484,2.406878890337457,2.134925819020616,3.228707014679843,39.48287586732098,30.473841098859154,45.87110167111326,0.2913570467541673
extra_trees_s18e_style,high_A_width_gate,7,17750,2.4808502058579776,2.049078296172307,8.835694932442557,39.28080004281602,30.011270670777527,49.21198013970238,0.2577768204633573
extra_trees_s18e_style,low_A_width_gate,7,25722,2.2656215453429276,2.0274332379171187,7.578787371870959,40.98348620449502,25.66850242467339,67.56281123589399,0.2892876771547442
extra_trees_s18e_style,mid_A_width_gate,7,22012,2.5221464119595804,2.0270811131988893,5.420263973788279,37.9679189358737,19.16618630711159,60.54218230762534,0.34713142211345044
mlp,all,21,65484,3.8934939937390274,3.5077264013581324,6.572371771457561,215.86969601274308,176.38889494646867,267.1023088203214,0.3677466108962944
mlp,high_A_width_gate,7,17750,3.560881691597382,2.999838582392734,29.959786398689246,241.23929461059078,155.58314469938296,325.34324939197666,0.3883458539161446
mlp,low_A_width_gate,7,25722,3.8612450590100478,3.510742454039065,31.548578618573902,210.88069333237902,118.97891827144706,292.04076541578763,0.35098553339604754
mlp,mid_A_width_gate,7,22012,4.108756178072648,3.543324752207156,16.755912421938298,192.09233410901223,99.25144797838527,276.8254435082168,0.36072948357519746
cnn_1d,all,21,65484,5.797379089857927,4.290996792093291,14.120564171598637,234.16373258771762,178.48074251017246,281.13796472075086,0.37684997405831683
cnn_1d,high_A_width_gate,7,17750,4.5125652954493525,3.652250527378406,31.851419408080567,260.70983919937817,175.989698878751,360.1058492765005,0.39660526581811945
cnn_1d,low_A_width_gate,7,25722,6.821915053787508,4.408060244911843,34.64333480919984,232.33806206433036,164.99644383087383,326.030120273776,0.3647234065975124
cnn_1d,mid_A_width_gate,7,22012,5.16038095450719,3.876613315723686,25.505068166206964,205.3232238180655,148.72667594585315,284.55421885024634,0.36485237140109195
support_gated_cnn_new,all,21,65484,4.888263752427487,4.324868469264138,7.939633935087619,228.15409861559374,178.2704723106739,283.16061473610324,0.3714291166821156
support_gated_cnn_new,high_A_width_gate,7,17750,3.7958851810428813,3.033011049382411,27.241152085811528,254.86581097365544,169.32838918225477,344.27002392481404,0.39088968643872996
support_gated_cnn_new,low_A_width_gate,7,25722,4.555468076829843,3.7792895952960053,30.848291296202685,225.73855324904267,118.68147809963077,313.79160249447256,0.35586122233157375
support_gated_cnn_new,mid_A_width_gate,7,22012,5.145113447088576,3.860920413141524,22.885606887771658,199.80857045883138,94.25391222735826,297.4270313674209,0.36421186105556014
