source,run,event_id,d_t_ns,abs_c_t_ns,taxon,severity
raw_D_t_tail,61,61:508020:3784:163812,144.68558808827265,,template_mismatch,144.68558808827265
raw_D_t_tail,61,61:505111:1087:160903,136.2968477866307,,template_mismatch,136.2968477866307
raw_D_t_tail,62,62:566220:8611:222010,135.58749437696804,131.9118176285359,template_mismatch,135.58749437696804
raw_D_t_tail,63,63:600424:7787:256213,125.23423496407675,116.9497812009177,template_mismatch,125.23423496407675
raw_D_t_tail,61,61:508741:4457:164533,124.59159101767796,,delayed_peak_or_tail,124.59159101767796
raw_D_t_tail,60,60:491153:4536:146945,123.18086745153164,108.67535265749721,delayed_peak_or_tail,123.18086745153164
raw_D_t_tail,63,63:576639:1957:232429,122.79733332289419,,delayed_peak_or_tail,122.79733332289419
raw_D_t_tail,62,62:564164:6672:219954,117.78804638823253,,delayed_peak_or_tail,117.78804638823253
raw_D_t_tail,60,60:487623:1248:143415,117.41684989861784,118.53417859129246,delayed_peak_or_tail,117.41684989861784
raw_D_t_tail,58,58:414778:15316:70584,116.88841408744621,,delayed_peak_or_tail,116.88841408744621
raw_D_t_tail,61,61:524473:2829:180265,114.91622533150931,116.42415445078993,delayed_peak_or_tail,114.91622533150931
raw_D_t_tail,63,63:609244:16020:265033,112.030750341703,,delayed_peak_or_tail,112.030750341703
raw_D_t_tail,59,59:439453:5449:95245,110.89235860752467,110.88650978798765,delayed_peak_or_tail,110.89235860752467
raw_D_t_tail,59,59:457231:5659:113023,109.2806721947777,,delayed_peak_or_tail,109.2806721947777
raw_D_t_tail,60,60:497777:10661:153569,108.85192521769973,,delayed_peak_or_tail,108.85192521769973
raw_D_t_tail,62,62:546876:7422:202666,106.9259267255338,,delayed_peak_or_tail,106.9259267255338
raw_D_t_tail,61,61:528933:7036:184725,105.61671474813461,,delayed_peak_or_tail,105.61671474813461
raw_D_t_tail,62,62:555570:15051:211360,104.58230179028135,,delayed_peak_or_tail,104.58230179028135
raw_D_t_tail,58,58:401295:2749:57126,103.80200216693083,,delayed_peak_or_tail,103.80200216693083
raw_D_t_tail,60,60:483138:13443:138930,102.61842470069314,,delayed_peak_or_tail,102.61842470069314
raw_D_t_tail,62,62:563686:6223:219476,101.11272320604323,,delayed_peak_or_tail,101.11272320604323
raw_D_t_tail,61,61:510329:5978:166121,96.39616787354672,93.1648628392357,delayed_peak_or_tail,96.39616787354672
raw_D_t_tail,59,59:456216:4708:112008,95.5939298708501,,delayed_peak_or_tail,95.5939298708501
raw_D_t_tail,63,63:612443:2643:268232,90.27800717043804,,delayed_peak_or_tail,90.27800717043804
raw_D_t_tail,59,59:463663:11637:119455,88.90854078735052,,template_mismatch,88.90854078735052
raw_D_t_tail,59,59:443908:9588:99700,79.76247648880152,,delayed_peak_or_tail,79.76247648880152
raw_D_t_tail,61,61:505806:1721:161598,79.51413670714925,70.3853880915594,template_mismatch,79.51413670714925
raw_D_t_tail,61,61:530894:8854:186686,75.38801100521479,,template_mismatch,75.38801100521479
raw_D_t_tail,63,63:611584:1839:267373,74.4474358974359,,template_mismatch,74.4474358974359
raw_D_t_tail,63,63:607237:14163:263026,71.64641602829806,,delayed_peak_or_tail,71.64641602829806
raw_D_t_tail,60,60:467169:14894:122961,69.20655040089183,,template_mismatch,69.20655040089183
raw_D_t_tail,60,60:493967:7130:149759,65.57117669638939,65.64686222086738,template_mismatch,65.57117669638939
raw_D_t_tail,59,59:459719:7968:115511,62.603914259086665,,broad_or_saturated,62.603914259086665
raw_D_t_tail,60,60:472233:3230:128025,62.07717391642723,,template_mismatch,62.07717391642723
raw_D_t_tail,61,61:507273:3095:163065,61.0690737833595,59.67922553636839,broad_or_saturated,61.0690737833595
raw_D_t_tail,59,59:449072:14369:104864,56.75551102204409,,template_mismatch,56.75551102204409
raw_D_t_tail,59,59:448392:13749:104184,55.99297629499561,111.10996793844964,early_pretrigger,55.99297629499561
raw_D_t_tail,59,59:428266:11494:84058,55.906868451688005,109.67661014910499,template_mismatch,55.906868451688005
raw_D_t_tail,59,59:461767:9891:117559,54.19342395921835,51.994553212352244,template_mismatch,54.19342395921835
raw_D_t_tail,61,61:529053:7144:184845,53.11802575107296,,broad_or_saturated,53.11802575107296
raw_D_t_tail,63,63:596336:3950:252125,52.96872498256582,,template_mismatch,52.96872498256582
raw_D_t_tail,60,60:491354:4721:147146,52.78581363004172,,broad_or_saturated,52.78581363004172
raw_D_t_tail,60,60:475541:6332:131333,52.518427518427515,,template_mismatch,52.518427518427515
raw_D_t_tail,62,62:568849:11059:224639,51.783923941227314,,broad_or_saturated,51.783923941227314
