support_cell,run,n,charge_failure_rate,timing_tail_rate,weak_pid_fraction
shape_broad_template|timing_core|amp_extreme_ge7000|sat_high_amp|pileup_quiet|baseline_adaptive_lowering|anomaly_pretrigger_excursion|qtemplate_extreme|covariance_dense|charge_transfer_ok,51,1,0.0,0.0,1.0
shape_broad_template|timing_core|amp_extreme_ge7000|sat_high_amp|pileup_quiet|baseline_pretrigger_activity|anomaly_none|qtemplate_extreme|covariance_coupled|charge_transfer_ok,50,1,0.0,0.0,1.0
shape_broad_template|timing_core|amp_extreme_ge7000|sat_high_amp|pileup_quiet|baseline_pretrigger_activity|anomaly_none|qtemplate_extreme|covariance_coupled|charge_transfer_ok,52,1,0.0,0.0,1.0
shape_broad_template|timing_core|amp_extreme_ge7000|sat_high_amp|pileup_quiet|baseline_pretrigger_activity|anomaly_none|qtemplate_extreme|covariance_coupled|charge_transfer_ok,56,1,0.0,0.0,1.0
shape_broad_template|timing_core|amp_extreme_ge7000|sat_high_amp|pileup_quiet|baseline_pretrigger_activity|anomaly_pretrigger_excursion|qtemplate_extreme|covariance_coupled|charge_transfer_bad,60,1,1.0,0.0,0.0
shape_broad_template|timing_core|amp_extreme_ge7000|sat_high_amp|pileup_quiet|baseline_pretrigger_activity|anomaly_pretrigger_excursion|qtemplate_extreme|covariance_coupled|charge_transfer_ok,32,1,0.0,0.0,0.0
shape_broad_template|timing_core|amp_extreme_ge7000|sat_high_amp|pileup_quiet|baseline_pretrigger_activity|anomaly_pretrigger_excursion|qtemplate_extreme|covariance_coupled|charge_transfer_ok,40,1,0.0,0.0,1.0
shape_broad_template|timing_core|amp_extreme_ge7000|sat_high_amp|pileup_quiet|baseline_pretrigger_activity|anomaly_pretrigger_excursion|qtemplate_extreme|covariance_coupled|charge_transfer_ok,55,1,0.0,0.0,1.0
shape_broad_template|timing_core|amp_extreme_ge7000|sat_high_amp|pileup_quiet|baseline_quiet|anomaly_none|qtemplate_extreme|covariance_coupled|charge_transfer_ok,31,1,0.0,0.0,0.0
shape_broad_template|timing_core|amp_extreme_ge7000|sat_high_amp|pileup_quiet|baseline_quiet|anomaly_none|qtemplate_extreme|covariance_coupled|charge_transfer_ok,32,1,0.0,0.0,0.0
shape_broad_template|timing_core|amp_extreme_ge7000|sat_high_amp|pileup_quiet|baseline_quiet|anomaly_none|qtemplate_extreme|covariance_coupled|charge_transfer_ok,33,4,0.0,0.0,1.0
shape_broad_template|timing_core|amp_extreme_ge7000|sat_high_amp|pileup_quiet|baseline_quiet|anomaly_none|qtemplate_extreme|covariance_coupled|charge_transfer_ok,34,6,0.0,0.0,0.6666666666666666
shape_broad_template|timing_core|amp_extreme_ge7000|sat_high_amp|pileup_quiet|baseline_quiet|anomaly_none|qtemplate_extreme|covariance_coupled|charge_transfer_ok,37,3,0.0,0.0,0.6666666666666666
