heldout_run,model,feature_kind,n_features,forbidden_overlap
58,ridge_all_stave,all,121,
58,gradient_boosted_trees_all_stave,all,121,
58,mlp_all_stave,all,121,
58,extra_trees_upstream_only,upstream,30,
58,extra_trees_downstream_only,downstream,143,
58,extra_trees_all_stave,all,121,
58,extra_trees_amplitude_only,amplitude,6,
58,extra_trees_phase_scrambled_control,phase_scrambled,60,
58,extra_trees_shuffled_label_control,all,121,
59,ridge_all_stave,all,121,
59,gradient_boosted_trees_all_stave,all,121,
59,mlp_all_stave,all,121,
59,extra_trees_upstream_only,upstream,30,
59,extra_trees_downstream_only,downstream,143,
59,extra_trees_all_stave,all,121,
59,extra_trees_amplitude_only,amplitude,6,
59,extra_trees_phase_scrambled_control,phase_scrambled,60,
59,extra_trees_shuffled_label_control,all,121,
60,ridge_all_stave,all,121,
60,gradient_boosted_trees_all_stave,all,121,
60,mlp_all_stave,all,121,
60,extra_trees_upstream_only,upstream,30,
60,extra_trees_downstream_only,downstream,143,
60,extra_trees_all_stave,all,121,
60,extra_trees_amplitude_only,amplitude,6,
60,extra_trees_phase_scrambled_control,phase_scrambled,60,
60,extra_trees_shuffled_label_control,all,121,
61,ridge_all_stave,all,121,
61,gradient_boosted_trees_all_stave,all,121,
61,mlp_all_stave,all,121,
61,extra_trees_upstream_only,upstream,30,
61,extra_trees_downstream_only,downstream,143,
61,extra_trees_all_stave,all,121,
61,extra_trees_amplitude_only,amplitude,6,
61,extra_trees_phase_scrambled_control,phase_scrambled,60,
61,extra_trees_shuffled_label_control,all,121,
62,ridge_all_stave,all,121,
62,gradient_boosted_trees_all_stave,all,121,
62,mlp_all_stave,all,121,
62,extra_trees_upstream_only,upstream,30,
62,extra_trees_downstream_only,downstream,143,
62,extra_trees_all_stave,all,121,
62,extra_trees_amplitude_only,amplitude,6,
62,extra_trees_phase_scrambled_control,phase_scrambled,60,
62,extra_trees_shuffled_label_control,all,121,
63,ridge_all_stave,all,121,
63,gradient_boosted_trees_all_stave,all,121,
63,mlp_all_stave,all,121,
63,extra_trees_upstream_only,upstream,30,
63,extra_trees_downstream_only,downstream,143,
63,extra_trees_all_stave,all,121,
63,extra_trees_amplitude_only,amplitude,6,
63,extra_trees_phase_scrambled_control,phase_scrambled,60,
63,extra_trees_shuffled_label_control,all,121,
65,ridge_all_stave,all,121,
65,gradient_boosted_trees_all_stave,all,121,
65,mlp_all_stave,all,121,
65,extra_trees_upstream_only,upstream,30,
65,extra_trees_downstream_only,downstream,143,
65,extra_trees_all_stave,all,121,
65,extra_trees_amplitude_only,amplitude,6,
65,extra_trees_phase_scrambled_control,phase_scrambled,60,
65,extra_trees_shuffled_label_control,all,121,
