heldout_run,consumer,method,variant,train_rows,epochs,target_center,target_scale
58,timing,traditional,no_score,11241.0,,,
58,timing,traditional,plus_score,11241.0,,,
58,timing,traditional,score_residualized,11241.0,,,
58,timing,traditional,shuffled_score_control,11241.0,,,
58,timing,ridge,no_score,11241.0,,,
58,timing,ridge,plus_score,11241.0,,,
58,timing,ridge,score_residualized,11241.0,,,
58,timing,ridge,shuffled_score_control,11241.0,,,
58,timing,gradient_boosted_trees,no_score,11241.0,,,
58,timing,gradient_boosted_trees,plus_score,11241.0,,,
58,timing,gradient_boosted_trees,score_residualized,11241.0,,,
58,timing,gradient_boosted_trees,shuffled_score_control,11241.0,,,
58,timing,extra_trees,no_score,11241.0,,,
58,timing,extra_trees,plus_score,11241.0,,,
58,timing,extra_trees,score_residualized,11241.0,,,
58,timing,extra_trees,shuffled_score_control,11241.0,,,
58,timing,mlp,no_score,11241.0,,,
58,timing,mlp,plus_score,11241.0,,,
58,timing,mlp,score_residualized,11241.0,,,
58,timing,mlp,shuffled_score_control,11241.0,,,
58,timing,cnn1d,no_score,,5.0,1.0588172618736529,3.6680731858087037
58,timing,cnn1d,plus_score,,5.0,1.0588172618736529,3.6680731858087037
58,timing,cnn1d,score_residualized,,5.0,1.0588172618736529,3.6680731858087037
58,timing,cnn1d,shuffled_score_control,,5.0,1.0588172618736529,3.6680731858087037
58,timing,score_gated_cnn,no_score,,5.0,1.0588172618736529,3.6680731858087037
58,timing,score_gated_cnn,plus_score,,5.0,1.0588172618736529,3.6680731858087037
58,timing,score_gated_cnn,score_residualized,,5.0,1.0588172618736529,3.6680731858087037
58,timing,score_gated_cnn,shuffled_score_control,,5.0,1.0588172618736529,3.6680731858087037
58,charge,traditional,no_score,11241.0,,,
58,charge,traditional,plus_score,11241.0,,,
58,charge,traditional,score_residualized,11241.0,,,
58,charge,traditional,shuffled_score_control,11241.0,,,
58,charge,ridge,no_score,11241.0,,,
58,charge,ridge,plus_score,11241.0,,,
58,charge,ridge,score_residualized,11241.0,,,
58,charge,ridge,shuffled_score_control,11241.0,,,
58,charge,gradient_boosted_trees,no_score,11241.0,,,
58,charge,gradient_boosted_trees,plus_score,11241.0,,,
58,charge,gradient_boosted_trees,score_residualized,11241.0,,,
58,charge,gradient_boosted_trees,shuffled_score_control,11241.0,,,
58,charge,extra_trees,no_score,11241.0,,,
58,charge,extra_trees,plus_score,11241.0,,,
58,charge,extra_trees,score_residualized,11241.0,,,
58,charge,extra_trees,shuffled_score_control,11241.0,,,
58,pileup,traditional,no_score,11241.0,,,
58,pileup,traditional,plus_score,11241.0,,,
58,pileup,traditional,score_residualized,11241.0,,,
58,pileup,traditional,shuffled_score_control,11241.0,,,
