axis,stratum,n_pair_rows,n_runs,b2_fraction
anomaly_taxon,baseline_contamination,3181,20,1.0
anomaly_taxon,common_support,33269,21,0.5995671646277315
anomaly_taxon,saturation_boundary,11976,21,1.0
anomaly_taxon,timing_tail_high_q_shift,17051,21,0.5187965515219048
anomaly_taxon,two_pulse_like,7,5,0.8571428571428571
timing_tail_atom,high,21828,21,0.624106652006597
timing_tail_atom,low,21828,21,0.6824720542422577
timing_tail_atom,mid,21828,21,0.7071651090342679
baseline_contamination,low_baseline,6608,21,1.0
baseline_contamination,nominal_baseline,58876,21,0.6343501596575855
saturation_boundary,deep,3417,21,1.0
saturation_boundary,mild,5545,21,1.0
saturation_boundary,moderate,3014,20,1.0
saturation_boundary,none,53508,21,0.597667638483965
two_pulse_score,not_pileup_like,54087,21,0.6660750272708784
two_pulse_score,pileup_like,11397,21,0.6957971395981398
topology,B2_containing,43956,21,1.0
topology,downstream_only,21528,21,0.0
