method,comparison,delta_ns,ci_low_ns,ci_high_ns,p_two_sided
ridge_no_saturation,ridge_no_saturation_minus_raw_pair_median_sigma68,3.078748821087675,2.8196628931706793,3.536066804921178,0.0
ridge_no_saturation,ridge_no_saturation_minus_ridge_duplicate_safe_sigma68,0.25573764717745995,0.11116864025123419,0.3923278116201199,0.0
ridge_duplicate_safe,ridge_duplicate_safe_minus_raw_pair_median_sigma68,2.823011173910215,2.511202974682521,3.2273847422882453,0.0
gbt_duplicate_safe,gbt_duplicate_safe_minus_raw_pair_median_sigma68,1.9740354288344841,1.739499243550553,2.224042386677214,0.0
gbt_duplicate_safe,gbt_duplicate_safe_minus_ridge_duplicate_safe_sigma68,-0.8489757450757307,-1.1500110251424291,-0.5108578185304323,0.0
extra_trees_duplicate_safe,extra_trees_duplicate_safe_minus_raw_pair_median_sigma68,1.0895811269834748,0.9339628994099245,1.5226115773724713,0.0
extra_trees_duplicate_safe,extra_trees_duplicate_safe_minus_ridge_duplicate_safe_sigma68,-1.73343004692674,-2.013456649820332,-1.43109283320809,0.0
mlp_duplicate_safe,mlp_duplicate_safe_minus_raw_pair_median_sigma68,1.857576764681363,1.6394730034011593,2.1995431745357052,0.0
mlp_duplicate_safe,mlp_duplicate_safe_minus_ridge_duplicate_safe_sigma68,-0.9654344092288518,-1.5164227517450823,-0.48876676915701345,0.0
cnn_waveform_only,cnn_waveform_only_minus_raw_pair_median_sigma68,2.3899902731151585,1.551401352279135,3.381295649795321,0.0
cnn_waveform_only,cnn_waveform_only_minus_ridge_duplicate_safe_sigma68,-0.4330209007950563,-1.5153220189168888,0.6821007658061876,0.48
hybrid_cnn_tabular_duplicate_safe,hybrid_cnn_tabular_duplicate_safe_minus_raw_pair_median_sigma68,2.116513224797055,1.6662689178215233,2.5754410957485017,0.0
hybrid_cnn_tabular_duplicate_safe,hybrid_cnn_tabular_duplicate_safe_minus_ridge_duplicate_safe_sigma68,-0.7064979491131598,-1.4769505666141165,-0.0454961657367005,0.04
