method,stratum,n_pair_rows,n_runs,b2_amp_cut_adc,median_b2_sat_count,median_b2_sat_excess_adc,sigma68_ns,sigma68_ci_low_ns,sigma68_ci_high_ns,mean_abs_pair_cov_ns2
raw_pair_median,all_B2_containing,34941,7,,0.0,0.0,1.8378528249084942,1.543727185779879,3.602091903845641,282.8822144355172
raw_pair_median,B2_sat_count_gt0,6607,7,,3.0,783.5,13.291540026947844,6.520288904240673,16.929292846616637,645.7184325179134
raw_pair_median,B2_sat_count_eq0,28334,7,,0.0,0.0,1.5266320647140739,1.4299439160350458,1.7757417567341318,216.24619298399185
raw_pair_median,B2_amp_top_decile,3497,7,4497.0,6.0,2022.0,16.485442442979448,14.656072812022458,22.5817581067722,630.3166054263049
raw_pair_median,B2_amp_lower_90pct,31444,7,4497.0,0.0,0.0,1.5768756427426442,1.4507374162985969,1.8059089491514562,254.92874885310908
ridge_no_saturation,all_B2_containing,34941,7,,0.0,0.0,4.880884672522989,4.464830540559807,5.90937831496318,158.19804197667096
ridge_no_saturation,B2_sat_count_gt0,6607,7,,3.0,783.5,10.23207747725199,7.208500693211561,12.040035017605742,259.1888537836368
ridge_no_saturation,B2_sat_count_eq0,28334,7,,0.0,0.0,4.454082098794133,4.2150878175437425,4.930711334076013,147.21691091960292
ridge_no_saturation,B2_amp_top_decile,3497,7,4497.0,6.0,2022.0,11.614434787500333,10.87788779778657,15.136789077351178,231.94332794130537
ridge_no_saturation,B2_amp_lower_90pct,31444,7,4497.0,0.0,0.0,4.508200280021285,4.206955300997834,5.04937155658199,158.30483270171038
ridge_duplicate_safe,all_B2_containing,34941,7,,0.0,0.0,4.944897191777962,4.536279956270716,6.0831570677815785,146.79336063751992
ridge_duplicate_safe,B2_sat_count_gt0,6607,7,,3.0,783.5,9.963534343015718,8.195738702245945,11.582809723948937,218.04724606741846
ridge_duplicate_safe,B2_sat_count_eq0,28334,7,,0.0,0.0,4.088228337709627,3.90752604872461,4.464312761130529,144.3516069883959
ridge_duplicate_safe,B2_amp_top_decile,3497,7,4497.0,6.0,2022.0,11.489654694464084,10.45008315202384,13.19344327389867,184.81602262481698
ridge_duplicate_safe,B2_amp_lower_90pct,31444,7,4497.0,0.0,0.0,4.347638179390001,4.1372146936797725,4.743502114512676,151.96212350574677
gbt_duplicate_safe,all_B2_containing,34941,7,,0.0,0.0,3.667782803414055,3.2416837319213747,4.666456347931622,147.55967538043777
gbt_duplicate_safe,B2_sat_count_gt0,6607,7,,3.0,783.5,9.780760030654761,4.7409991460248415,13.112733436319886,298.869979764174
gbt_duplicate_safe,B2_sat_count_eq0,28334,7,,0.0,0.0,3.3664507073925085,3.083957282149938,3.829273283875942,118.11393339740073
gbt_duplicate_safe,B2_amp_top_decile,3497,7,4497.0,6.0,2022.0,12.05642124868688,9.697489445567824,13.945907245662875,276.47047126124664
gbt_duplicate_safe,B2_amp_lower_90pct,31444,7,4497.0,0.0,0.0,3.351953317434206,3.0119098334863974,3.78172796140483,138.09916988373246
extra_trees_duplicate_safe,all_B2_containing,34941,7,,0.0,0.0,3.056858809524628,2.707068014456706,3.926079749312986,216.37788337767267
extra_trees_duplicate_safe,B2_sat_count_gt0,6607,7,,3.0,783.5,11.587822529241981,6.513771802468298,15.152201459988802,454.0609849438288
extra_trees_duplicate_safe,B2_sat_count_eq0,28334,7,,0.0,0.0,2.209031081838197,1.987496618500588,2.5771350437204257,178.0866468650533
extra_trees_duplicate_safe,B2_amp_top_decile,3497,7,4497.0,6.0,2022.0,14.560705083707534,12.486621066862352,17.156965716035355,440.79442811075234
extra_trees_duplicate_safe,B2_amp_lower_90pct,31444,7,4497.0,0.0,0.0,2.534785694181518,2.357772826105564,2.8691308164179814,201.77149231517822
mlp_duplicate_safe,all_B2_containing,34941,7,,0.0,0.0,3.609168500127794,3.182317560410517,4.512012142052204,240.5206998062374
mlp_duplicate_safe,B2_sat_count_gt0,6607,7,,3.0,783.5,12.78752730719523,4.829926597965277,16.588839688033552,544.8208765590718
mlp_duplicate_safe,B2_sat_count_eq0,28334,7,,0.0,0.0,3.059562285049375,2.860309324665245,3.455464665718633,194.52105872307789
mlp_duplicate_safe,B2_amp_top_decile,3497,7,4497.0,6.0,2022.0,16.428400331886614,14.284265187516507,19.781098617038246,512.157585328639
mlp_duplicate_safe,B2_amp_lower_90pct,31444,7,4497.0,0.0,0.0,3.2331913044905507,3.0077246813864376,3.6748144875326547,222.0784148403255
cnn_waveform_only,all_B2_containing,34941,7,,0.0,0.0,4.125199301636009,3.08289037056068,5.6385373114806265,283.09151031969265
cnn_waveform_only,B2_sat_count_gt0,6607,7,,3.0,783.5,14.45010321760535,5.972142028243274,18.02244679858255,645.7221886741075
cnn_waveform_only,B2_sat_count_eq0,28334,7,,0.0,0.0,3.5797049839779085,2.9234621578462994,4.5603088796479225,216.40181708175328
cnn_waveform_only,B2_amp_top_decile,3497,7,4497.0,6.0,2022.0,17.101860526728007,15.268470061414975,21.568124850718483,630.3009459102041
cnn_waveform_only,B2_amp_lower_90pct,31444,7,4497.0,0.0,0.0,3.693222446751878,2.9197163554211105,4.940388022489752,255.1130260871748
hybrid_cnn_tabular_duplicate_safe,all_B2_containing,34941,7,,0.0,0.0,3.8780355972658684,3.2098954036106995,4.982572349092686,281.9830506650427
hybrid_cnn_tabular_duplicate_safe,B2_sat_count_gt0,6607,7,,3.0,783.5,13.883591026370947,7.351032823692198,16.786904858577483,637.9617733182795
hybrid_cnn_tabular_duplicate_safe,B2_sat_count_eq0,28334,7,,0.0,0.0,3.416943133863005,2.9780554250013265,3.92149138305724,217.9854456310943
hybrid_cnn_tabular_duplicate_safe,B2_amp_top_decile,3497,7,4497.0,6.0,2022.0,16.74519686612581,14.705269467529309,19.574926432006976,622.4654757144241
hybrid_cnn_tabular_duplicate_safe,B2_amp_lower_90pct,31444,7,4497.0,0.0,0.0,3.5401915002401108,3.0182285507281694,4.149896498584032,255.87314530383588
