method,n,harm_rate,flag_rate,precision,recall,f1,accepted_coverage,accepted_charge_bias_frac,accepted_charge_res68_frac,accepted_timing_abs68_ns,accepted_timing_tail_frac_gt5ns,calibration_ece,precision_ci95,recall_ci95,accepted_coverage_ci95,accepted_charge_res68_frac_ci95,accepted_timing_abs68_ns_ci95,accepted_timing_tail_frac_gt5ns_ci95,flag_rate_ci95,run
traditional_rule,15790,0.3583913869537682,0.14496516782773908,0.6889471384884229,0.27867114331153914,0.3968293910417715,0.855034832172261,-0.015680061898856838,0.05329179799054378,0.024691358024696797,0.0008147544626323976,0.07878404053198229,"[0.6889471384884229, 0.6889471384884229]","[0.27867114331153914, 0.27867114331153914]","[0.855034832172261, 0.855034832172261]","[0.05329179799054378, 0.05329179799054378]","[0.024691358024696797, 0.024691358024696797]","[0.0008147544626323976, 0.0008147544626323976]","[0.14496516782773908, 0.14496516782773908]",58
ridge,15790,0.3583913869537682,0.4512982900569981,0.6156328936289643,0.7752253048241738,0.6862729761439187,0.5487017099430019,-0.016745054867976124,0.03691200454111272,0.024691358024696797,0.0031163434903047093,0.18929505146133932,"[0.6156328936289643, 0.6156328936289643]","[0.7752253048241738, 0.7752253048241738]","[0.5487017099430019, 0.5487017099430019]","[0.03691200454111272, 0.03691200454111272]","[0.024691358024696797, 0.024691358024696797]","[0.0031163434903047093, 0.0031163434903047093]","[0.4512982900569981, 0.4512982900569981]",58
gradient_boosted_trees,15790,0.3583913869537682,0.3949335022165928,0.8386786401539449,0.9241915532779643,0.8793610760823877,0.6050664977834073,-0.011329264484474837,0.03220311459409154,0.024691358024696797,0.0037680552648105504,0.0714992440600576,"[0.8386786401539449, 0.8386786401539449]","[0.9241915532779643, 0.9241915532779643]","[0.6050664977834073, 0.6050664977834073]","[0.03220311459409154, 0.03220311459409154]","[0.024691358024696797, 0.024691358024696797]","[0.0037680552648105504, 0.0037680552648105504]","[0.3949335022165928, 0.3949335022165928]",58
mlp,15790,0.3583913869537682,0.35813806206459786,0.9428824049513704,0.9422159392118749,0.9425490542690472,0.6418619379354021,-0.008970706708263264,0.032822889532893626,0.024691358024696797,0.008880118401578688,0.01424253530707144,"[0.9428824049513704, 0.9428824049513704]","[0.9422159392118749, 0.9422159392118749]","[0.6418619379354021, 0.6418619379354021]","[0.032822889532893626, 0.032822889532893626]","[0.024691358024696797, 0.024691358024696797]","[0.008880118401578688, 0.008880118401578688]","[0.35813806206459786, 0.35813806206459786]",58
cnn_1d,15790,0.3583913869537682,0.42963901203293225,0.6437205188679245,0.7716911115037992,0.7019207586594872,0.5703609879670678,-0.016846840821307364,0.03623902915434024,0.024691358024696797,0.0024428159005107706,0.14489437423226498,"[0.6437205188679245, 0.6437205188679245]","[0.7716911115037992, 0.7716911115037992]","[0.5703609879670678, 0.5703609879670678]","[0.03623902915434024, 0.03623902915434024]","[0.024691358024696797, 0.024691358024696797]","[0.0024428159005107706, 0.0024428159005107706]","[0.42963901203293225, 0.42963901203293225]",58
wavegate_resnet,15790,0.3583913869537682,0.4008233058898037,0.6648759677674199,0.743594274606821,0.7020353687020353,0.5991766941101964,-0.0145362092348367,0.03865906470323543,0.024691358024696797,0.003065215093541909,0.12289986130371548,"[0.6648759677674199, 0.6648759677674199]","[0.743594274606821, 0.743594274606821]","[0.5991766941101964, 0.5991766941101964]","[0.03865906470323543, 0.03865906470323543]","[0.024691358024696797, 0.024691358024696797]","[0.003065215093541909, 0.003065215093541909]","[0.4008233058898037, 0.4008233058898037]",58
shuffled_target_gbt,15790,0.3583913869537682,0.0,0.0,0.0,0.0,1.0,-0.008811323640855885,0.05398402855559723,0.024691358024703902,0.012349588347055098,0.010716603217834362,"[0.0, 0.0]","[0.0, 0.0]","[1.0, 1.0]","[0.05398402855559723, 0.05398402855559723]","[0.024691358024703902, 0.024691358024703902]","[0.012349588347055098, 0.012349588347055098]","[0.0, 0.0]",58
traditional_rule,13563,0.46177099461770993,0.2605618226056182,0.6392190152801358,0.36068976528820057,0.4611615800755333,0.7394381773943818,0.0012822085296345985,0.09244401657166247,0.05768035680412397,0.019244191843653405,0.13612401386124015,"[0.6392190152801358, 0.6392190152801358]","[0.36068976528820057, 0.36068976528820057]","[0.7394381773943818, 0.7394381773943818]","[0.09244401657166247, 0.09244401657166247]","[0.05768035680412397, 0.05768035680412397]","[0.019244191843653405, 0.019244191843653405]","[0.2605618226056182, 0.2605618226056182]",59
ridge,13563,0.46177099461770993,0.6062080660620807,0.673801994648504,0.8845601149608814,0.7649292371418709,0.39379193393791934,-0.002932239328081386,0.05538882671346326,0.10535317884768321,0.05504587155963303,0.16477754185062604,"[0.673801994648504, 0.673801994648504]","[0.8845601149608814, 0.8845601149608814]","[0.39379193393791934, 0.39379193393791934]","[0.05538882671346326, 0.05538882671346326]","[0.10535317884768321, 0.10535317884768321]","[0.05504587155963303, 0.05504587155963303]","[0.6062080660620807, 0.6062080660620807]",59
gradient_boosted_trees,13563,0.46177099461770993,0.5276118852761189,0.8228060368921185,0.940124540954814,0.8775616662940607,0.47238811472388115,0.007130586063482727,0.04788472654726394,0.131682812698059,0.06711409395973154,0.07330718974968095,"[0.8228060368921185, 0.8228060368921185]","[0.940124540954814, 0.940124540954814]","[0.47238811472388115, 0.47238811472388115]","[0.04788472654726394, 0.04788472654726394]","[0.131682812698059, 0.131682812698059]","[0.06711409395973154, 0.06711409395973154]","[0.5276118852761189, 0.5276118852761189]",59
