event_index,run,group,eventno,stratum,ref_stave,ref_amp_adc
15,44,high_20nA,29,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,2067.5
27,44,high_20nA,71,amp_1000_2500|s16_large_lowering|p02_early_pathology,B6,1504.5
49,44,high_20nA,119,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1060.0
72,44,high_20nA,171,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1699.5
91,44,high_20nA,220,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1792.5
102,44,high_20nA,258,amp_1000_2500|s16_large_lowering|p02_early_pathology,B8,2352.0
190,44,high_20nA,425,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1672.0
207,44,high_20nA,467,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1202.5
238,44,high_20nA,532,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1115.5
262,44,high_20nA,598,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1076.5
274,44,high_20nA,621,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1318.0
294,44,high_20nA,664,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1475.0
400,44,high_20nA,902,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1636.0
402,44,high_20nA,907,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,2242.0
409,44,high_20nA,922,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1783.5
426,44,high_20nA,969,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,2201.0
466,44,high_20nA,1050,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1173.5
493,44,high_20nA,1105,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,2065.0
499,44,high_20nA,1125,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1705.5
522,44,high_20nA,1171,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1704.5
523,44,high_20nA,1180,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1157.0
540,44,high_20nA,1218,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1027.0
548,44,high_20nA,1233,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1468.0
553,44,high_20nA,1240,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,2350.5
576,44,high_20nA,1301,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1101.5
580,44,high_20nA,1306,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1452.5
602,44,high_20nA,1351,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1184.5
629,44,high_20nA,1408,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1909.0
647,44,high_20nA,1450,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1463.5
651,44,high_20nA,1462,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1822.5
670,44,high_20nA,1516,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1465.5
692,44,high_20nA,1556,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1485.5
736,44,high_20nA,1634,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1238.5
748,44,high_20nA,1660,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1039.0
770,44,high_20nA,1721,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1655.0
787,44,high_20nA,1758,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1217.5
788,44,high_20nA,1759,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1504.5
809,44,high_20nA,1801,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1345.0
819,44,high_20nA,1826,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1889.0
845,44,high_20nA,1892,amp_1000_2500|s16_large_lowering|p02_early_pathology,B6,1752.0
855,44,high_20nA,1913,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1057.5
906,44,high_20nA,2045,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1471.5
961,44,high_20nA,2179,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1066.0
1012,44,high_20nA,2302,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1135.0
1026,44,high_20nA,2336,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,2365.0
1079,44,high_20nA,2441,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1365.5
1081,44,high_20nA,2444,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1379.0
1139,44,high_20nA,2568,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1057.5
1144,44,high_20nA,2582,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1283.0
1180,44,high_20nA,2656,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1020.0
1187,44,high_20nA,2675,amp_1000_2500|s16_large_lowering|p02_early_pathology,B6,2012.5
1217,44,high_20nA,2746,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1493.0
1223,44,high_20nA,2764,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1538.0
1224,44,high_20nA,2766,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1369.5
1241,44,high_20nA,2813,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1528.5
1307,44,high_20nA,2955,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1784.0
1325,44,high_20nA,2995,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1430.0
1334,44,high_20nA,3028,amp_1000_2500|s16_large_lowering|p02_early_pathology,B2,1501.5
