source,task,method,model_family,metric,value,ci_low,ci_high,n,winner_direction,note
S19a timing architecture screen,run65_same_particle_timing_residual,mlp,mlp,sigma68_ns,1.176102265836601,1.024271333418154,1.3858794345208996,198,lower,single held-out run cross-check; ML corrects residuals left by analytic_timewalk
S19a timing architecture screen,run65_same_particle_timing_residual,gru,gru,sigma68_ns,1.224673623873883,1.013970574213437,1.4616518010568564,198,lower,single held-out run cross-check; ML corrects residuals left by analytic_timewalk
S19a timing architecture screen,run65_same_particle_timing_residual,gradient_boosted_trees,gradient_boosted_trees,sigma68_ns,1.2558411331904944,1.012152530769682,1.4380561394688172,198,lower,single held-out run cross-check; ML corrects residuals left by analytic_timewalk
S19a timing architecture screen,run65_same_particle_timing_residual,resnet,resnet,sigma68_ns,1.2989328657813275,1.086842366565669,1.49712871532366,198,lower,single held-out run cross-check; ML corrects residuals left by analytic_timewalk
S19a timing architecture screen,run65_same_particle_timing_residual,tcn,tcn,sigma68_ns,1.3412981098455397,1.0538925299046724,1.5600384893826562,198,lower,single held-out run cross-check; ML corrects residuals left by analytic_timewalk
S19a timing architecture screen,run65_same_particle_timing_residual,cnn,cnn,sigma68_ns,1.3626313618225443,1.030299382282311,1.5815755439801098,198,lower,single held-out run cross-check; ML corrects residuals left by analytic_timewalk
S19a timing architecture screen,run65_same_particle_timing_residual,attention,attention,sigma68_ns,1.434896343304376,1.0786580707911504,1.632441541549211,198,lower,single held-out run cross-check; ML corrects residuals left by analytic_timewalk
S19a timing architecture screen,run65_same_particle_timing_residual,ridge,ridge,sigma68_ns,1.4428421669311344,1.1955321773088647,1.6351584901370677,198,lower,single held-out run cross-check; ML corrects residuals left by analytic_timewalk
S19a timing architecture screen,run65_same_particle_timing_residual,analytic_timewalk,analytic_timewalk,sigma68_ns,1.494640076269676,1.2986523154325624,1.666220166352765,198,lower,single held-out run cross-check; ML corrects residuals left by analytic_timewalk
T07 pulse-shape morphology benchmark,run_heldout_morphology_proxy,ML_gradient_boosted_trees,ml_panel,roc_auc,0.9999994976905066,0.9999973505547276,1.0,9745,higher,consumer-style morphology task; not on S03 timing scale
T07 pulse-shape morphology benchmark,run_heldout_morphology_proxy,ML_mlp,ml_panel,roc_auc,0.9996163611243596,0.9993213643437532,0.9998472912351798,9745,higher,consumer-style morphology task; not on S03 timing scale
T07 pulse-shape morphology benchmark,run_heldout_morphology_proxy,traditional_fisher_gatti_all_features,traditional_multivariate,roc_auc,0.9949637194410602,0.9923579506643366,0.9971993412470332,9745,higher,consumer-style morphology task; not on S03 timing scale
T07 pulse-shape morphology benchmark,run_heldout_morphology_proxy,ML_ridge_classifier,ml_panel,roc_auc,0.993532576905467,0.990534538694415,0.9959791054048576,9745,higher,consumer-style morphology task; not on S03 timing scale
T07 pulse-shape morphology benchmark,run_heldout_morphology_proxy,NN_residual_squeeze_cnn_new,ml_panel,roc_auc,0.9843890999844536,0.978443596720916,0.989520345483503,9745,higher,consumer-style morphology task; not on S03 timing scale
T07 pulse-shape morphology benchmark,run_heldout_morphology_proxy,NN_1d_cnn,ml_panel,roc_auc,0.9740968412518658,0.9662262605941688,0.9807138663201294,9745,higher,consumer-style morphology task; not on S03 timing scale
