heldout_run,method,family,baseline,n_events,n_pair_residuals,sigma68_ns,full_rms_ns,abs_residual_p95_ns,tail_frac_vs_traditional_p95,ci_low,ci_high,delta_vs_traditional_ns,delta_ci_low,delta_ci_high
58,extra_trees_no_sample6,ml,s02b_global_template_timewalk,73,219,1.000036165790211,2.5466061196354355,3.285605980356478,0.045662100456621,0.8732580405277831,1.2721842381191877,-0.5227561663743647,-0.8533396949718124,-0.10174270114998302
58,extra_trees_full,ml,s02b_global_template_timewalk,73,219,1.002067682285414,2.540218220383559,3.219648008957426,0.0502283105022831,0.8715436410523288,1.2638228576527104,-0.5207246498791618,-0.8647646926788102,-0.13928677888159047
58,hgb_full,ml,s02b_global_template_timewalk,73,219,1.0224927531364032,2.534709473474542,2.5696967662976005,0.0273972602739726,0.8865600834895189,1.2408403898444242,-0.5002995790281726,-0.8244884969610379,-0.1666173333708712
58,hgb_run_family_control,run_family_control,s02b_global_template_timewalk,73,219,1.0695057633206713,2.5860127086690015,2.526072927170307,0.0319634703196347,0.9263241667606414,1.2450878440701854,-0.4532865688439045,-0.7970094235923298,-0.15989043554112778
58,extra_trees_only_sample6,ml,s02b_global_template_timewalk,73,219,1.1219843832778587,2.6499440971235413,3.352511307355895,0.0365296803652968,0.9728502344731881,1.3619012973131184,-0.4008079488867171,-0.7228320512485531,-0.024814974106606637
58,hgb_no_sample6,ml,s02b_global_template_timewalk,73,219,1.1484769685470073,2.569956601915031,3.4103265116689094,0.0410958904109589,1.0307379699416592,1.3958395010418694,-0.37431536361756845,-0.6997360423536054,-0.04546297036433082
58,cnn1d_full,ml,s02b_global_template_timewalk,73,219,1.1713909576799804,2.763095281185446,3.3637283330119634,0.0365296803652968,0.9250268162737539,1.4402862509732433,-0.3514013744845954,-0.5466299207355735,-0.21663125509144876
58,hgb_only_sample6,ml,s02b_global_template_timewalk,73,219,1.206868036779891,2.5965645886543625,2.9503619227723616,0.0273972602739726,1.0456859368379905,1.446634593057654,-0.3159242953846848,-0.6319338697479314,0.1113454262656306
58,early_late_gated_only_sample6,ml,s02b_global_template_timewalk,73,219,1.2606273551991787,2.6598773304071606,3.3846815408831543,0.0410958904109589,0.9729564939456931,1.5109932785233022,-0.2621649769653971,-0.44767396300032974,-0.1607592891151386
58,cnn1d_only_sample6,ml,s02b_global_template_timewalk,73,219,1.3245033323103843,2.6465798977970825,3.5421447313454433,0.0502283105022831,1.0615733773396323,1.6595159843514986,-0.19828899985419146,-0.35920913163386015,-0.09212789886461073
