geometry,method,veto_family,delta_energy_res68_vs_traditional,delta_energy_res68_vs_traditional_ci95,n,acceptance,charge_proxy_log_shift,energy_proxy_res68,depth_order_violation_rate,acceptance_ci95,charge_proxy_log_shift_ci95,energy_proxy_res68_ci95,depth_order_violation_rate_ci95
center_2cm,new_residual_gated_ensemble,all,-0.00014401897732890107,"[-0.00027372588461079277, -4.363010045622673e-05]",168483,0.4465811229534051,-0.19188494707548465,0.006745896613260225,0.0,"[0.40409306618666385, 0.4956576794653972]","[-0.2535269397424039, -0.03382955269001189]","[0.005929614854430348, 0.007199921759894777]","[0.0, 0.0]"
center_2cm,mlp_support,all,-9.255302459074133e-05,"[-0.00024603286135385844, -1.9697274709343357e-08]",165503,0.4386823334826505,-0.17949811859847742,0.006797362565998385,0.017241379310344827,"[0.3924399072645513, 0.4830064628975913]","[-0.24884789549540845, -0.00992444844469386]","[0.006255895468989188, 0.007279137181018092]","[0.0, 0.03225806451612903]"
center_2cm,gradient_boosted_trees,all,-3.5027863908376235e-05,"[-7.858132099502511e-05, -4.430696556263493e-06]",167476,0.4439119682564085,-0.22428665634812361,0.00685488772668075,0.031746031746031744,"[0.40914715486785097, 0.49765871922610105]","[-0.27734269667216904, -0.05712847462454446]","[0.006303000609530194, 0.007297347419992687]","[0.0, 0.05555555555555555]"
center_2cm,traditional_veto_ladder,all,0.0,"[0.0, 0.0]",167648,0.4443678715412977,-0.23081551523058685,0.006889915590589126,0.031746031746031744,"[0.3994396893592283, 0.4835272436333056]","[-0.3059335333778979, -0.09282513375410373]","[0.00641091405233361, 0.007318121697690986]","[0.0, 0.05555555555555555]"
center_2cm,ridge_support,all,1.9893584668794276e-05,"[-0.00011308956349402374, 0.00013054695772082305]",168331,0.4461782316783867,-0.178582663499542,0.00690980917525792,0.015873015873015872,"[0.40666440485173544, 0.4997875423131242]","[-0.25499825295044626, -0.025262393899470638]","[0.00631757401538933, 0.007359218191284004]","[0.0, 0.030303030303030304]"
center_2cm,cnn_1d_support,all,0.00019274505983913736,"[-0.00013586642737924606, 0.0003707213442934275]",169825,0.45013822881573823,-0.1962582115757261,0.0070826606504282635,0.0,"[0.4074011151599404, 0.4986997997785038]","[-0.2672038605590614, -0.025043164396062103]","[0.006037699159590406, 0.007659663747040529]","[0.0, 0.0]"
center_2cm,shuffled_target_hgb_control,all,0.004003385547424349,"[0.0027556369567969417, 0.006027701935508563]",207628,0.5503388792730993,-0.003145277135448765,0.010893301138013475,0.0,"[0.46187021744728635, 0.6431060570193436]","[-0.2883443010766794, 0.09738911673407052]","[0.009719759113730157, 0.012352853615914847]","[0.0, 0.0]"
center_4cm,new_residual_gated_ensemble,all,-0.00014401897732890107,"[-0.0002988362409642241, -4.073105187664042e-05]",168483,0.4465811229534051,-0.19188494707548465,0.006745896613260225,0.0,"[0.41559222003213137, 0.497333905400788]","[-0.2697612607846334, -0.04011292305691918]","[0.0061044066269877306, 0.007267254753372776]","[0.0, 0.0]"
center_4cm,mlp_support,all,-9.255302459074133e-05,"[-0.00020841540514168508, -5.734709850240498e-07]",165503,0.4386823334826505,-0.17949811859847742,0.006797362565998385,0.017241379310344827,"[0.4006738828326576, 0.48593554934055655]","[-0.2598284842222683, -0.04196215257890755]","[0.006193652248332854, 0.007293051645615673]","[0.0, 0.03225806451612903]"
center_4cm,gradient_boosted_trees,all,-3.5027863908376235e-05,"[-6.653219747669523e-05, -6.3293736341729715e-06]",167476,0.4439119682564085,-0.22428665634812361,0.00685488772668075,0.031746031746031744,"[0.4083801173377258, 0.5083990353598241]","[-0.29865665272429015, -0.026979330176714153]","[0.006174909077601701, 0.007293581125281934]","[0.0, 0.05555555555555555]"
