method_metric,stratum,amp_bin,baseline_bin,p02_topology,low_n_scored,high_n_scored,low_mean,high_mean,high_minus_low,match_weight,method
trad_secondary_fraction,amp_ge_4500|s16_no_lowering|p02_broad_late,amp_ge_4500,s16_no_lowering,p02_broad_late,280,1680,0.14806703516886283,0.18340887908253753,0.0353418439136747,0.5196027182435965,traditional
trad_secondary_fraction,amp_2500_4500|s16_no_lowering|p02_broad_late,amp_2500_4500,s16_no_lowering,p02_broad_late,280,1680,0.35729223394948334,0.3613820073017326,0.0040897733522492485,0.29360515769297785,traditional
trad_secondary_fraction,amp_1000_2500|s16_no_lowering|p02_broad_late,amp_1000_2500,s16_no_lowering,p02_broad_late,239,1680,0.5822683905245416,0.5839900617449904,0.0017216712204487505,0.13573793343788115,traditional
trad_secondary_fraction,amp_1000_2500|s16_large_lowering|p02_early_pathology,amp_1000_2500,s16_large_lowering,p02_early_pathology,132,1637,0.0,0.001580486748166851,0.001580486748166851,0.02300052273915316,traditional
trad_secondary_fraction,amp_2500_4500|s16_large_lowering|p02_early_pathology,amp_2500_4500,s16_large_lowering,p02_early_pathology,51,1412,0.010256203018280946,0.008843139923689666,-0.0014130630945912801,0.008886565603763722,traditional
trad_secondary_fraction,amp_ge_4500|s16_large_lowering|p02_early_pathology,amp_ge_4500,s16_large_lowering,p02_early_pathology,45,1151,0.14065209381228735,0.088087466729906,-0.052564627082381354,0.007841087297438577,traditional
trad_secondary_fraction,amp_1000_2500|s16_mild_lowering|p02_broad_late,amp_1000_2500,s16_mild_lowering,p02_broad_late,38,820,0.5174773382758973,0.5085102986604615,-0.008967039615435768,0.00662136260672591,traditional
trad_secondary_fraction,amp_ge_4500|s16_large_lowering|p02_broad_late,amp_ge_4500,s16_large_lowering,p02_broad_late,27,1465,0.04080467100193062,0.12010226779212885,0.07929759679019822,0.004704652378463147,traditional
ridge_secondary_fraction,amp_ge_4500|s16_no_lowering|p02_broad_late,amp_ge_4500,s16_no_lowering,p02_broad_late,280,1680,0.05620987249231916,0.069489420750666,0.013279548258346839,0.5196027182435965,ridge
ridge_secondary_fraction,amp_2500_4500|s16_no_lowering|p02_broad_late,amp_2500_4500,s16_no_lowering,p02_broad_late,280,1680,0.07005846253657637,0.10696723728010579,0.036908774743529424,0.29360515769297785,ridge
ridge_secondary_fraction,amp_1000_2500|s16_no_lowering|p02_broad_late,amp_1000_2500,s16_no_lowering,p02_broad_late,239,1680,0.046772049897125474,0.0791075665391415,0.032335516642016025,0.13573793343788115,ridge
ridge_secondary_fraction,amp_1000_2500|s16_large_lowering|p02_early_pathology,amp_1000_2500,s16_large_lowering,p02_early_pathology,132,1637,0.04271826206827853,0.0863235016690803,0.04360523960080177,0.02300052273915316,ridge
ridge_secondary_fraction,amp_2500_4500|s16_large_lowering|p02_early_pathology,amp_2500_4500,s16_large_lowering,p02_early_pathology,51,1412,0.06939903838333913,0.10612793324286679,0.036728894859527655,0.008886565603763722,ridge
ridge_secondary_fraction,amp_ge_4500|s16_large_lowering|p02_early_pathology,amp_ge_4500,s16_large_lowering,p02_early_pathology,45,1151,0.1103384363914482,0.11137991950326459,0.0010414831118163853,0.007841087297438577,ridge
ridge_secondary_fraction,amp_1000_2500|s16_mild_lowering|p02_broad_late,amp_1000_2500,s16_mild_lowering,p02_broad_late,38,820,0.04227627145320073,0.0730825957971415,0.030806324343940775,0.00662136260672591,ridge
ridge_secondary_fraction,amp_ge_4500|s16_large_lowering|p02_broad_late,amp_ge_4500,s16_large_lowering,p02_broad_late,27,1465,0.21527946000969872,0.16638542269926102,-0.048894037310437705,0.004704652378463147,ridge
gradient_boosted_trees_secondary_fraction,amp_ge_4500|s16_no_lowering|p02_broad_late,amp_ge_4500,s16_no_lowering,p02_broad_late,280,1680,0.010059364391525844,0.01662982493551083,0.006570460543984986,0.5196027182435965,gradient_boosted_trees
gradient_boosted_trees_secondary_fraction,amp_2500_4500|s16_no_lowering|p02_broad_late,amp_2500_4500,s16_no_lowering,p02_broad_late,280,1680,0.021769527680863834,0.04051864313713621,0.018749115456272378,0.29360515769297785,gradient_boosted_trees
gradient_boosted_trees_secondary_fraction,amp_1000_2500|s16_no_lowering|p02_broad_late,amp_1000_2500,s16_no_lowering,p02_broad_late,239,1680,0.025125478714445537,0.03248041593936382,0.007354937224918284,0.13573793343788115,gradient_boosted_trees
gradient_boosted_trees_secondary_fraction,amp_1000_2500|s16_large_lowering|p02_early_pathology,amp_1000_2500,s16_large_lowering,p02_early_pathology,132,1637,0.09318715479635875,0.14303098861620267,0.04984383381984392,0.02300052273915316,gradient_boosted_trees
gradient_boosted_trees_secondary_fraction,amp_2500_4500|s16_large_lowering|p02_early_pathology,amp_2500_4500,s16_large_lowering,p02_early_pathology,51,1412,0.11600981784425038,0.09191794720094637,-0.02409187064330401,0.008886565603763722,gradient_boosted_trees
gradient_boosted_trees_secondary_fraction,amp_ge_4500|s16_large_lowering|p02_early_pathology,amp_ge_4500,s16_large_lowering,p02_early_pathology,45,1151,0.050615011310770786,0.07458219113464348,0.023967179823872697,0.007841087297438577,gradient_boosted_trees
gradient_boosted_trees_secondary_fraction,amp_1000_2500|s16_mild_lowering|p02_broad_late,amp_1000_2500,s16_mild_lowering,p02_broad_late,38,820,0.03141774091438271,0.03984820892967112,0.008430468015288413,0.00662136260672591,gradient_boosted_trees
gradient_boosted_trees_secondary_fraction,amp_ge_4500|s16_large_lowering|p02_broad_late,amp_ge_4500,s16_large_lowering,p02_broad_late,27,1465,0.05368785879377803,0.10470873878523211,0.051020879991454084,0.004704652378463147,gradient_boosted_trees
mlp_secondary_fraction,amp_ge_4500|s16_no_lowering|p02_broad_late,amp_ge_4500,s16_no_lowering,p02_broad_late,280,1680,0.02294635619089999,0.01722800005091385,-0.0057183561399861416,0.5196027182435965,mlp
mlp_secondary_fraction,amp_2500_4500|s16_no_lowering|p02_broad_late,amp_2500_4500,s16_no_lowering,p02_broad_late,280,1680,0.04073866580274484,0.041747646496848465,0.0010089806941036214,0.29360515769297785,mlp
mlp_secondary_fraction,amp_1000_2500|s16_no_lowering|p02_broad_late,amp_1000_2500,s16_no_lowering,p02_broad_late,239,1680,0.04390695062796503,0.03530504041023048,-0.00860191021773455,0.13573793343788115,mlp
mlp_secondary_fraction,amp_1000_2500|s16_large_lowering|p02_early_pathology,amp_1000_2500,s16_large_lowering,p02_early_pathology,132,1637,0.18494134017880928,0.2446916298884745,0.05975028970966523,0.02300052273915316,mlp
mlp_secondary_fraction,amp_2500_4500|s16_large_lowering|p02_early_pathology,amp_2500_4500,s16_large_lowering,p02_early_pathology,51,1412,0.0723166675357692,0.10406176435311276,0.03174509681734357,0.008886565603763722,mlp
mlp_secondary_fraction,amp_ge_4500|s16_large_lowering|p02_early_pathology,amp_ge_4500,s16_large_lowering,p02_early_pathology,45,1151,0.0544418243071989,0.0722662364422393,0.0178244121350404,0.007841087297438577,mlp
mlp_secondary_fraction,amp_1000_2500|s16_mild_lowering|p02_broad_late,amp_1000_2500,s16_mild_lowering,p02_broad_late,38,820,0.05530881930952082,0.042398462421126874,-0.012910356888393947,0.00662136260672591,mlp
mlp_secondary_fraction,amp_ge_4500|s16_large_lowering|p02_broad_late,amp_ge_4500,s16_large_lowering,p02_broad_late,27,1465,0.1777518836592263,0.12274924772245356,-0.05500263593677275,0.004704652378463147,mlp
cnn1d_secondary_fraction,amp_ge_4500|s16_no_lowering|p02_broad_late,amp_ge_4500,s16_no_lowering,p02_broad_late,280,1680,0.09088145941495895,0.09073611348867416,-0.00014534592628479004,0.5196027182435965,cnn1d
cnn1d_secondary_fraction,amp_2500_4500|s16_no_lowering|p02_broad_late,amp_2500_4500,s16_no_lowering,p02_broad_late,280,1680,0.11755575239658356,0.12672531604766846,0.0091695636510849,0.29360515769297785,cnn1d
cnn1d_secondary_fraction,amp_1000_2500|s16_no_lowering|p02_broad_late,amp_1000_2500,s16_no_lowering,p02_broad_late,239,1680,0.07731025665998459,0.08749976754188538,0.010189510881900787,0.13573793343788115,cnn1d
cnn1d_secondary_fraction,amp_1000_2500|s16_large_lowering|p02_early_pathology,amp_1000_2500,s16_large_lowering,p02_early_pathology,132,1637,0.02899257093667984,0.21287204325199127,0.18387947231531143,0.02300052273915316,cnn1d
cnn1d_secondary_fraction,amp_2500_4500|s16_large_lowering|p02_early_pathology,amp_2500_4500,s16_large_lowering,p02_early_pathology,51,1412,0.056210409849882126,0.14818118512630463,0.0919707752764225,0.008886565603763722,cnn1d
cnn1d_secondary_fraction,amp_ge_4500|s16_large_lowering|p02_early_pathology,amp_ge_4500,s16_large_lowering,p02_early_pathology,45,1151,0.05004367232322693,0.0942738726735115,0.044230200350284576,0.007841087297438577,cnn1d
cnn1d_secondary_fraction,amp_1000_2500|s16_mild_lowering|p02_broad_late,amp_1000_2500,s16_mild_lowering,p02_broad_late,38,820,0.07645326852798462,0.09054639935493469,0.014093130826950073,0.00662136260672591,cnn1d
cnn1d_secondary_fraction,amp_ge_4500|s16_large_lowering|p02_broad_late,amp_ge_4500,s16_large_lowering,p02_broad_late,27,1465,0.04017648100852966,0.0931868851184845,0.053010404109954834,0.004704652378463147,cnn1d
