method,subtype,metric,ci_low,ci_high,n_boot_valid
cnn_1d,early_sample_offset,charge_bias_abs_mean_high_minus_low,-0.036285114288330075,0.013220548629760756,73
cnn_1d,early_sample_offset,charge_bias_abs_res68_high_minus_low,-0.08687638854980466,-0.05124580383300776,73
cnn_1d,early_sample_offset,downstream_topology_rate_high_minus_low,0.027852094518761188,0.06410665090406277,73
cnn_1d,early_sample_offset,dropout_harm_rate_high_minus_low,0.0,0.0,73
cnn_1d,early_sample_offset,prevalence_within_method_current_rows_high_minus_low,0.8615229227605781,1.0,100
cnn_1d,early_sample_offset,secondary_fraction_mean_high_minus_low,0.0007421524962410331,0.001881765597499907,73
cnn_1d,early_sample_offset,timing_tail_gt5_rate_high_minus_low,0.01003393308080808,0.03513337670787249,73
cnn_1d,nominal_baseline_excursion,charge_bias_abs_mean_high_minus_low,,,0
cnn_1d,nominal_baseline_excursion,charge_bias_abs_res68_high_minus_low,,,0
cnn_1d,nominal_baseline_excursion,downstream_topology_rate_high_minus_low,,,0
cnn_1d,nominal_baseline_excursion,dropout_harm_rate_high_minus_low,,,0
cnn_1d,nominal_baseline_excursion,prevalence_within_method_current_rows_high_minus_low,1.0,1.0,100
cnn_1d,nominal_baseline_excursion,secondary_fraction_mean_high_minus_low,,,0
cnn_1d,nominal_baseline_excursion,timing_tail_gt5_rate_high_minus_low,,,0
cnn_1d,peak_phase_late,charge_bias_abs_mean_high_minus_low,-0.11753540635108947,-0.04122567176818846,73
cnn_1d,peak_phase_late,charge_bias_abs_res68_high_minus_low,0.12798864364624024,0.1922707862854004,73
cnn_1d,peak_phase_late,downstream_topology_rate_high_minus_low,0.0,0.0324731182795699,73
cnn_1d,peak_phase_late,dropout_harm_rate_high_minus_low,-0.2759345072598085,-0.17465077159365172,73
cnn_1d,peak_phase_late,prevalence_within_method_current_rows_high_minus_low,0.9473246753246753,1.0,100
cnn_1d,peak_phase_late,secondary_fraction_mean_high_minus_low,0.01010499713011086,0.026149749429896476,73
cnn_1d,peak_phase_late,timing_tail_gt5_rate_high_minus_low,0.48640732265446224,0.6882425411109325,73
cnn_1d,pretrigger_slope,charge_bias_abs_mean_high_minus_low,0.025317847728729248,0.11002726256847382,73
cnn_1d,pretrigger_slope,charge_bias_abs_res68_high_minus_low,0.04787487030029297,0.07548002243041994,73
cnn_1d,pretrigger_slope,downstream_topology_rate_high_minus_low,0.020959752321981422,0.0644263740570197,73
cnn_1d,pretrigger_slope,dropout_harm_rate_high_minus_low,-0.18244355167894816,-0.03498152778296081,73
cnn_1d,pretrigger_slope,prevalence_within_method_current_rows_high_minus_low,0.8201409931358605,1.0,100
cnn_1d,pretrigger_slope,secondary_fraction_mean_high_minus_low,-0.0064540810883045195,0.016413306817412376,73
