n_bins,run_shrink_strength,deployment_population_weight,fold,sigma68_ns,n_pair_residuals,heldout_run
6,20.0,0.0,0,2.0457805875983457,2997,58
6,20.0,0.0,1,1.3064867402437592,3534,58
6,20.0,0.0,2,1.3369098182637678,4710,58
6,20.0,0.0,-1,1.5630590487019578,0,58
6,20.0,1.0,0,2.01921402267266,2997,58
6,20.0,1.0,1,1.2919237658793876,3534,58
6,20.0,1.0,2,1.3247924037080043,4710,58
6,20.0,1.0,-1,1.545310064086684,0,58
6,20.0,4.0,0,1.9798695819387728,2997,58
6,20.0,4.0,1,1.2667116982824371,3534,58
6,20.0,4.0,2,1.3316741166598334,4710,58
6,20.0,4.0,-1,1.526085132293681,0,58
6,20.0,16.0,0,1.9376391853718793,2997,58
6,20.0,16.0,1,1.243176682336167,3534,58
6,20.0,16.0,2,1.336279789013829,4710,58
6,20.0,16.0,-1,1.5056985522406252,0,58
6,80.0,0.0,0,1.82577861695563,2997,58
6,80.0,0.0,1,1.1119420693255053,3534,58
6,80.0,0.0,2,1.2722080724781077,4710,58
6,80.0,0.0,-1,1.403309586253081,0,58
6,80.0,1.0,0,1.7673617032411852,2997,58
6,80.0,1.0,1,1.08666160554568,3534,58
6,80.0,1.0,2,1.2464971560275075,4710,58
6,80.0,1.0,-1,1.3668401549381244,0,58
6,80.0,4.0,0,1.6759858546585615,2997,58
6,80.0,4.0,1,1.1132885094571123,3534,58
6,80.0,4.0,2,1.2432040000007771,4710,58
6,80.0,4.0,-1,1.3441594547054836,0,58
6,80.0,16.0,0,1.578552140168727,2997,58
6,80.0,16.0,1,1.1228495811094203,3534,58
6,80.0,16.0,2,1.2415297527784337,4710,58
6,80.0,16.0,-1,1.3143104913521937,0,58
6,320.0,0.0,0,1.2490147887938914,2997,58
6,320.0,0.0,1,1.105830706211604,3534,58
6,320.0,0.0,2,1.2185025235889297,4710,58
6,320.0,0.0,-1,1.1911160061981416,0,58
6,320.0,1.0,0,1.1986992005205743,2997,58
6,320.0,1.0,1,1.0922426205974363,3534,58
6,320.0,1.0,2,1.2312191718282175,4710,58
6,320.0,1.0,-1,1.1740536643154094,0,58
6,320.0,4.0,0,1.1839743577945812,2997,58
6,320.0,4.0,1,1.0646435672983485,3534,58
6,320.0,4.0,2,1.2262534584158211,4710,58
6,320.0,4.0,-1,1.1582904611695837,0,58
6,320.0,16.0,0,1.2155125055157912,2997,58
6,320.0,16.0,1,1.0195333456755473,3534,58
6,320.0,16.0,2,1.1338759782920385,4710,58
6,320.0,16.0,-1,1.1229739431611254,0,58
6,1280.0,0.0,0,1.4120569600004105,2997,58
6,1280.0,0.0,1,1.705241688605235,3534,58
6,1280.0,0.0,2,1.9985928916589668,4710,58
6,1280.0,0.0,-1,1.705297180088204,0,58
6,1280.0,1.0,0,1.4290698287416017,2997,58
6,1280.0,1.0,1,1.743863111161622,3534,58
6,1280.0,1.0,2,2.0407776230938235,4710,58
6,1280.0,1.0,-1,1.7379035209990157,0,58
6,1280.0,4.0,0,1.4715264016076957,2997,58
6,1280.0,4.0,1,1.7969091762718337,3534,58
6,1280.0,4.0,2,2.1044614781643016,4710,58
6,1280.0,4.0,-1,1.7909656853479436,0,58
6,1280.0,16.0,0,1.5280687510705588,2997,58
6,1280.0,16.0,1,1.8549748793651548,3534,58
6,1280.0,16.0,2,2.1681323031433304,4710,58
6,1280.0,16.0,-1,1.8503919778596813,0,58
8,20.0,0.0,0,2.0125823442354505,2997,58
