dimension,stratum,method,method_label,n_runs,n_events,n,bias_ns,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,pull_width68,coverage68,coverage95,coverage68_error,coverage95_error,calibration_ece,calibration_loss,sigma68_ci_low_ns,sigma68_ci_high_ns,pull_width68_ci_low,pull_width68_ci_high,coverage68_ci_low,coverage68_ci_high,coverage95_ci_low,coverage95_ci_high,calibration_loss_ci_low,calibration_loss_ci_high
amplitude_bin,"amp_adc[1000,1500)",cnn1d,1D-CNN residual scale model,7,216,256,1.655272920824955,2.024012162720009,0.6722003659548632,2.9553336577512432,0.0078125,0.4013613912807553,0.421875,0.953125,0.26081449213700003,0.0031250000000000444,0.1708375054781719,0.25835390158360416,,,,,,,,,,
amplitude_bin,"amp_adc[1000,1500)",gradient_boosted_trees,HistGradientBoosting residual scale model,7,216,256,1.7533869099915786,2.0348996545925573,0.8516052908047049,2.9394507406202277,0.0078125,0.41309866910202697,0.515625,0.94140625,0.16706449213700003,0.008593749999999956,0.09837599606850003,0.21523389227586825,,,,,,,,,,
amplitude_bin,"amp_adc[1000,1500)",mlp,MLP residual scale model,7,216,256,1.8531836841482618,2.025135404168047,1.0792514091428995,2.8219164022243945,0.0234375,0.49877362585848933,0.55859375,0.9375,0.12409574213700003,0.012499999999999956,0.12324190154516408,0.19026600445591868,,,,,,,,,,
amplitude_bin,"amp_adc[1000,1500)",phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,7,216,256,1.6864036281820338,2.0305244547178987,0.7132174964672557,3.033283526470041,0.015625,0.37220468565469705,0.61328125,0.953125,0.06940824213700003,0.0031250000000000444,0.10781278595483595,0.20203533560928477,,,,,,,,,,
amplitude_bin,"amp_adc[1000,1500)",ridge,Ridge residual scale model,7,216,256,1.6573870497866485,2.0039623126857755,1.0400312471636608,2.811701912300037,0.0078125,0.6018232243365756,0.484375,0.9375,0.19831449213700003,0.012499999999999956,0.1274781304781719,0.18411734956964906,,,,,,,,,,
amplitude_bin,"amp_adc[1000,1500)",traditional,S02/S03/S04 atom robust-width baseline,7,216,256,1.7713365467238522,2.2642547856428585,0.9439871224763401,2.955759084487598,0.0078125,7.264392032815385,0.14453125,0.27734375,0.538158242137,0.67265625,0.6054072460684999,2.0201534427552215,,,,,,,,,,
amplitude_bin,"amp_adc[1500,2500)",cnn1d,1D-CNN residual scale model,7,2372,3901,1.5288165238328293,1.8540216693426077,1.4682339823911263,2.041704733650396,0.007177646757241733,0.8161358469837202,0.4437323763137657,0.9510381953345296,0.2389571158232343,0.0010381953345296457,0.14306866301287327,0.14173203179672925,,,,,,,,,,
amplitude_bin,"amp_adc[1500,2500)",gradient_boosted_trees,HistGradientBoosting residual scale model,7,2372,3901,1.593009455132567,1.9104348558070043,1.4585122378530961,2.029693586408321,0.007177646757241733,0.8133789727821503,0.5180722891566265,0.8995129453986157,0.16461720298037352,0.05048705460138425,0.1144862482474285,0.12905288326175898,,,,,,,,,,
amplitude_bin,"amp_adc[1500,2500)",mlp,MLP residual scale model,7,2372,3901,1.571969043272264,1.8456631443557607,1.4936380398139202,2.1220236488255693,0.006921302230197385,0.8219318377383763,0.5357600615226865,0.8943860548577288,0.14692943061431352,0.05561394514227114,0.12328386594571175,0.12597385099098002,,,,,,,,,,
amplitude_bin,"amp_adc[1500,2500)",phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,7,2372,3901,1.5533326970651369,1.8732856369916109,1.4568266669153473,2.1192886808965667,0.0066649577031530375,0.7101341307956877,0.651115098692643,0.9720584465521661,0.031574393444357085,0.022058446552166155,0.05783523370404989,0.10033348572622136,,,,,,,,,,
amplitude_bin,"amp_adc[1500,2500)",ridge,Ridge residual scale model,7,2372,3901,1.4208658640890313,1.6635406641127446,1.4650089274041704,2.118550930716455,0.009741092027685208,0.8657194349112795,0.45552422455780567,0.8872084081004871,0.22716526757919436,0.06279159189951289,0.14550393601979456,0.1424353401468056,,,,,,,,,,
amplitude_bin,"amp_adc[1500,2500)",traditional,S02/S03/S04 atom robust-width baseline,7,2372,3901,1.3989156903781397,1.9306132685278783,1.3523381274574648,2.197581618932686,0.013586259933350423,4.531003643732604,0.36964880799794925,0.5834401435529352,0.3130406841390508,0.3665598564470648,0.33980027029305787,1.1376011136529443,,,,,,,,,,
amplitude_bin,"amp_adc[2500,4000)",cnn1d,1D-CNN residual scale model,7,3099,6811,1.0825518994238883,1.3606716065373377,1.5227072311788326,2.4171243921805536,0.011305241521068859,1.0735425464445212,0.4618998678608134,0.9323153721920423,0.22078962427618665,0.017684627807957654,0.1357178190386953,0.11193365439184019,,,,,,,,,,
amplitude_bin,"amp_adc[2500,4000)",gradient_boosted_trees,HistGradientBoosting residual scale model,7,3099,6811,1.0961628451101548,1.2384268280352655,1.6038494541741812,2.3226606084357386,0.015563059756276611,1.1633146743087632,0.4930259873733666,0.8540596094552929,0.18966350476363342,0.09594039054470704,0.14280194765417023,0.1479301293178185,,,,,,,,,,
amplitude_bin,"amp_adc[2500,4000)",mlp,MLP residual scale model,7,3099,6811,1.1004447801750155,1.2144522808966656,1.6839076595218971,2.3992054106477583,0.012920276024078697,1.1389357936690643,0.5062399060343562,0.8675671707531933,0.17644958610264383,0.08243282924680662,0.12975687350940443,0.1318937706319798,,,,,,,,,,
amplitude_bin,"amp_adc[2500,4000)",phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,7,3099,6811,1.035898434783891,1.340973272222044,1.5243660509090184,2.360994789256294,0.009690207018059022,0.9652271102126928,0.6248715313463515,0.9581559242401997,0.05781796079064849,0.00815592424019973,0.04976777091320256,0.03762863643283949,,,,,,,,,,
amplitude_bin,"amp_adc[2500,4000)",ridge,Ridge residual scale model,7,3099,6811,1.0698790145854244,1.1549396463551247,1.6036406733414657,2.5129419395257515,0.014094846571722214,1.125964676406856,0.4947878431948319,0.8662457788870944,0.18790164894216815,0.08375422111290554,0.13582793502753687,0.13336212037236667,,,,,,,,,,
amplitude_bin,"amp_adc[2500,4000)",traditional,S02/S03/S04 atom robust-width baseline,7,3099,6811,1.0484281155841555,1.1984680969567163,1.561580351012349,2.6379571421248373,0.017178094259286448,2.044799762828156,0.4150638672735281,0.6868301277345471,0.2676256248634719,0.26316987226545285,0.2653977485644624,0.4602482521303858,,,,,,,,,,
amplitude_bin,"amp_adc[4000,7000)",cnn1d,1D-CNN residual scale model,7,302,492,0.7980778666947249,0.26905565255910346,1.6406048563295186,4.085648641783582,0.07520325203252033,1.359447488640836,0.45528455284552843,0.8617886178861789,0.2274049392914716,0.08821138211382107,0.15780816070264636,0.2082179926871938,,,,,,,,,,
amplitude_bin,"amp_adc[4000,7000)",gradient_boosted_trees,HistGradientBoosting residual scale model,7,302,492,0.6980250319780755,0.38913157746346627,1.733919268386987,3.369827197596924,0.07317073170731707,1.4279401517775576,0.5101626016260162,0.8130081300813008,0.1725268905109838,0.13699186991869916,0.15475938021484145,0.22305457310552051,,,,,,,,,,
amplitude_bin,"amp_adc[4000,7000)",mlp,MLP residual scale model,7,302,492,0.8828097968801069,0.5226358862398293,1.987197997531456,3.9927468346517014,0.07520325203252033,1.4441457030521985,0.49390243902439024,0.8150406504065041,0.1887870531126098,0.13495934959349587,0.16187320135305286,0.23244132677783924,,,,,,,,,,
amplitude_bin,"amp_adc[4000,7000)",phase_conformal_gated_cnn,Phase-conformal atom-gated CNN,7,302,492,0.8665800885872444,0.3307563542726619,1.6263803865343847,4.090115046909771,0.06300813008130081,1.1181301002533064,0.5873983739837398,0.9166666666666666,0.09529111815326019,0.033333333333333326,0.06817401436118294,0.07873214152527071,,,,,,,,,,
amplitude_bin,"amp_adc[4000,7000)",ridge,Ridge residual scale model,7,302,492,2.105206173492419,1.4175460513911204,2.4168856420526734,4.736821107719291,0.11585365853658537,1.308184031848955,0.491869918699187,0.790650406504065,0.19081957343781303,0.15934959349593492,0.17508458346687394,0.20835944556239422,,,,,,,,,,
amplitude_bin,"amp_adc[4000,7000)",traditional,S02/S03/S04 atom robust-width baseline,7,302,492,2.4526513940718,1.6113911932347733,2.5544394749051538,4.917319702427411,0.09349593495934959,2.616681104173125,0.21544715447154472,0.4329268292682927,0.4672423376654553,0.5170731707317073,0.4921577541985813,0.7732885916922172,,,,,,,,,,
