method,base_method,drift_order,fold,heldout_runs,sigma68_ns,n_pair_residuals,proxy_family,heldout_run
s02j_global_proxy_current,template_phase,1,0,61 65,2.156336096778108,2997,current,58
s02j_global_proxy_current,template_phase,1,1,60 63,1.5203552625267351,3534,current,58
s02j_global_proxy_current,template_phase,1,2,59 62,1.5754128682115183,4710,current,58
s02j_global_proxy_trigger_density,template_phase,1,0,61 65,2.2005866357750556,2997,trigger_density,58
s02j_global_proxy_trigger_density,template_phase,1,1,60 63,1.6333671210025456,3534,trigger_density,58
s02j_global_proxy_trigger_density,template_phase,1,2,59 62,1.8934961620211976,4710,trigger_density,58
s02j_global_proxy_event_order_density,template_phase,1,0,61 65,2.2005866357750556,2997,event_order_density,58
s02j_global_proxy_event_order_density,template_phase,1,1,60 63,1.6333671210025456,3534,event_order_density,58
s02j_global_proxy_event_order_density,template_phase,1,2,59 62,1.8934961620211976,4710,event_order_density,58
s02j_global_proxy_selected_pulse_density,template_phase,1,0,61 65,2.113911646604816,2997,selected_pulse_density,58
s02j_global_proxy_selected_pulse_density,template_phase,1,1,60 63,1.5807158508214625,3534,selected_pulse_density,58
s02j_global_proxy_selected_pulse_density,template_phase,1,2,59 62,1.5355549779027444,4710,selected_pulse_density,58
s02j_global_proxy_topology_occupancy,template_phase,1,0,61 65,2.1656440389064406,2997,topology_occupancy,58
s02j_global_proxy_topology_occupancy,template_phase,1,1,60 63,1.6772381417405717,3534,topology_occupancy,58
s02j_global_proxy_topology_occupancy,template_phase,1,2,59 62,1.6038825735862559,4710,topology_occupancy,58
s02j_global_proxy_all_root_proxies,template_phase,1,0,61 65,2.344287975999422,2997,all_root_proxies,58
s02j_global_proxy_all_root_proxies,template_phase,1,1,60 63,1.5962808313850179,3534,all_root_proxies,58
s02j_global_proxy_all_root_proxies,template_phase,1,2,59 62,2.0104409856523646,4710,all_root_proxies,58
s02j_global_proxy_current,template_phase,1,0,61,2.1733432775500736,2799,current,59
s02j_global_proxy_current,template_phase,1,1,58 60 65,1.549232619033467,2841,current,59
s02j_global_proxy_current,template_phase,1,2,62 63,1.5567295664093777,3531,current,59
s02j_global_proxy_trigger_density,template_phase,1,0,61,2.1712569891670976,2799,trigger_density,59
s02j_global_proxy_trigger_density,template_phase,1,1,58 60 65,1.9165734766411424,2841,trigger_density,59
s02j_global_proxy_trigger_density,template_phase,1,2,62 63,1.544079262234555,3531,trigger_density,59
s02j_global_proxy_event_order_density,template_phase,1,0,61,2.1712569891670976,2799,event_order_density,59
s02j_global_proxy_event_order_density,template_phase,1,1,58 60 65,1.9165734766411424,2841,event_order_density,59
s02j_global_proxy_event_order_density,template_phase,1,2,62 63,1.544079262234555,3531,event_order_density,59
s02j_global_proxy_selected_pulse_density,template_phase,1,0,61,2.163286843785071,2799,selected_pulse_density,59
s02j_global_proxy_selected_pulse_density,template_phase,1,1,58 60 65,3.764650350404869,2841,selected_pulse_density,59
s02j_global_proxy_selected_pulse_density,template_phase,1,2,62 63,1.4907590837741018,3531,selected_pulse_density,59
s02j_global_proxy_topology_occupancy,template_phase,1,0,61,2.16787372434981,2799,topology_occupancy,59
s02j_global_proxy_topology_occupancy,template_phase,1,1,58 60 65,1.6110595276438706,2841,topology_occupancy,59
s02j_global_proxy_topology_occupancy,template_phase,1,2,62 63,1.693489976717806,3531,topology_occupancy,59
s02j_global_proxy_all_root_proxies,template_phase,1,0,61,2.1854963611114546,2799,all_root_proxies,59
s02j_global_proxy_all_root_proxies,template_phase,1,1,58 60 65,26.824958451989822,2841,all_root_proxies,59
s02j_global_proxy_all_root_proxies,template_phase,1,2,62 63,2.3253780660957357,3531,all_root_proxies,59
s02j_global_proxy_current,template_phase,1,0,61,2.1340041310473823,2799,current,60
s02j_global_proxy_current,template_phase,1,1,58 62 65,1.5760326037530952,2838,current,60
s02j_global_proxy_current,template_phase,1,2,59 63,1.491698645845224,3399,current,60
s02j_global_proxy_trigger_density,template_phase,1,0,61,2.13051364179129,2799,trigger_density,60
s02j_global_proxy_trigger_density,template_phase,1,1,58 62 65,2.027686672936233,2838,trigger_density,60
s02j_global_proxy_trigger_density,template_phase,1,2,59 63,1.4864873702648371,3399,trigger_density,60
s02j_global_proxy_event_order_density,template_phase,1,0,61,2.13051364179129,2799,event_order_density,60
s02j_global_proxy_event_order_density,template_phase,1,1,58 62 65,2.027686672936233,2838,event_order_density,60
s02j_global_proxy_event_order_density,template_phase,1,2,59 63,1.4864873702648371,3399,event_order_density,60
s02j_global_proxy_selected_pulse_density,template_phase,1,0,61,2.134222227190787,2799,selected_pulse_density,60
s02j_global_proxy_selected_pulse_density,template_phase,1,1,58 62 65,1.8778226858566465,2838,selected_pulse_density,60
s02j_global_proxy_selected_pulse_density,template_phase,1,2,59 63,1.4979591469280322,3399,selected_pulse_density,60
s02j_global_proxy_topology_occupancy,template_phase,1,0,61,2.082798825029675,2799,topology_occupancy,60
s02j_global_proxy_topology_occupancy,template_phase,1,1,58 62 65,1.644482907134985,2838,topology_occupancy,60
s02j_global_proxy_topology_occupancy,template_phase,1,2,59 63,1.671898613050746,3399,topology_occupancy,60
s02j_global_proxy_all_root_proxies,template_phase,1,0,61,2.1137179478287047,2799,all_root_proxies,60
s02j_global_proxy_all_root_proxies,template_phase,1,1,58 62 65,2.3184076651884076,2838,all_root_proxies,60
s02j_global_proxy_all_root_proxies,template_phase,1,2,59 63,3.148951739723753,3399,all_root_proxies,60
s02j_global_proxy_current,template_phase,1,0,60 65,1.6299355999281273,2622,current,61
s02j_global_proxy_current,template_phase,1,1,58 62,1.7454933796292413,2640,current,61
s02j_global_proxy_current,template_phase,1,2,59 63,1.6856971129313596,3399,current,61
