method,metric,delta_vs_traditional,ci_low,ci_high
cnn_tail_knockout_surrogate,q_template_mse,-0.06356635828671948,-0.07218382992965343,-0.05398973947087833
cnn_tail_knockout_surrogate,tail_mse,-0.08284496567826395,-0.09552106362788508,-0.07055961135843057
cnn_tail_knockout_surrogate,live10_abs_error_ns,-1.8923617426191117,-2.595392036164462,-1.1032048476471548
cnn_tail_knockout_surrogate,tau_eff_abs_error_ns,-0.8218422625843024,-1.1365841607186227,-0.4659211933653533
cnn_tail_knockout_surrogate,timing_abs_error_ns,0.6640508409184547,0.558660780945985,0.7860076554415403
cnn_tail_knockout_surrogate,secondary_abs_error,0.0039646462042667585,0.0011802648259832476,0.007361463424172018
cnn_tail_knockout_surrogate,timing_sigma68_ns,0.8435044444417573,0.6877723862300654,1.0324816396823442
control_gated_cnn_gbt_ensemble,q_template_mse,-0.011550564511078358,-0.014025065899854285,-0.00895005736633748
control_gated_cnn_gbt_ensemble,tail_mse,-0.027736492008205663,-0.03474266574866777,-0.020608099568890755
control_gated_cnn_gbt_ensemble,live10_abs_error_ns,-3.3080364933424242,-3.647250121217746,-3.032907882407691
control_gated_cnn_gbt_ensemble,tau_eff_abs_error_ns,-1.4366619949931978,-1.579629297902208,-1.326304346770676
control_gated_cnn_gbt_ensemble,timing_abs_error_ns,0.3057317195972901,0.25788539732173615,0.35766486085767696
control_gated_cnn_gbt_ensemble,secondary_abs_error,-0.000997202101719781,-0.001757616832393036,4.8715179364097146e-05
control_gated_cnn_gbt_ensemble,timing_sigma68_ns,0.3771207112351518,0.30345953764201183,0.47210982559279285
gradient_boosted_trees_tail_surrogate,q_template_mse,-0.08471012404215132,-0.09424121006930938,-0.07487178291532165
gradient_boosted_trees_tail_surrogate,tail_mse,-0.12447757281934943,-0.13880681011395024,-0.10772184823854364
gradient_boosted_trees_tail_surrogate,live10_abs_error_ns,-1.4165013405044848,-1.9498499943489451,-0.8926534359501948
gradient_boosted_trees_tail_surrogate,tau_eff_abs_error_ns,-0.6151787157896578,-0.8555248803964296,-0.3817399744925771
gradient_boosted_trees_tail_surrogate,timing_abs_error_ns,0.3477103365770396,0.3289551204578783,0.3647695126331546
gradient_boosted_trees_tail_surrogate,secondary_abs_error,0.004315261534356548,0.00330939244464873,0.005329732970125051
gradient_boosted_trees_tail_surrogate,timing_sigma68_ns,0.23420440127213366,0.20186474564162216,0.26642281582533506
mlp_tail_surrogate,q_template_mse,-0.06676798300740354,-0.08370289842242554,-0.04534611500396873
mlp_tail_surrogate,tail_mse,-0.08703519216040273,-0.11002622223619263,-0.05522910373259243
mlp_tail_surrogate,live10_abs_error_ns,-2.4443941456303255,-2.9775259952583344,-1.8412020985215811
mlp_tail_surrogate,tau_eff_abs_error_ns,-1.0615868890438642,-1.3037435021120045,-0.8366815731496777
mlp_tail_surrogate,timing_abs_error_ns,1.0150796538571736,0.7655724904106491,1.4033347951325919
mlp_tail_surrogate,secondary_abs_error,0.007399304587764864,0.003040616603544122,0.014385489282319667
mlp_tail_surrogate,timing_sigma68_ns,1.094713678838114,0.9111197032168364,1.3469158418053264
ridge_tail_surrogate,q_template_mse,-0.08490654149846835,-0.09494555590337747,-0.07367248396974468
ridge_tail_surrogate,tail_mse,-0.12175243910752664,-0.13828286925429586,-0.10738948801010686
ridge_tail_surrogate,live10_abs_error_ns,-2.4858127026772383,-2.9782179782423333,-1.9407499476438803
ridge_tail_surrogate,tau_eff_abs_error_ns,-1.0795747398177342,-1.2900933345452295,-0.8456936655886843
ridge_tail_surrogate,timing_abs_error_ns,0.36299079811744095,0.3295165122421097,0.40053030340968465
ridge_tail_surrogate,secondary_abs_error,0.0012410355726173456,-0.00020626587791933802,0.0028046328468527854
ridge_tail_surrogate,timing_sigma68_ns,0.4985990245697113,0.46209974418823313,0.539219756409534
sentinel_amplitude_only_ridge,q_template_mse,-0.08751259609591432,-0.09925297629873849,-0.07539913079388956
sentinel_amplitude_only_ridge,tail_mse,-0.1285067055687803,-0.14399360404658826,-0.11036356536124423
sentinel_amplitude_only_ridge,live10_abs_error_ns,-2.4051005853920344,-2.9342439925524184,-1.9115505037805323
sentinel_amplitude_only_ridge,tau_eff_abs_error_ns,-1.0445219126580418,-1.2699083358132148,-0.802799839737951
sentinel_amplitude_only_ridge,timing_abs_error_ns,0.37086305831663113,0.3402481330229553,0.40032167425423626
sentinel_amplitude_only_ridge,secondary_abs_error,0.003545420148858649,0.0022489328763874885,0.004799940875650144
sentinel_amplitude_only_ridge,timing_sigma68_ns,0.407145046554277,0.3794984530664685,0.43827514613545193
sentinel_run_only_ridge,q_template_mse,-0.0027062548334648717,-0.008602439628263113,0.0038066326959962475
sentinel_run_only_ridge,tail_mse,-0.022112063856155256,-0.03278991238108991,-0.011667236585937971
sentinel_run_only_ridge,live10_abs_error_ns,2.3534364502167877,1.719682030247815,2.8579420335726033
sentinel_run_only_ridge,tau_eff_abs_error_ns,1.0220844638391273,0.7258492441591986,1.2468226019164126
sentinel_run_only_ridge,timing_abs_error_ns,0.3910048002939514,0.37639675133855277,0.4061777693110228
sentinel_run_only_ridge,secondary_abs_error,0.02690542381801438,0.026344398914458306,0.02743714945012081
sentinel_run_only_ridge,timing_sigma68_ns,0.007630031597878465,0.005649357636394208,0.009749808098390314
sentinel_shuffled_current_ridge,q_template_mse,-0.08578660107661144,-0.0965787978702012,-0.0749173851493983
sentinel_shuffled_current_ridge,tail_mse,-0.12291529199034354,-0.13833611419061334,-0.10642254801845182
sentinel_shuffled_current_ridge,live10_abs_error_ns,-2.524493805740533,-3.039010010463814,-1.9924732881507095
sentinel_shuffled_current_ridge,tau_eff_abs_error_ns,-1.0963737294320535,-1.3297980708000738,-0.8726324253926703
sentinel_shuffled_current_ridge,timing_abs_error_ns,0.37648211479302446,0.3238507950077933,0.4577515573928427
sentinel_shuffled_current_ridge,secondary_abs_error,0.0006681825205263457,-0.0005262125353274472,0.0020137399935979713
sentinel_shuffled_current_ridge,timing_sigma68_ns,0.5050516931144796,0.4440161984011213,0.5981033091004277
sentinel_shuffled_live10_ridge,q_template_mse,0.01576214523314198,0.011425974045076118,0.02079537075669901
sentinel_shuffled_live10_ridge,tail_mse,0.009196872370763566,0.0007552454907623019,0.017685082675634296
sentinel_shuffled_live10_ridge,live10_abs_error_ns,-0.35766018361155394,-0.5739857515322787,-0.19636908864075195
sentinel_shuffled_live10_ridge,tau_eff_abs_error_ns,-0.15532984413900217,-0.24367736088407038,-0.07762860570269076
sentinel_shuffled_live10_ridge,timing_abs_error_ns,1.0172783297211323,0.972911219111858,1.067053959320206
sentinel_shuffled_live10_ridge,secondary_abs_error,-6.274493771774026e-11,-1.554868752600453e-10,3.634338657154282e-11
sentinel_shuffled_live10_ridge,timing_sigma68_ns,1.0816911364123845,1.0489436899675764,1.110173223716365
