max_iter,learning_rate,max_leaf_nodes,l2_regularization,max_bins,random_state,method,fold,cv_rmse_ns,n_train_rows,n_val_rows,alpha,note
40.0,0.05,7.0,0.05,64.0,20260628.0,hgb_all,0,1.1111813745493158,2514.0,1266.0,,
40.0,0.05,7.0,0.05,64.0,20260628.0,hgb_all,1,2.2568003133458827,2523.0,1257.0,,
40.0,0.05,7.0,0.05,64.0,20260628.0,hgb_all,2,2.0739002305406444,2523.0,1257.0,,
40.0,0.05,7.0,0.05,64.0,20260628.0,hgb_all,-1,1.8139606394786145,3780.0,0.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_all,0,1.126274771947271,2514.0,1266.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_all,1,2.2561851551639878,2523.0,1257.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_all,2,2.074281596707025,2523.0,1257.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_all,-1,1.8189138412727612,3780.0,0.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_all,0,1.0606793312672491,2514.0,1266.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_all,1,2.2169946497360575,2523.0,1257.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_all,2,2.0352458173838786,2523.0,1257.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_all,-1,1.7709732661290616,3780.0,0.0,,
40.0,0.05,15.0,0.2,64.0,20260628.0,hgb_all,0,1.0648615117231002,2514.0,1266.0,,
40.0,0.05,15.0,0.2,64.0,20260628.0,hgb_all,1,2.216324286198791,2523.0,1257.0,,
40.0,0.05,15.0,0.2,64.0,20260628.0,hgb_all,2,2.036336673022886,2523.0,1257.0,,
40.0,0.05,15.0,0.2,64.0,20260628.0,hgb_all,-1,1.7725074903149256,3780.0,0.0,,
80.0,0.05,7.0,0.05,64.0,20260628.0,hgb_all,0,1.0039681075927767,2514.0,1266.0,,
80.0,0.05,7.0,0.05,64.0,20260628.0,hgb_all,1,2.149624658314978,2523.0,1257.0,,
80.0,0.05,7.0,0.05,64.0,20260628.0,hgb_all,2,2.0025874831652084,2523.0,1257.0,,
80.0,0.05,7.0,0.05,64.0,20260628.0,hgb_all,-1,1.7187267496909877,3780.0,0.0,,
80.0,0.05,7.0,0.2,64.0,20260628.0,hgb_all,0,1.008752895108992,2514.0,1266.0,,
80.0,0.05,7.0,0.2,64.0,20260628.0,hgb_all,1,2.1449804304139146,2523.0,1257.0,,
80.0,0.05,7.0,0.2,64.0,20260628.0,hgb_all,2,2.0123284432278052,2523.0,1257.0,,
80.0,0.05,7.0,0.2,64.0,20260628.0,hgb_all,-1,1.7220205895835707,3780.0,0.0,,
80.0,0.05,15.0,0.05,64.0,20260628.0,hgb_all,0,0.9934585021213465,2514.0,1266.0,,
80.0,0.05,15.0,0.05,64.0,20260628.0,hgb_all,1,2.1276902036625636,2523.0,1257.0,,
80.0,0.05,15.0,0.05,64.0,20260628.0,hgb_all,2,1.9773584005433023,2523.0,1257.0,,
80.0,0.05,15.0,0.05,64.0,20260628.0,hgb_all,-1,1.6995023687757376,3780.0,0.0,,
80.0,0.05,15.0,0.2,64.0,20260628.0,hgb_all,0,0.9904619032711366,2514.0,1266.0,,
80.0,0.05,15.0,0.2,64.0,20260628.0,hgb_all,1,2.1249348807901858,2523.0,1257.0,,
80.0,0.05,15.0,0.2,64.0,20260628.0,hgb_all,2,1.9858826060423573,2523.0,1257.0,,
80.0,0.05,15.0,0.2,64.0,20260628.0,hgb_all,-1,1.700426463367893,3780.0,0.0,,
40.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_pretrigger,0,1.1261679469366952,2514.0,1266.0,,
40.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_pretrigger,1,2.2568003133458827,2523.0,1257.0,,
40.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_pretrigger,2,2.071532502239464,2523.0,1257.0,,
40.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_pretrigger,-1,1.8181669208406805,3780.0,0.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_pretrigger,0,1.1254906165325627,2514.0,1266.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_pretrigger,1,2.2561851551639878,2523.0,1257.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_pretrigger,2,2.070187680713836,2523.0,1257.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_pretrigger,-1,1.817287817470129,3780.0,0.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_pretrigger,0,1.0544416416513718,2514.0,1266.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_pretrigger,1,2.2155765678944173,2523.0,1257.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_pretrigger,2,2.0342357664848634,2523.0,1257.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_pretrigger,-1,1.7680846586768844,3780.0,0.0,,
40.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_pretrigger,0,1.0598783712845479,2514.0,1266.0,,
40.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_pretrigger,1,2.215782148644695,2523.0,1257.0,,
40.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_pretrigger,2,2.033094876754334,2523.0,1257.0,,
40.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_pretrigger,-1,1.769585132227859,3780.0,0.0,,
80.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_pretrigger,0,1.0109957255134523,2514.0,1266.0,,
80.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_pretrigger,1,2.149624658314978,2523.0,1257.0,,
80.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_pretrigger,2,2.000434354569055,2523.0,1257.0,,
80.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_pretrigger,-1,1.7203515794658284,3780.0,0.0,,
80.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_pretrigger,0,1.011110887358503,2514.0,1266.0,,
80.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_pretrigger,1,2.143241573558492,2523.0,1257.0,,
80.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_pretrigger,2,1.9912975252360392,2523.0,1257.0,,
80.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_pretrigger,-1,1.7152166620510114,3780.0,0.0,,
80.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_pretrigger,0,0.9921432131402913,2514.0,1266.0,,
80.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_pretrigger,1,2.125280082997232,2523.0,1257.0,,
80.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_pretrigger,2,1.9673811530118928,2523.0,1257.0,,
80.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_pretrigger,-1,1.6949348163831386,3780.0,0.0,,
80.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_pretrigger,0,0.9863472580987381,2514.0,1266.0,,
80.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_pretrigger,1,2.125555660245118,2523.0,1257.0,,
80.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_pretrigger,2,1.9649709648764075,2523.0,1257.0,,
80.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_pretrigger,-1,1.6922912944067547,3780.0,0.0,,
40.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_amplitude,0,1.1426914501451733,2514.0,1266.0,,
40.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_amplitude,1,2.2604467179609102,2523.0,1257.0,,
40.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_amplitude,2,2.068908217884612,2523.0,1257.0,,
40.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_amplitude,-1,1.8240154619968987,3780.0,0.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_amplitude,0,1.1313409774554792,2514.0,1266.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_amplitude,1,2.262637529404565,2523.0,1257.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_amplitude,2,2.072684477849709,2523.0,1257.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_amplitude,-1,1.822220994903251,3780.0,0.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_amplitude,0,1.0747539538177855,2514.0,1266.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_amplitude,1,2.2106742195980877,2523.0,1257.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_amplitude,2,2.0417447681849623,2523.0,1257.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_amplitude,-1,1.7757243138669452,3780.0,0.0,,
40.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_amplitude,0,1.0773830124452848,2514.0,1266.0,,
40.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_amplitude,1,2.209418422758013,2523.0,1257.0,,
40.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_amplitude,2,2.0406100444338438,2523.0,1257.0,,
40.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_amplitude,-1,1.7758038265457141,3780.0,0.0,,
80.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_amplitude,0,1.015138597855946,2514.0,1266.0,,
80.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_amplitude,1,2.1586162496289525,2523.0,1257.0,,
80.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_amplitude,2,2.008178824972713,2523.0,1257.0,,
80.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_amplitude,-1,1.727311224152537,3780.0,0.0,,
80.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_amplitude,0,1.0194300699872103,2514.0,1266.0,,
80.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_amplitude,1,2.1572444067793324,2523.0,1257.0,,
80.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_amplitude,2,2.0125272622302357,2523.0,1257.0,,
80.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_amplitude,-1,1.7297339129989264,3780.0,0.0,,
80.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_amplitude,0,1.0178866961405402,2514.0,1266.0,,
80.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_amplitude,1,2.152956267296567,2523.0,1257.0,,
80.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_amplitude,2,1.9874227539360279,2523.0,1257.0,,
80.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_amplitude,-1,1.7194219057910451,3780.0,0.0,,
80.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_amplitude,0,1.0131665566405557,2514.0,1266.0,,
80.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_amplitude,1,2.154442748194101,2523.0,1257.0,,
80.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_amplitude,2,1.9849219809852612,2523.0,1257.0,,
80.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_amplitude,-1,1.7175104286066392,3780.0,0.0,,
40.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_q_template,0,1.1766287869704843,2514.0,1266.0,,
40.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_q_template,1,2.269861742362558,2523.0,1257.0,,
40.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_q_template,2,2.0678769908784864,2523.0,1257.0,,
40.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_q_template,-1,1.8381225067371763,3780.0,0.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_q_template,0,1.1653427299744825,2514.0,1266.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_q_template,1,2.264847419418453,2523.0,1257.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_q_template,2,2.0719804414329017,2523.0,1257.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_q_template,-1,1.8340568636086125,3780.0,0.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_q_template,0,1.111578086467563,2514.0,1266.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_q_template,1,2.231645391987088,2523.0,1257.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_q_template,2,2.030192516738569,2523.0,1257.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_q_template,-1,1.7911386650644066,3780.0,0.0,,
40.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_q_template,0,1.1110327613086044,2514.0,1266.0,,
40.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_q_template,1,2.2370970693128354,2523.0,1257.0,,
40.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_q_template,2,2.032825987519268,2523.0,1257.0,,
40.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_q_template,-1,1.7936519393802357,3780.0,0.0,,
80.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_q_template,0,1.0660676438040377,2514.0,1266.0,,
80.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_q_template,1,2.1527757312954465,2523.0,1257.0,,
80.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_q_template,2,1.9880645983383456,2523.0,1257.0,,
80.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_q_template,-1,1.7356359911459434,3780.0,0.0,,
80.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_q_template,0,1.0674078814568466,2514.0,1266.0,,
80.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_q_template,1,2.1558046265722766,2523.0,1257.0,,
80.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_q_template,2,1.9927644706836465,2523.0,1257.0,,
80.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_q_template,-1,1.7386589929042564,3780.0,0.0,,
80.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_q_template,0,1.0323480943058856,2514.0,1266.0,,
80.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_q_template,1,2.137023221468397,2523.0,1257.0,,
80.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_q_template,2,1.9799170410915,2523.0,1257.0,,
80.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_q_template,-1,1.7164294522885941,3780.0,0.0,,
80.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_q_template,0,1.0266183196622942,2514.0,1266.0,,
80.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_q_template,1,2.1452844834086875,2523.0,1257.0,,
80.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_q_template,2,1.9708973654969666,2523.0,1257.0,,
80.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_q_template,-1,1.7142667228559827,3780.0,0.0,,
40.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_stave,0,2.8069139978387825,2514.0,1266.0,,
40.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_stave,1,3.4262534386537076,2523.0,1257.0,,
40.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_stave,2,3.31241864224251,2523.0,1257.0,,
40.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_stave,-1,3.1818620262449997,3780.0,0.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_stave,0,2.801529479249032,2514.0,1266.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_stave,1,3.4288585990489056,2523.0,1257.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_stave,2,3.316504585561787,2523.0,1257.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_stave,-1,3.182297554619908,3780.0,0.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_stave,0,2.665004311142849,2514.0,1266.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_stave,1,3.291680639538768,2523.0,1257.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_stave,2,3.191223382012927,2523.0,1257.0,,
40.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_stave,-1,3.0493027775648485,3780.0,0.0,,
40.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_stave,0,2.667423892550634,2514.0,1266.0,,
40.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_stave,1,3.280708767007861,2523.0,1257.0,,
40.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_stave,2,3.1712799013160753,2523.0,1257.0,,
40.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_stave,-1,3.03980418695819,3780.0,0.0,,
80.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_stave,0,2.692931898540284,2514.0,1266.0,,
80.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_stave,1,3.3223791511712446,2523.0,1257.0,,
80.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_stave,2,3.2041865802766445,2523.0,1257.0,,
80.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_stave,-1,3.073165876662724,3780.0,0.0,,
80.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_stave,0,2.6931347507034444,2514.0,1266.0,,
80.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_stave,1,3.323226767908402,2523.0,1257.0,,
80.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_stave,2,3.212034488669819,2523.0,1257.0,,
80.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_stave,-1,3.076132002427222,3780.0,0.0,,
80.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_stave,0,2.474766043767794,2514.0,1266.0,,
80.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_stave,1,3.1178561942571177,2523.0,1257.0,,
80.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_stave,2,3.0410299049051637,2523.0,1257.0,,
80.0,0.05,15.0,0.05,64.0,20260628.0,hgb_no_stave,-1,2.877884047643359,3780.0,0.0,,
80.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_stave,0,2.4646559618629684,2514.0,1266.0,,
80.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_stave,1,3.111410744116232,2523.0,1257.0,,
80.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_stave,2,3.0234805471470416,2523.0,1257.0,,
80.0,0.05,15.0,0.2,64.0,20260628.0,hgb_no_stave,-1,2.866515751042081,3780.0,0.0,,
40.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_run_family,0,1.1111813745493158,2514.0,1266.0,,
40.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_run_family,1,2.2568003133458827,2523.0,1257.0,,
40.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_run_family,2,2.0739002305406444,2523.0,1257.0,,
40.0,0.05,7.0,0.05,64.0,20260628.0,hgb_no_run_family,-1,1.8139606394786145,3780.0,0.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_run_family,0,1.126274771947271,2514.0,1266.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_run_family,1,2.2561851551639878,2523.0,1257.0,,
40.0,0.05,7.0,0.2,64.0,20260628.0,hgb_no_run_family,2,2.074281596707025,2523.0,1257.0,,
