method,heldout_run,n_train,n_test,fold_auc
traditional atom/template selector,58,1140,18,0.5370370370370371
traditional atom/template selector,59,972,186,0.6264886114001619
traditional atom/template selector,60,900,258,0.5992127876930473
traditional atom/template selector,61,806,352,0.6017400568181819
traditional atom/template selector,62,936,222,0.6048616183751319
traditional atom/template selector,63,1044,114,0.6197291474299784
traditional atom/template selector,65,1150,8,0.65625
ridge logistic,58,1140,18,0.7407407407407407
ridge logistic,59,972,186,0.8115389062319341
ridge logistic,60,900,258,0.7876930472928309
ridge logistic,61,806,352,0.7960356404958677
ridge logistic,62,936,222,0.8197386575764954
ridge logistic,63,1044,114,0.7833179439827639
ridge logistic,65,1150,8,0.9375
gradient-boosted trees,58,1140,18,0.8333333333333334
gradient-boosted trees,59,972,186,0.8624118395190196
gradient-boosted trees,60,900,258,0.851180818460429
gradient-boosted trees,61,806,352,0.8201188016528926
gradient-boosted trees,62,936,222,0.8801233666098531
gradient-boosted trees,63,1044,114,0.8316405047706987
gradient-boosted trees,65,1150,8,0.875
MLP,58,1140,18,0.8024691358024691
MLP,59,972,186,0.8582495086137125
MLP,60,900,258,0.8074034012379063
MLP,61,806,352,0.8391980888429752
MLP,62,936,222,0.8224170116062008
MLP,63,1044,114,0.8162511542012927
MLP,65,1150,8,0.8125
1D-CNN,58,1140,18,0.6296296296296297
1D-CNN,59,972,186,0.5989131691525031
1D-CNN,60,900,258,0.6049516255032751
1D-CNN,61,806,352,0.561563791322314
1D-CNN,62,936,222,0.5881016151286421
1D-CNN,63,1044,114,0.595260080024623
1D-CNN,65,1150,8,0.8125
WaveAtomNet,58,1140,18,0.7283950617283951
WaveAtomNet,59,972,186,0.7812463868655335
WaveAtomNet,60,900,258,0.749894838050598
WaveAtomNet,61,806,352,0.7417032541322314
WaveAtomNet,62,936,222,0.792630468306144
WaveAtomNet,63,1044,114,0.752539242843952
WaveAtomNet,65,1150,8,0.8125
