stave,amp_bin,train_rows_for_basis,all_rows,heldout_rows,template_peak_sample,pc1_var_frac,pc2_var_frac,pc3_var_frac,train_residual_rms
B2,1000_1500,12000,27299,2767,8,0.8607124331914018,0.07327951483261719,0.032342813809626204,1.1879587365915405
B2,1500_2000,12000,23577,2235,8,0.8031176795972454,0.10221484737233326,0.04191911993262635,0.7206566212711398
B2,2000_3000,12000,52078,4361,7,0.6241466507680528,0.16786466145433993,0.08036676278301401,0.3743267448264699
B2,3000_4000,12000,74019,4930,7,0.39969630131952205,0.3049327509552978,0.10838299475020687,0.21821530842032943
B2,4000_5500,12000,93357,4926,6,0.3882352592033051,0.2923863505317354,0.09818405080063707,0.1783356157945541
B2,5500_7000,12000,125710,3018,6,0.44390593477189066,0.2506564246570597,0.10088795260884482,0.11631987504585013
B2,7000_9000,12000,161019,1957,6,0.4609080652582266,0.26522467555555923,0.1322678597092159,0.13361550001509423
B2,9000_inf,12000,22113,334,6,0.49873735493875887,0.20646813336196151,0.13900663147205775,0.16967283526593344
B4,1000_1500,3079,3230,151,6,0.6890080864340391,0.20296259787812893,0.04618223135617619,0.8092896885380446
B4,1500_2000,3267,3438,171,7,0.6018171788371529,0.22643971096002655,0.0880699520385076,0.45137429980112737
B4,2000_3000,11814,12315,501,8,0.49579401724854444,0.3383103945235535,0.06967687069401375,0.330320751494827
B4,3000_4000,10475,10915,440,7,0.5731130137224929,0.2621519793532005,0.061212105293819506,0.30883526573632736
B4,4000_5500,4878,5078,200,7,0.5429446638956584,0.23650329088999922,0.08336949130620427,0.2785623864317133
B4,5500_7000,967,996,29,7,0.5115609860783378,0.24017203974457763,0.10646175003228164,0.2573913554154866
B4,7000_9000,137,143,6,6,0.5036090614807737,0.28340836487230575,0.08260575859669728,0.23030224396888235
B6,1000_1500,1810,1891,81,7,0.6992937205492848,0.1988800867484671,0.05252447883689259,0.7195573928703428
B6,1500_2000,2082,2164,82,8,0.6594230877014007,0.20051859756206017,0.07765606686109888,0.42768130092422507
B6,2000_3000,6308,6532,224,8,0.5035397136045461,0.3401652291001714,0.06636648154601373,0.31853960901592165
B6,3000_4000,5120,5270,150,8,0.534554996455658,0.3003260036639327,0.056484547790321624,0.2919150843843124
B6,4000_5500,1884,1939,55,7,0.5265593412176792,0.26216572226667983,0.07193160306275548,0.2692323658391078
B6,5500_7000,134,137,3,7,0.603165303061106,0.17696443898707057,0.09179159490886725,0.2557928451404966
B6,7000_9000,12000,10,1,8,0.5452409510477394,0.2634162088516073,0.09861099396690946,0.4141485262594424
B6,9000_inf,12000,1,0,8,0.5412140051695047,0.2676201023293163,0.09680949845127022,0.4094717488206916
B8,1000_1500,766,809,43,7,0.692712533462301,0.19417547702636687,0.05074545409128544,0.7559032463878823
B8,1500_2000,604,628,24,8,0.6606886764401103,0.2097391673233509,0.07861721391176496,0.4504049805255732
B8,2000_3000,1800,1867,67,8,0.5134604737663586,0.31037254272113257,0.08584923952210055,0.3399824811796952
B8,3000_4000,2352,2418,66,8,0.5118219547475177,0.3130517619684211,0.0595774965412401,0.29703915694660016
B8,4000_5500,1264,1294,30,7,0.48968392306808217,0.2836228734308891,0.08181970937100479,0.26873273560063415
B8,5500_7000,217,221,4,7,0.455412556634894,0.29096034175175284,0.09814306119300982,0.2502989321036931
B8,7000_9000,7016,14,1,8,0.5329785670748088,0.2708667879462968,0.09139801381872178,0.4249807999679537
