phase_quartile,amp_quartile,n,sigma68_timing_ns,median_abs_charge_log_residual,mean_saturation_harm,mean_anomaly_dropout,mean_coupling_burden
0,0,2625,3.022568173194606,0.3521436959731137,0.10914285714285714,8.196063812711179,3.6513719207904556
0,1,2680,2.8848165967805945,0.2687758510815179,0.19360074626865667,5.001633450991163,2.9456375948234093
0,2,2056,1.9170260656628857,0.2861214639439291,0.3436284046692607,4.190750684645805,2.871878530164402
0,3,130,3.6058430900536154,0.2686182038492868,0.3369230769230769,10.32226374475326,5.8024210627933055
1,0,1762,2.6583168953493703,0.33554729626646473,0.0916004540295119,6.218175539721592,2.972006327892528
1,1,2576,2.5260735426590135,0.2535927833078677,0.12833850931677018,5.409950089620607,2.676447930185094
1,2,1319,2.608012537596888,0.28284082841643965,0.2700530705079606,3.7543645615240524,2.5938870414590314
1,3,504,2.075505325741205,0.3428161501754836,0.19176587301587303,3.910067598444041,2.9414663601733775
2,0,1018,1.161811391950509,0.1556292366499683,0.12549115913555992,27.918799224419306,5.424115816727955
2,1,869,2.428951458288338,0.26072885154380465,0.2432681242807825,12.766273062277529,3.892986530858418
2,2,1745,2.5953866852940846,0.28584555336286677,0.19968481375358163,5.151862802631736,2.7839306195084417
2,3,2287,1.6266342261357873,0.3048370877985036,0.04672059466550065,4.481446010352967,2.4673473776498196
3,0,740,0.8334289307537069,0.2188911354017229,0.24695945945945946,39.72606522452137,8.310728934142537
3,1,390,1.5101181341233358,0.2538777998538091,0.2893589743589743,38.707893851476975,8.540435359173527
3,2,876,2.294899278207323,0.29887777866910703,0.2511415525114155,16.672128848671818,4.510853978393944
3,3,3159,1.894618822466087,0.29335619227587983,0.07367837923393479,8.797414124819944,3.17756458544716
