feature,mean_auc_importance,min_auc_importance,max_auc_importance,stability_std
B8_area_over_peak,0.029685003719443152,-0.0078125,0.04552010095547142,0.017324502791629212
ds_shape_std_norm_s04,0.02578421085867328,-0.046875,0.054798473011363716,0.03350988906832596
B4_norm_s09,0.022206118784256823,-0.078125,0.04778393351800565,0.044563906708247336
B6_norm_s10,0.016576268346604774,-0.078125,0.05467066789781487,0.04350835250220841
ds_shape_std_peak_sample,0.015492555193458445,-0.0390625,0.030894121268082567,0.02449662015042512
ds_shape_mean_norm_s03,0.012190064317846142,0.0,0.04861111111111108,0.016667788812724522
B4_area_over_peak,0.011003600742276968,0.0028711744576447734,0.03125,0.00975214430738238
B6_norm_s17,0.00794579479738443,0.0,0.019290123456790084,0.007225931952599174
B8_norm_s06,0.007369339409946504,0.0,0.04012345679012343,0.014511932576053656
B8_max_down_step,0.006714492798731282,0.0,0.018518518518518504,0.006350962061091553
B6_area_over_peak,0.006072447551599717,0.0,0.010091791358692356,0.0035497870540808253
ds_shape_std_max_down_step,0.005953131370143884,-0.0015774292410311863,0.02700617283950621,0.009891496228151346
ds_shape_mean_norm_s06,0.0047743017722526515,0.0,0.02237654320987653,0.007883186775069445
B4_norm_s06,0.0047221538792285595,-0.0013465681748228986,0.0169753086419753,0.006046968044290124
ds_shape_mean_norm_s17,0.004494641312309852,-7.69467528469181e-05,0.018518518518518504,0.0065869536787837475
B4_max_down_step,0.004292939067354585,-0.0078125,0.011611812370867891,0.006170988050997033
ds_shape_mean_norm_s05,0.004157271189644844,-0.009259259259259245,0.009926131117266992,0.006770934800932742
ds_shape_std_norm_s13,0.004097906823028448,0.0,0.010102323968088758,0.0036027027028313514
ds_shape_std_norm_s15,0.004078870096830163,0.0,0.010802469135802462,0.003638058043339598
ds_shape_mean_norm_s07,0.004070874254205157,-0.00010145280415545244,0.010030864197530825,0.004033097059445785
B6_max_down_step,0.003986333615001282,-0.0078125,0.01157407407407407,0.006137447832640332
B8_norm_s12,0.0038866952375043906,0.0,0.0169753086419753,0.006085343649300244
ds_shape_std_norm_s06,0.00383851670958639,0.0,0.006771314250538771,0.002519150952334705
ds_shape_std_norm_s08,0.003829904229996856,-0.0028085564789164796,0.018518518518518517,0.007151365472310275
B4_norm_s17,0.0037630727800400826,0.0,0.007716049382716056,0.0027943355868896387
ds_shape_std_norm_s05,0.003649567862484509,-1.3877787807814457e-17,0.00866083769004268,0.003836253056888433
ds_shape_mean_area_over_peak,0.0033319109404711866,-0.0031940050361568967,0.010030864197530853,0.005013126811940192
ds_shape_mean_norm_s08,0.0032063909265261986,-0.0390625,0.025462962962962965,0.020031856499513577
B6_norm_s04,0.0028084697337494003,-0.0011299070247933335,0.013117283950617259,0.004798150033704812
B6_norm_s07,0.002777912220114993,-3.847337642344517e-05,0.006172839506172825,0.002484604046165561
B6_norm_s06,0.0026698281541328605,-0.0009435110786461809,0.008487654320987623,0.0032275121239557845
ds_shape_std_norm_s17,0.0026404486901215446,0.0,0.008469187189270352,0.0029407968422698006
ds_shape_mean_norm_s00,0.002626821392925176,-0.0004616805170820776,0.016975308641975273,0.0063453589102135865
ds_shape_std_norm_s03,0.0026003245124793556,0.0,0.0067059775696611396,0.0023424525018835426
B4_norm_s12,0.0025776779773380503,-0.0009725271177685596,0.010802469135802434,0.003929242297359684
B6_norm_s01,0.002440232163144066,-0.0007309941520466656,0.010802469135802434,0.0038306536515899147
B8_norm_s08,0.002298525179017356,-0.0010753997240483537,0.011574074074074042,0.004444223579376426
