model,feature_set,alpha,fold,sigma68_ns,candidate,target_sigma68_ns
traditional,amp_poly_by_stave,0.1,1,2.1261235743761056,,
traditional,amp_poly_by_stave,0.1,2,2.176842413246631,,
traditional,amp_poly_by_stave,0.1,3,2.425450058579445,,
traditional,amp_poly_by_stave,0.1,4,2.3144732859730723,,
traditional,amp_poly_by_stave,0.1,-1,2.2607223330438133,,
traditional,amp_poly_by_stave,1.0,1,2.1377940684556958,,
traditional,amp_poly_by_stave,1.0,2,2.182342558503151,,
traditional,amp_poly_by_stave,1.0,3,2.418770290017128,,
traditional,amp_poly_by_stave,1.0,4,2.31337663680315,,
traditional,amp_poly_by_stave,1.0,-1,2.263070888444781,,
traditional,amp_poly_by_stave,10.0,1,2.087446931004523,,
traditional,amp_poly_by_stave,10.0,2,2.142275297418237,,
traditional,amp_poly_by_stave,10.0,3,2.3665892654657363,,
traditional,amp_poly_by_stave,10.0,4,2.2480078127980234,,
traditional,amp_poly_by_stave,10.0,-1,2.21107982667163,,
traditional,amp_poly_by_stave,100.0,1,2.2106268554925914,,
traditional,amp_poly_by_stave,100.0,2,1.9843948557972906,,
traditional,amp_poly_by_stave,100.0,3,2.213898594155908,,
traditional,amp_poly_by_stave,100.0,4,2.1072015495505187,,
traditional,amp_poly_by_stave,100.0,-1,2.129030463749077,,
traditional,amp_poly_by_stave,1000.0,1,2.0563712626695634,,
traditional,amp_poly_by_stave,1000.0,2,1.8451937726140022,,
traditional,amp_poly_by_stave,1000.0,3,1.9552344389166683,,
traditional,amp_poly_by_stave,1000.0,4,1.8940687439590695,,
traditional,amp_poly_by_stave,1000.0,-1,1.9377170545398257,,
traditional,amp_bin_by_stave,0.1,1,2.352542324364185,,
traditional,amp_bin_by_stave,0.1,2,1.9735494855046272,,
traditional,amp_bin_by_stave,0.1,3,2.172502821087837,,
traditional,amp_bin_by_stave,0.1,4,2.2916542246937754,,
traditional,amp_bin_by_stave,0.1,-1,2.1975622139126063,,
traditional,amp_bin_by_stave,1.0,1,2.3515535548329347,,
traditional,amp_bin_by_stave,1.0,2,1.9723843243718147,,
traditional,amp_bin_by_stave,1.0,3,2.170644147992134,,
traditional,amp_bin_by_stave,1.0,4,2.2898443415760994,,
traditional,amp_bin_by_stave,1.0,-1,2.1961065921932454,,
traditional,amp_bin_by_stave,10.0,1,2.3235193982720372,,
traditional,amp_bin_by_stave,10.0,2,1.9454620221257208,,
traditional,amp_bin_by_stave,10.0,3,2.1596939831972124,,
traditional,amp_bin_by_stave,10.0,4,2.2933960154652597,,
traditional,amp_bin_by_stave,10.0,-1,2.1805178547650574,,
traditional,amp_bin_by_stave,100.0,1,2.233907350897789,,
traditional,amp_bin_by_stave,100.0,2,1.9076606555283067,,
traditional,amp_bin_by_stave,100.0,3,2.064754593968391,,
traditional,amp_bin_by_stave,100.0,4,2.175060367882252,,
traditional,amp_bin_by_stave,100.0,-1,2.095345742069185,,
traditional,amp_bin_by_stave,1000.0,1,1.7867042094469063,,
traditional,amp_bin_by_stave,1000.0,2,1.5693110209703443,,
traditional,amp_bin_by_stave,1000.0,3,1.6836279231309892,,
