group,run,dropout_phase,dropout_case,n
sample_i_analysis,44,leading_edge,cfd_crossing_single,230
sample_i_analysis,44,leading_edge,leading_edge_pair,230
sample_i_analysis,44,peak,peak_contiguous,230
sample_i_analysis,44,peak,peak_single,230
sample_i_analysis,44,tail,early_tail_pair,230
sample_i_analysis,44,tail,late_tail_pair,230
sample_i_analysis,45,leading_edge,cfd_crossing_single,377
sample_i_analysis,45,leading_edge,leading_edge_pair,377
sample_i_analysis,45,peak,peak_contiguous,377
sample_i_analysis,45,peak,peak_single,377
sample_i_analysis,45,tail,early_tail_pair,377
sample_i_analysis,45,tail,late_tail_pair,377
sample_i_analysis,46,leading_edge,cfd_crossing_single,92
sample_i_analysis,46,leading_edge,leading_edge_pair,92
sample_i_analysis,46,peak,peak_contiguous,92
sample_i_analysis,46,peak,peak_single,92
sample_i_analysis,46,tail,early_tail_pair,92
sample_i_analysis,46,tail,late_tail_pair,92
sample_i_analysis,47,leading_edge,cfd_crossing_single,236
sample_i_analysis,47,leading_edge,leading_edge_pair,236
sample_i_analysis,47,peak,peak_contiguous,236
sample_i_analysis,47,peak,peak_single,236
sample_i_analysis,47,tail,early_tail_pair,236
sample_i_analysis,47,tail,late_tail_pair,236
sample_i_analysis,48,leading_edge,cfd_crossing_single,370
sample_i_analysis,48,leading_edge,leading_edge_pair,370
sample_i_analysis,48,peak,peak_contiguous,370
sample_i_analysis,48,peak,peak_single,370
sample_i_analysis,48,tail,early_tail_pair,370
sample_i_analysis,48,tail,late_tail_pair,370
sample_i_analysis,49,leading_edge,cfd_crossing_single,364
sample_i_analysis,49,leading_edge,leading_edge_pair,364
sample_i_analysis,49,peak,peak_contiguous,364
sample_i_analysis,49,peak,peak_single,364
sample_i_analysis,49,tail,early_tail_pair,364
sample_i_analysis,49,tail,late_tail_pair,364
sample_i_analysis,50,leading_edge,cfd_crossing_single,362
sample_i_analysis,50,leading_edge,leading_edge_pair,362
sample_i_analysis,50,peak,peak_contiguous,362
sample_i_analysis,50,peak,peak_single,362
sample_i_analysis,50,tail,early_tail_pair,362
sample_i_analysis,50,tail,late_tail_pair,362
sample_i_analysis,51,leading_edge,cfd_crossing_single,326
sample_i_analysis,51,leading_edge,leading_edge_pair,326
sample_i_analysis,51,peak,peak_contiguous,326
sample_i_analysis,51,peak,peak_single,326
sample_i_analysis,51,tail,early_tail_pair,326
sample_i_analysis,51,tail,late_tail_pair,326
sample_i_analysis,52,leading_edge,cfd_crossing_single,278
sample_i_analysis,52,leading_edge,leading_edge_pair,278
sample_i_analysis,52,peak,peak_contiguous,278
sample_i_analysis,52,peak,peak_single,278
sample_i_analysis,52,tail,early_tail_pair,278
sample_i_analysis,52,tail,late_tail_pair,278
sample_i_analysis,53,leading_edge,cfd_crossing_single,365
sample_i_analysis,53,leading_edge,leading_edge_pair,365
sample_i_analysis,53,peak,peak_contiguous,365
sample_i_analysis,53,peak,peak_single,365
sample_i_analysis,53,tail,early_tail_pair,365
sample_i_analysis,53,tail,late_tail_pair,365
sample_i_analysis,54,leading_edge,cfd_crossing_single,353
sample_i_analysis,54,leading_edge,leading_edge_pair,353
