support_island,n_rows,n_runs,negative_rows,positive_rows,eligible_for_promotion_test,promoted,roc_auc,roc_auc_ci_low,roc_auc_ci_high,average_precision,average_precision_ci_low,average_precision_ci_high,purity_at_fixed_efficiency,purity_at_fixed_efficiency_ci_low,purity_at_fixed_efficiency_ci_high,calibration_slope,calibration_slope_ci_low,calibration_slope_ci_high,traditional_auc,traditional_auc_ci_low,traditional_auc_ci_high,nuisance_auc,nuisance_auc_ci_low,nuisance_auc_ci_high,shuffled_auc,shuffled_auc_ci_low,shuffled_auc_ci_high,waveform_minus_traditional_auc_lift,waveform_minus_traditional_auc_lift_ci_low,waveform_minus_traditional_auc_lift_ci_high,bootstrap_valid
sample_i_analysis|d0|topo0|sat1|q2_of_3,155,12,64,91,True,False,0.9936469780219781,0.9792494518204123,1.0,0.9962349945519651,0.9878708977373212,1.0,1.0,1.0,1.0,0.055681237955261705,0.05178767526528586,0.0583553738531195,0.9227335164835165,0.8829478600549624,0.9546851468373494,0.7932692307692308,0.6954975751500977,0.892626877009028,0.21814903846153846,0.15807429905773027,0.2944126312926596,0.07091346153846156,0.03591473488892275,0.11186493011096875,180.0
sample_i_calib|d0|topo0|sat1|q2_of_3,91,11,30,61,True,False,1.0,0.9999999999999999,1.0,0.9999999999999998,0.9999999999999999,1.0,1.0,1.0,1.0,0.056079158936812847,0.054005134067607104,0.0579878383682068,0.894535519125683,0.8111061987366169,0.9665981813451896,0.812568306010929,0.6111614424392298,0.8902114394180737,0.5202185792349727,0.33163081926927657,0.7116391678622669,0.10546448087431703,0.03340181865481039,0.18889380126338307,180.0
sample_i_calib|d0|topo0|sat1|q3_of_3,37,10,5,32,True,False,1.0,0.9999999999999999,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.0677719868766165,0.06430382385978603,0.07497727390830548,0.36874999999999997,0.2620657925005751,0.5463173018753777,0.10625000000000001,0.0,0.28801346801346794,0.8687499999999999,0.21625000000000003,1.0,0.6312500000000001,0.4536826981246219,0.7379342074994247,174.0
sample_ii_analysis|d0|topo0|sat0|q1_of_3,77,6,77,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_ii_analysis|d0|topo0|sat0|q3_of_3,77,6,0,77,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_i_analysis|d0|topo0|sat1|q1_of_3,61,11,61,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_i_calib|d0|topo0|sat1|q1_of_3,58,11,58,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_ii_analysis|d1|topo1|sat0|q3_of_3,46,6,0,46,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_i_calib|d0|topo0|sat0|q1_of_3,42,6,42,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_i_analysis|d0|topo0|sat1|q3_of_3,40,12,3,37,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_ii_analysis|d1|topo1|sat0|q2_of_3,38,6,35,3,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_i_analysis|d0|topo0|sat0|q1_of_3,35,5,35,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_i_calib|d0|topo0|sat0|q3_of_3,33,6,0,33,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_i_analysis|d0|topo0|sat0|q3_of_3,30,4,0,30,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_ii_analysis|d3|topo7|sat0|q3_of_3,23,4,0,23,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_ii_analysis|d2|topo3|sat0|q3_of_3,22,6,0,22,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_ii_analysis|d3|topo7|sat0|q1_of_3,17,4,17,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_ii_analysis|d2|topo3|sat0|q1_of_3,15,6,15,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
sample_ii_analysis|d1|topo1|sat0|q1_of_3,14,4,14,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,
