component,atom_level,n_events,n_low,n_high,support_fraction,composition_delta,secondary_fraction_delta,ci_low,ci_high,share_of_total_effect,charge_log_shift,timing_tail_delta
topology_composition,p02_broad_late,8189,864,7325,0.6490449393675201,0.0,0.013521537791747912,-0.018534618134342318,0.04685240768882387,1.0348409488176806,0.02063951102444154,0.0
baseline_pathology,s16_no_lowering,5839,799,5040,0.4627883014979789,0.0,0.013235497826916251,-0.019586354944753817,0.04324436494871899,1.0129495136003916,0.020039100907526013,0.0
anomaly_taxonomy,p09_broad_late,6697,837,5860,0.530791788856305,0.0,0.013160221490763672,-0.019827035445309716,0.046310754208829366,1.0071884059270326,0.020412771156892846,0.0
charge_support_drift,amp_ge_4500,4648,352,4296,0.36839185226282,0.0,0.01056090296929732,-0.007738737951220214,0.02907670297620244,0.8082553195827247,0.017976522102556684,-0.00017576025393042208
beam_pileup,pileup_like_high,5484,601,4883,0.43465166045811204,0.00947072208625525,0.010324944125684804,0.003639318720280158,0.017447132391934284,0.7901967320635654,0.023878095667182776,-0.00012001664230773303
charge_support_drift,amp_2500_4500,3423,331,3092,0.2713006261393358,0.0,0.0018502585875724803,-0.015436534618199752,0.018869689885721783,0.14160544324256577,0.003139775244946386,-0.00046510950620154185
charge_support_drift,amp_1000_2500,4546,409,4137,0.3603075215978442,0.0,0.000655134096772865,4.571892829251654e-05,0.0012409272806676369,0.05013923717470946,-0.0012840836323252888,0.00010676183478355927
beam_pileup,pileup_not_supported,7003,488,6515,0.5550447808512324,-0.009950322435514098,7.124786546844297e-06,1.62796392851045e-06,1.7441446273993896e-05,0.0005452797591380098,0.02726260091246043,0.0002067789981005264
baseline_pathology,s16_mild_lowering,858,38,820,0.06800348735832606,0.0,-7.527633615257846e-05,-0.0001600442472491818,5.0306692761110835e-05,-0.005761107673359026,0.0003736702493668321,0.0
baseline_pathology,s16_large_lowering,5920,255,5665,0.46920821114369504,0.0,-9.392583712100621e-05,-0.00026265604655650794,5.024116413994802e-05,-0.007188405927032675,-0.0005805574417150677,-0.0005341079253484047
anomaly_taxonomy,p09_baseline_pathology,5920,255,5665,0.46920821114369504,0.0,-9.392583712100621e-05,-0.0002704857077518212,5.5842426233369974e-05,-0.007188405927032675,-0.0005805574417150677,-0.0005341079253484047
topology_composition,p02_early_pathology,4428,228,4200,0.35095506063248,0.0,-0.0004552421381052467,-0.0007618379872453544,-0.00037378343904927966,-0.03484094881768061,-0.0008072973092637588,-0.0005341079253484047
beam_pileup,pileup_like_low,130,3,127,0.010303558690655464,0.0004796003492588413,-0.030640295236048467,-0.04537038644381055,-0.0015267004705752018,-2.344987137001332,-0.08969851291047534,0.0
