method,stratum,target,accepted_fraction,risk_threshold_abs_frac,n,bias_median_frac,res68_abs_frac,full_rms_frac,within_10pct,within_25pct,bias_median_frac_ci95,res68_abs_frac_ci95,full_rms_frac_ci95,within_10pct_ci95,within_25pct_ci95
peak_calibrated,dynamic_only,duplicate,1.0,36.13837557220171,3715,0.4628532615162605,1.1910702389755945,2.8809863670020133,0.06567967698519515,0.16877523553162854,"[-0.20152794526712273, 0.7310521817429032]","[0.8093377075367295, 1.674779622369726]","[1.253540823121904, 3.189300388742874]","[0.047426931320301215, 0.09110142142894344]","[0.12906593903541355, 0.21896615767331884]"
peak_calibrated,dynamic_only,duplicate,0.7499327052489906,1.5939891088348692,2786,0.05098388788997102,0.7626518403036878,0.712405803493027,0.08758076094759512,0.2250538406317301,"[-0.28208784785309277, 0.15897376793674675]","[0.7273039506540724, 0.7925612463828309]","[0.6455383925326569, 0.7443195500729338]","[0.07080364411003115, 0.10646747711712705]","[0.18794582114813266, 0.25239704339133323]"
peak_calibrated,dynamic_only,duplicate,0.5001345895020188,0.750243533578419,1858,-0.05907752076282265,0.49923527208403384,0.4280705796798238,0.13132400430570507,0.33745963401506995,"[-0.23455190015094626, -0.0049143198642856555]","[0.4661986647267804, 0.5182504103797861]","[0.41011427391409844, 0.4409047978942391]","[0.10377604166666667, 0.15406562000422286]","[0.273402111499349, 0.37144251675529105]"
peak_calibrated,dynamic_only,duplicate,0.2500672947510094,0.36543677098918537,929,-0.011632896066129588,0.2517023542424698,0.2127006404633777,0.26264800861141013,0.6749192680301399,"[-0.09331328205983232, 0.020232422444912076]","[0.2364028926188463, 0.2770451379335354]","[0.2042390191086735, 0.22252065882999253]","[0.22152935666709364, 0.29927650093808633]","[0.6047420634920635, 0.7116854795362052]"
integral_calibrated,dynamic_only,duplicate,1.0,12.658898788751067,3715,-0.5108452695509396,0.752130157749414,1.3735203617924212,0.0379542395693136,0.09825033647375504,"[-0.5688260561103079, -0.3876698471405229]","[0.647130875718147, 0.7758014912190069]","[1.2370566136463628, 1.7544475630735057]","[0.028463524394772375, 0.07389313949741366]","[0.0800852551903532, 0.1777049847813318]"
integral_calibrated,dynamic_only,duplicate,0.7499327052489906,0.8177888999091363,2786,-0.510944324667783,0.6098807706815229,0.5364529859948884,0.05061019382627423,0.13101220387652548,"[-0.5546106196392145, -0.41780809951387404]","[0.49821027932111667, 0.6336175563332035]","[0.4592234133853647, 0.564266860941356]","[0.038039859394998, 0.08834507584507585]","[0.10674458586195965, 0.21854801477377656]"
integral_calibrated,dynamic_only,duplicate,0.5001345895020188,0.6041381160996593,1858,-0.44378930103775727,0.49993330475798153,0.4287563773609976,0.07588805166846072,0.19644779332615717,"[-0.46843590098591437, -0.3746531291096041]","[0.45013098251779876, 0.5171633988277173]","[0.3821448560061217, 0.4448361481556615]","[0.059700733509666516, 0.11152026411657562]","[0.17037108504485374, 0.2630984340044743]"
integral_calibrated,dynamic_only,duplicate,0.2500672947510094,0.4511733754649472,929,-0.2757553231121744,0.36269893773283063,0.3000353927288574,0.15177610333692143,0.39289558665231433,"[-0.3031844686032172, -0.24400542133284503]","[0.3403603136138719, 0.3812250652335115]","[0.2911242497358433, 0.31246808561766104]","[0.1058398040023258, 0.18492349670458946]","[0.32922589203408503, 0.4346973987412155]"
adaptive_template_charge,dynamic_only,duplicate,1.0,162.29016163667112,3715,0.24756239592549964,0.9703896069656004,14.887501576539579,0.09636608344549125,0.23122476446837148,"[0.0017448463559787374, 2.1185425220271603]","[0.675747023264407, 8.333947308341394]","[1.8095630405991994, 35.73294574916724]","[0.0382513679451967, 0.11163893566711555]","[0.0802304237031918, 0.26592579298272895]"
adaptive_template_charge,dynamic_only,duplicate,0.7499327052489906,1.4659089296892978,2786,-0.041035826811364584,0.5690999792205228,0.5773016199875183,0.12849964106245512,0.3083273510409189,"[-0.20566045911139372, 0.39027150065891736]","[0.5438989817604658, 0.8180144704918734]","[0.5468220054706193, 0.737925622908436]","[0.10018113305003169, 0.13728962001588743]","[0.23565075423105225, 0.3211714820518702]"
adaptive_template_charge,dynamic_only,duplicate,0.5001345895020188,0.560174326582656,1858,-0.09189921694101588,0.3791611661785839,0.3180449897204103,0.19268030139935413,0.4623250807319699,"[-0.21301510973902402, -0.03859581507026614]","[0.36239064432297136, 0.4115818366376823]","[0.30895132215792726, 0.33570181627918555]","[0.1290729483282675, 0.21115281307923686]","[0.39302552552552555, 0.4898756615566035]"
adaptive_template_charge,dynamic_only,duplicate,0.2500672947510094,0.2716698818371035,929,-0.023244283709534613,0.1777882127081898,0.15313494365263988,0.38536060279870826,0.9246501614639397,"[-0.07683707500263191, 0.011520338846668362]","[0.16423316365064192, 0.2001945883576562]","[0.1423498452029055, 0.1666598762847826]","[0.33089393892642993, 0.46153846153846156]","[0.8930161719096146, 0.9751440030146425]"
