method,window_ns,run,n,positives,roc_auc,average_precision
1d_cnn,5.0,63,190,92,1.0,1.0000000000000002
1d_cnn,5.0,65,190,89,1.0,1.0
1d_cnn,10.0,63,190,95,1.0,1.0000000000000002
1d_cnn,10.0,65,190,95,1.0,1.0000000000000002
1d_cnn,15.0,63,190,95,1.0,1.0000000000000002
1d_cnn,15.0,65,190,95,1.0,1.0000000000000002
1d_cnn,20.0,63,190,95,1.0,1.0000000000000002
1d_cnn,20.0,65,190,95,1.0,1.0000000000000002
1d_cnn,30.0,63,190,95,1.0,1.0000000000000002
1d_cnn,30.0,65,190,95,1.0,1.0000000000000002
gradient_boosted_trees,5.0,63,190,92,1.0,1.0
gradient_boosted_trees,5.0,65,190,89,0.995049504950495,0.9888888888888889
gradient_boosted_trees,10.0,63,190,95,1.0,1.0
gradient_boosted_trees,10.0,65,190,95,0.9947368421052631,0.9895833333333334
gradient_boosted_trees,15.0,63,190,95,1.0,1.0
gradient_boosted_trees,15.0,65,190,95,1.0,1.0
gradient_boosted_trees,20.0,63,190,95,1.0,1.0
gradient_boosted_trees,20.0,65,190,95,1.0,1.0
gradient_boosted_trees,30.0,63,190,95,1.0,1.0
gradient_boosted_trees,30.0,65,190,95,0.9946814404432133,0.9947368421052631
late_fusion_phase_cnn_new,5.0,63,190,92,0.9997781721384206,0.9997687326549494
late_fusion_phase_cnn_new,5.0,65,190,89,0.9994437646011792,0.9993839222710743
late_fusion_phase_cnn_new,10.0,63,190,95,1.0,1.0000000000000002
late_fusion_phase_cnn_new,10.0,65,190,95,1.0,1.0000000000000002
late_fusion_phase_cnn_new,15.0,63,190,95,1.0,1.0000000000000002
late_fusion_phase_cnn_new,15.0,65,190,95,1.0,1.0000000000000002
late_fusion_phase_cnn_new,20.0,63,190,95,1.0,1.0000000000000002
late_fusion_phase_cnn_new,20.0,65,190,95,1.0,1.0000000000000002
late_fusion_phase_cnn_new,30.0,63,190,95,1.0,1.0000000000000002
late_fusion_phase_cnn_new,30.0,65,190,95,1.0,1.0000000000000002
mlp,5.0,63,190,92,0.9990017746228926,0.998947500889764
mlp,5.0,65,190,89,0.995772610968962,0.9955195784322497
mlp,10.0,63,190,95,1.0,1.0000000000000002
mlp,10.0,65,190,95,1.0,1.0000000000000002
mlp,15.0,63,190,95,1.0,1.0000000000000002
mlp,15.0,65,190,95,0.9998891966759003,0.999890350877193
mlp,20.0,63,190,95,1.0,1.0000000000000002
mlp,20.0,65,190,95,1.0,1.0000000000000002
mlp,30.0,63,190,95,1.0,1.0
mlp,30.0,65,190,95,1.0,1.0000000000000002
ridge,5.0,63,190,92,0.995452528837622,0.9942599735791049
ridge,5.0,65,190,89,0.9989987762821225,0.9989310237203495
ridge,10.0,63,190,95,1.0,1.0000000000000002
ridge,10.0,65,190,95,1.0,1.0000000000000002
ridge,15.0,63,190,95,1.0,1.0000000000000002
ridge,15.0,65,190,95,1.0,1.0000000000000002
ridge,20.0,63,190,95,1.0,1.0000000000000002
ridge,20.0,65,190,95,1.0,1.0000000000000002
ridge,30.0,63,190,95,1.0,1.0000000000000002
ridge,30.0,65,190,95,1.0,1.0000000000000002
traditional_phase_template,5.0,63,190,92,0.9997781721384206,0.9997687326549494
traditional_phase_template,5.0,65,190,89,0.9997775058404716,0.9997530559328314
traditional_phase_template,10.0,63,190,95,1.0,1.0000000000000002
traditional_phase_template,10.0,65,190,95,1.0,1.0000000000000002
traditional_phase_template,15.0,63,190,95,1.0,1.0000000000000002
traditional_phase_template,15.0,65,190,95,1.0,1.0000000000000002
traditional_phase_template,20.0,63,190,95,1.0,1.0000000000000002
traditional_phase_template,20.0,65,190,95,1.0,1.0000000000000002
traditional_phase_template,30.0,63,190,95,1.0,1.0000000000000002
traditional_phase_template,30.0,65,190,95,1.0,1.0000000000000002
