run,stave,n_clean_pairs,phase_offset_ns,raw_dt_sigma68_ns
58,B2,180,-9.995078850353277,0.016249575049561038
58,B4,180,-9.98974227448195,0.1850748776378932
58,B6,172,-9.993302508056608,0.11180327550438829
58,B8,65,-10.0,0.11107260285408938
59,B2,180,-9.98511890377919,1.3625800250643234
59,B4,180,-9.988173171451471,0.3239520456027938
59,B6,180,-9.99187031887054,0.7556334424546591
59,B8,180,-9.996805103999375,0.12152544983872371
60,B2,180,-9.990551034988261,0.1270789736347373
60,B4,180,-9.981593463319667,0.5697656678567693
60,B6,180,-9.995809103992137,0.38237223623501304
60,B8,180,-9.996087309808397,0.3733615276523654
61,B2,180,-9.99728428366054,0.11485221443436178
61,B4,180,-9.993301689439926,0.4103778092901038
61,B6,180,-9.98485642679492,0.24287691014810608
61,B8,180,-9.995330474440136,0.16603162102527147
62,B2,180,-9.99240205544395,0.20942225177397145
62,B4,180,-9.993391853615524,0.43522317448387327
62,B6,180,-9.993624947889854,0.4226281800579281
62,B8,180,-9.993076551045547,0.3438621222457199
63,B2,180,-9.991792338190956,0.08369787211002144
63,B4,180,-9.993524862196965,0.355238594925102
63,B6,180,-9.992598931945778,0.4007714733648511
63,B8,180,-9.998723306893204,0.14834745997308296
65,B2,180,-9.992326475376077,0.02995827218364866
65,B4,180,-9.98725455725645,0.30883151658049535
65,B6,180,-9.989343337766872,0.45419275582824525
65,B8,67,-9.99650655021834,0.06203348926224184
