event_id,pair,method,residual_ns
65:649169:4127:224209,B4-B6,analytic_timewalk,2.096158167914467
65:649169:4127:224209,B4-B8,analytic_timewalk,2.059356575213613
65:649169:4127:224209,B6-B8,analytic_timewalk,-0.03680159270085426
65:650188:5110:225228,B4-B6,analytic_timewalk,1.9378702610071912
65:650188:5110:225228,B4-B8,analytic_timewalk,2.1922232698547504
65:650188:5110:225228,B6-B8,analytic_timewalk,0.2543530088475592
65:651341:6223:226381,B4-B6,analytic_timewalk,3.614618561658105
65:651341:6223:226381,B4-B8,analytic_timewalk,2.628835991647861
65:651341:6223:226381,B6-B8,analytic_timewalk,-0.9857825700102438
65:651631:6497:226671,B4-B6,analytic_timewalk,3.901905306840817
65:651631:6497:226671,B4-B8,analytic_timewalk,0.8613933606095685
65:651631:6497:226671,B6-B8,analytic_timewalk,-3.0405119462312484
65:651940:6301:226980,B4-B6,analytic_timewalk,4.657057039996559
65:651940:6301:226980,B4-B8,analytic_timewalk,4.102587669123288
65:651940:6301:226980,B6-B8,analytic_timewalk,-0.5544693708732709
65:652313:6632:227353,B4-B6,analytic_timewalk,2.0334483005817603
65:652313:6632:227353,B4-B8,analytic_timewalk,0.17963335406724212
65:652313:6632:227353,B6-B8,analytic_timewalk,-1.8538149465145182
65:652429:6743:227469,B4-B6,analytic_timewalk,2.1445085884003134
65:652429:6743:227469,B4-B8,analytic_timewalk,2.0808312381819434
65:652429:6743:227469,B6-B8,analytic_timewalk,-0.06367735021837007
65:652612:6917:227652,B4-B6,analytic_timewalk,1.9602166772875762
65:652612:6917:227652,B4-B8,analytic_timewalk,1.5455079861467453
65:652612:6917:227652,B6-B8,analytic_timewalk,-0.41470869114083087
65:653933:8154:228973,B4-B6,analytic_timewalk,2.102659643200383
65:653933:8154:228973,B4-B8,analytic_timewalk,1.8809528177865644
65:653933:8154:228973,B6-B8,analytic_timewalk,-0.22170682541381836
65:654599:8777:229639,B4-B6,analytic_timewalk,2.0201860149947066
65:654599:8777:229639,B4-B8,analytic_timewalk,3.171282203574819
65:654599:8777:229639,B6-B8,analytic_timewalk,1.1510961885801123
65:655258:9389:230298,B4-B6,analytic_timewalk,2.573548641475803
65:655258:9389:230298,B4-B8,analytic_timewalk,2.558035534224196
65:655258:9389:230298,B6-B8,analytic_timewalk,-0.015513107251607039
65:655456:9566:230496,B4-B6,analytic_timewalk,-0.40247810574130227
65:655456:9566:230496,B4-B8,analytic_timewalk,0.6173230457800614
65:655456:9566:230496,B6-B8,analytic_timewalk,1.0198011515213636
65:655741:9833:230781,B4-B6,analytic_timewalk,0.12748502694628883
65:655741:9833:230781,B4-B8,analytic_timewalk,0.4319121452289849
65:655741:9833:230781,B6-B8,analytic_timewalk,0.3044271182826961
65:656000:10073:231040,B4-B6,analytic_timewalk,3.0933673364026504
65:656000:10073:231040,B4-B8,analytic_timewalk,2.5746263526680195
65:656000:10073:231040,B6-B8,analytic_timewalk,-0.5187409837346308
65:656462:10504:231502,B4-B6,analytic_timewalk,1.8078937053122246
65:656462:10504:231502,B4-B8,analytic_timewalk,1.896268653389754
65:656462:10504:231502,B6-B8,analytic_timewalk,0.08837494807752933
65:657071:11070:232111,B4-B6,analytic_timewalk,1.559288402076028
65:657071:11070:232111,B4-B8,analytic_timewalk,-0.9599980282044527
65:657071:11070:232111,B6-B8,analytic_timewalk,-2.5192864302804807
65:657490:11464:232530,B4-B6,analytic_timewalk,-0.9096574941277211
65:657490:11464:232530,B4-B8,analytic_timewalk,0.1536818954047945
65:657490:11464:232530,B6-B8,analytic_timewalk,1.0633393895325156
65:657989:11933:233029,B4-B6,analytic_timewalk,0.5558473279343659
65:657989:11933:233029,B4-B8,analytic_timewalk,-0.6450413588999382
65:657989:11933:233029,B6-B8,analytic_timewalk,-1.200888686834304
65:659709:13573:234749,B4-B6,analytic_timewalk,-1.375136060771922
65:659709:13573:234749,B4-B8,analytic_timewalk,-0.8180555480633913
65:659709:13573:234749,B6-B8,analytic_timewalk,0.5570805127085308
65:660196:14017:235236,B4-B6,analytic_timewalk,1.6918525788070795
65:660196:14017:235236,B4-B8,analytic_timewalk,1.1808123019604793
65:660196:14017:235236,B6-B8,analytic_timewalk,-0.5110402768466002
65:660531:14330:235571,B4-B6,analytic_timewalk,2.101517876909739
65:660531:14330:235571,B4-B8,analytic_timewalk,2.0934500812037555
65:660531:14330:235571,B6-B8,analytic_timewalk,-0.008067795705983372
65:660663:14455:235703,B4-B6,analytic_timewalk,4.148590035047199
65:660663:14455:235703,B4-B8,analytic_timewalk,2.9841847452954866
65:660663:14455:235703,B6-B8,analytic_timewalk,-1.1644052897517128
65:660707:14496:235747,B4-B6,analytic_timewalk,5.34939209707845
65:660707:14496:235747,B4-B8,analytic_timewalk,5.62847236605549
65:660707:14496:235747,B6-B8,analytic_timewalk,0.2790802689770402
65:662155:15837:237195,B4-B6,analytic_timewalk,1.5633251134934412
65:662155:15837:237195,B4-B8,analytic_timewalk,0.8423056375553628
