dataset,stratum,method,n,bias_median_frac,res68_abs_frac,full_rms_frac,high_bias_tail_fraction,within_10pct,within_25pct,bias_ci95,res68_ci95,full_rms_ci95,high_bias_tail_ci95
p04b_downstream,all_rows,traditional_strong,3774,-0.02515160171866626,0.22688368244498758,0.3806933515662568,0.26894541600423955,0.31213566507684154,0.7310545839957605,"[-0.08268156368034876, 0.03624820004818334]","[0.21549737708049552, 0.24614758667024444]","[0.3196638199195727, 0.4877484728347625]","[0.23487906296154745, 0.3117601392011263]"
p04b_downstream,all_rows,ridge,3774,-0.01933708314557174,0.21258146627576416,0.2951371340414124,0.24668786433492315,0.3441971383147854,0.7533121356650768,"[-0.058076282764545545, 0.0371450791013085]","[0.19998522886854153, 0.22820651203756614]","[0.26287524726878914, 0.34346219929725563]","[0.2210968450163646, 0.2826385873306714]"
p04b_downstream,all_rows,gradient_boosted_trees,3774,-0.015913047803214606,0.21403751720482736,0.2663698953024753,0.23370429252782193,0.3505564387917329,0.766295707472178,"[-0.06082104463862961, 0.03204723334732168]","[0.20353999929036265, 0.2281500331666475]","[0.23926122082925125, 0.31619037528319904]","[0.2100951374207188, 0.2699282527944092]"
p04b_downstream,all_rows,mlp,3774,-0.022370245444558907,0.3624121017777947,9.44978560869361,0.48118706942236356,0.22151563328033916,0.5188129305776364,"[-0.060966438000521386, 0.019945123110475457]","[0.33668428580279947, 0.39121074010911827]","[1.4991467593382084, 16.183695065250564]","[0.4523563560220191, 0.5253587908857232]"
p04b_downstream,all_rows,cnn1d,3774,-0.01096816345776348,0.21034863000437332,0.3073845204468379,0.2318494965553789,0.3569157392686804,0.7681505034446211,"[-0.04924706018218123, 0.036652198691421424]","[0.20134169578326827, 0.22748408767432823]","[0.26692382737932296, 0.3775393285868601]","[0.20963794112776193, 0.2654758238373884]"
p04b_downstream,all_rows,residual_cnn_meta,3774,-0.007963880664191734,0.2111084609716595,0.3286361188333067,0.23396926338102808,0.35400105988341285,0.7660307366189719,"[-0.04868193982820087, 0.04494989233530227]","[0.197342194642834, 0.22872889782566386]","[0.27517835077385794, 0.40772745957405515]","[0.20371767000822674, 0.27797954463210856]"
p04b_downstream,all_rows,shuffled_target_gbt,3774,-0.059331475744189066,0.2806337442076485,0.6173070002623849,0.37864334923158455,0.2615262321144674,0.6213566507684155,"[-0.11477199509421303, 0.03863798946551482]","[0.2581455888813027, 0.2977021972173877]","[0.5269862902054178, 0.7405483254861684]","[0.3392448256735016, 0.4171933641250276]"
p04b_downstream,normal_control_pool,traditional_strong,3682,-0.029819817819817865,0.2239538038419196,0.3803128499311637,0.26290059750135797,0.31477457903313416,0.737099402498642,"[-0.08459177595940372, 0.03677423576995227]","[0.2135621902736507, 0.24610320531275637]","[0.3266009189819129, 0.49476250640331954]","[0.23500612526935155, 0.3117708786688109]"
p04b_downstream,normal_control_pool,ridge,3682,-0.01977581448435732,0.21137253416101184,0.29370678397549077,0.242802824551874,0.3449212384573601,0.757197175448126,"[-0.06211981321914248, 0.03736403481595616]","[0.19871075146230768, 0.22649482385487957]","[0.2618161740592881, 0.3517907040882718]","[0.21777553968629282, 0.2812867237064868]"
p04b_downstream,normal_control_pool,gradient_boosted_trees,3682,-0.015913047803214606,0.21466615705759043,0.26487727948128204,0.23411189570885388,0.3500814774579033,0.7658881042911461,"[-0.0669718379443181, 0.028916871440282852]","[0.2038421348579663, 0.22824667598038312]","[0.23704097535615218, 0.31188777466693257]","[0.212992959067027, 0.2734311445086705]"
