file,stack,run,entries,branches,tag_like_branches,has_tag_like_branch,trigger_summary,non_beam_trigger_entries
hrda_run_0000.root,hrda,0,0,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,missing_or_empty,0
hrda_run_0001.root,hrda,1,0,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,missing_or_empty,0
hrda_run_0002.root,hrda,2,0,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,missing_or_empty,0
hrda_run_0003.root,hrda,3,0,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,missing_or_empty,0
hrda_run_0012.root,hrda,12,15043,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:15043,0
hrda_run_0013.root,hrda,13,51109,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:51109,0
hrda_run_0014.root,hrda,14,3495,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:3495,0
hrda_run_0015.root,hrda,15,103882,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:103882,0
hrda_run_0016.root,hrda,16,11984,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:11984,0
hrda_run_0017.root,hrda,17,5670,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:5670,0
hrda_run_0018.root,hrda,18,75391,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:75391,0
hrda_run_0019.root,hrda,19,73816,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:73816,0
hrda_run_0020.root,hrda,20,57759,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:57759,0
hrda_run_0021.root,hrda,21,0,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,missing_or_empty,0
hrda_run_0022.root,hrda,22,0,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,missing_or_empty,0
hrda_run_0023.root,hrda,23,3815,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:3815,0
hrda_run_0024.root,hrda,24,24988,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:24988,0
hrda_run_0025.root,hrda,25,3315,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:3315,0
hrda_run_0026.root,hrda,26,54079,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:54079,0
hrda_run_0027.root,hrda,27,34986,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:34986,0
hrda_run_0028.root,hrda,28,5222,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:5222,0
hrda_run_0029.root,hrda,29,25873,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:25873,0
hrda_run_0030.root,hrda,30,5243,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:5243,0
hrda_run_0031.root,hrda,31,39994,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:39994,0
hrda_run_0032.root,hrda,32,41913,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:41913,0
hrda_run_0033.root,hrda,33,57167,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:57167,0
hrda_run_0034.root,hrda,34,39721,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:39721,0
hrda_run_0035.root,hrda,35,27764,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:27764,0
hrda_run_0036.root,hrda,36,21755,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:21755,0
hrda_run_0037.root,hrda,37,50511,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:50511,0
hrda_run_0039.root,hrda,39,30336,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:30336,0
hrda_run_0040.root,hrda,40,32645,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:32645,0
hrda_run_0041.root,hrda,41,34021,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:34021,0
hrda_run_0042.root,hrda,42,33976,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:33976,0
hrda_run_0043.root,hrda,43,13,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:13,0
hrda_run_0044.root,hrda,44,4299,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:4299,0
hrda_run_0045.root,hrda,45,48208,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:48208,0
hrda_run_0046.root,hrda,46,1444,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:1444,0
hrda_run_0047.root,hrda,47,10982,TRIGGER;EVENTNO;EVT;NO;HRD;HRDI;HRDv,,False,1:10982,0
