alpha,cv_rmse_ns,cv_rmse_std_ns,method,selected,pool,gate_mode,cfd_fraction,amplitude_cut_adc
0.1,1.7252948720214651,0.3894161571911045,ridge,True,adc_cfd0.10_cut1000,fixed_adc,0.1,1000.0
0.01,1.7269604388210928,0.3809728458905787,ridge,False,adc_cfd0.10_cut1000,fixed_adc,0.1,1000.0
1.0,1.7279540248744543,0.45550367279175913,ridge,False,adc_cfd0.10_cut1000,fixed_adc,0.1,1000.0
10.0,1.9365322919356676,0.6653484279059998,ridge,False,adc_cfd0.10_cut1000,fixed_adc,0.1,1000.0
100.0,2.2310584390709702,0.8892779769849674,ridge,False,adc_cfd0.10_cut1000,fixed_adc,0.1,1000.0
1000.0,2.3686880586100827,1.0805230587456451,ridge,False,adc_cfd0.10_cut1000,fixed_adc,0.1,1000.0
0.1,1.4961081764255035,0.4387413213305513,ridge,True,adc_cfd0.20_cut1000,fixed_adc,0.2,1000.0
0.01,1.4973564777586457,0.4308063319325507,ridge,False,adc_cfd0.20_cut1000,fixed_adc,0.2,1000.0
1.0,1.499897416484837,0.49958477324203027,ridge,False,adc_cfd0.20_cut1000,fixed_adc,0.2,1000.0
10.0,1.6751782713298293,0.7010578787441685,ridge,False,adc_cfd0.20_cut1000,fixed_adc,0.2,1000.0
100.0,1.9059354448103236,0.9262011308213142,ridge,False,adc_cfd0.20_cut1000,fixed_adc,0.2,1000.0
1000.0,2.0000407822163386,1.1332061390296773,ridge,False,adc_cfd0.20_cut1000,fixed_adc,0.2,1000.0
1000.0,1.2748765021906754,0.8538943208087039,ridge,True,adc_cfd0.40_cut1000,fixed_adc,0.4,1000.0
100.0,1.2830964783691419,0.791718066670321,ridge,False,adc_cfd0.40_cut1000,fixed_adc,0.4,1000.0
10.0,1.3541985079909005,0.8063371049593565,ridge,False,adc_cfd0.40_cut1000,fixed_adc,0.4,1000.0
1.0,1.5005059509072558,0.84095978220855,ridge,False,adc_cfd0.40_cut1000,fixed_adc,0.4,1000.0
0.1,1.5499136197395358,0.8473732322876417,ridge,False,adc_cfd0.40_cut1000,fixed_adc,0.4,1000.0
0.01,1.556644830010147,0.8473051306605066,ridge,False,adc_cfd0.40_cut1000,fixed_adc,0.4,1000.0
1.0,17.363111176738304,4.198645814194908,ridge,True,eff_cfd0.10_cut1000,fixed_efficiency,0.1,1000.0
0.1,17.403454662988445,4.27870609338478,ridge,False,eff_cfd0.10_cut1000,fixed_efficiency,0.1,1000.0
0.01,17.40942998666464,4.287794190907228,ridge,False,eff_cfd0.10_cut1000,fixed_efficiency,0.1,1000.0
10.0,17.51895951680809,3.9165178164591143,ridge,False,eff_cfd0.10_cut1000,fixed_efficiency,0.1,1000.0
100.0,18.69934309702597,4.02962711591425,ridge,False,eff_cfd0.10_cut1000,fixed_efficiency,0.1,1000.0
1000.0,19.739364063853333,4.067500745603223,ridge,False,eff_cfd0.10_cut1000,fixed_efficiency,0.1,1000.0
1.0,15.176705028751183,3.4551126618266723,ridge,True,eff_cfd0.20_cut1000,fixed_efficiency,0.2,1000.0
0.1,15.197424870571078,3.5031268404089384,ridge,False,eff_cfd0.20_cut1000,fixed_efficiency,0.2,1000.0
0.01,15.201500452518555,3.509268227884155,ridge,False,eff_cfd0.20_cut1000,fixed_efficiency,0.2,1000.0
10.0,15.50785772841346,3.39938605292853,ridge,False,eff_cfd0.20_cut1000,fixed_efficiency,0.2,1000.0
100.0,17.09884089577746,3.9416259816507586,ridge,False,eff_cfd0.20_cut1000,fixed_efficiency,0.2,1000.0
1000.0,18.70792156028681,4.367482308259146,ridge,False,eff_cfd0.20_cut1000,fixed_efficiency,0.2,1000.0
1.0,14.523514178713743,3.256893526235887,ridge,True,eff_cfd0.40_cut1000,fixed_efficiency,0.4,1000.0
0.1,14.529638171372255,3.2562323281560874,ridge,False,eff_cfd0.40_cut1000,fixed_efficiency,0.4,1000.0
0.01,14.531053989571976,3.256401033725141,ridge,False,eff_cfd0.40_cut1000,fixed_efficiency,0.4,1000.0
10.0,14.648375312267998,3.321958425320084,ridge,False,eff_cfd0.40_cut1000,fixed_efficiency,0.4,1000.0
100.0,15.221029314921001,3.617297661780648,ridge,False,eff_cfd0.40_cut1000,fixed_efficiency,0.4,1000.0
1000.0,16.680666957196784,4.132680476153835,ridge,False,eff_cfd0.40_cut1000,fixed_efficiency,0.4,1000.0
