method,spacing_cm,split,n_pair_residuals,median_ns,sigma68_ns,full_rms_ns,tail_frac_abs_gt5ns,core_sigma_ns,chi2_ndf,heldout_run,table,candidate,alpha,fold,n_features
le500,2.0,train,11241,-1.3514462634955677,4.167408335278353,6.918176161314525,0.2117249355039587,238.42816593055196,1.3291582800203274,58,traditional_scan,,,,
le500,2.0,heldout,219,-2.001406462295705,4.276464547244176,4.253314208378284,0.2237442922374429,0.8147152005573083,1.2817323849569138,58,traditional_scan,,,,
cfd10,2.0,train,11241,-2.7258007694778357,3.231280215850269,6.5286087902304875,0.04554754915043146,283.0841349702627,21.749591735215635,58,traditional_scan,,,,
cfd10,2.0,heldout,219,-2.6568637902402656,3.2704806590066764,14.991371260708931,0.0593607305936073,2.053333860757785,0.9899751493293615,58,traditional_scan,,,,
cfd20,2.0,train,11241,-2.7935580172317387,3.151501312152561,6.227180687210889,0.057646116893514815,295.722063836342,17.108533575175283,58,traditional_scan,,,,
cfd20,2.0,heldout,219,-3.2272342149502435,3.1154211816170307,4.88610097512565,0.0730593607305936,314.71073303563577,1.4965312275034803,58,traditional_scan,,,,
cfd30,2.0,train,11241,-2.695191055351728,3.251054351724693,6.305491642025523,0.08984965750378081,260.4521960318768,16.788739562424606,58,traditional_scan,,,,
cfd30,2.0,heldout,219,-2.6954781809695874,3.201911704605976,5.071954464482122,0.0867579908675799,153.73568652731564,1.3315079969257204,58,traditional_scan,,,,
cfd40,2.0,train,11241,-2.4600575535264255,3.413679991506209,6.390665187663215,0.114758473445423,188.95005205740148,11.706843613433401,58,traditional_scan,,,,
cfd40,2.0,heldout,219,-2.485968257783192,3.2812253435530834,5.267355331128638,0.1095890410958904,2.67384769603452,1.335135314551903,58,traditional_scan,,,,
cfd50,2.0,train,11241,-2.1405731958981633,3.6006946700264466,6.974430104122292,0.14473801263232808,184.68834377107726,7.708294094643504,58,traditional_scan,,,,
cfd50,2.0,heldout,219,-2.2314567085261174,3.5303095172513093,3.5619471464817627,0.1461187214611872,144.02472504019454,1.640965991847175,58,traditional_scan,,,,
template_phase,2.0,train,11241,-3.807085546556088,2.7731729385950494,3.30682576198624,0.09661062183079797,94.01502983997653,231.5400156389423,58,traditional_scan,,,,
template_phase,2.0,heldout,219,-3.807085546556088,2.6428031039120548,3.543970158355157,0.0776255707762557,0.8960284820863262,4.517988351741272,58,traditional_scan,,,,
of_1_9,2.0,train,11241,-3.275691101073207,3.408950315456943,3.82585751498904,0.1579930611155591,169.9367735673292,15.138916911501232,58,traditional_scan,,,,
of_1_9,2.0,heldout,219,-2.7254299704992917,3.787073076585547,3.8436762889382075,0.2191780821917808,147.27750175076315,1.310775888934887,58,traditional_scan,,,,
of_2_10,2.0,train,11241,-3.4169277757412715,3.4530525013568223,3.867925437799859,0.16377546481629748,116.90921766550764,14.458587097283612,58,traditional_scan,,,,
of_2_10,2.0,heldout,219,-2.8119158217956084,4.1277865578322155,4.114774514145117,0.228310502283105,0.33396327433500256,1.7406681270563569,58,traditional_scan,,,,
of_3_11,2.0,train,11241,-3.5912125935204813,3.4329308867688577,3.877314289969081,0.16377546481629748,6.387514108963451,14.478969027870594,58,traditional_scan,,,,
of_3_11,2.0,heldout,219,-3.4036542039113584,3.799286121279896,4.056331067482309,0.1689497716894977,0.5934065423506967,1.4797520696619983,58,traditional_scan,,,,
