run,events,records,median_first_four_selected,dynamic_range_selected,dynamic_only,median_only
31,39990,159960,27871,30065,2194,0
32,41921,167684,28240,30641,2401,0
33,57173,228692,48737,49818,1081,0
34,39765,159060,34118,34760,642,0
35,27786,111144,11667,13793,2126,0
36,21764,87056,10391,12107,1716,0
37,50513,202052,24537,29337,4800,0
39,30321,121284,14218,17229,3011,0
40,32613,130452,14708,18041,3333,0
41,33997,135988,16146,19428,3282,0
42,33972,135888,18112,21290,3178,0
44,4294,17176,2038,2463,425,0
45,48181,192724,24333,28993,4660,0
46,1441,5764,687,736,49,0
47,10970,43880,5276,5687,411,0
48,31713,126852,14000,17003,3003,0
49,32354,129416,14815,17875,3060,0
50,44804,179216,35217,36830,1613,0
51,20569,82276,14740,15774,1034,0
52,10005,40020,7152,7668,516,0
53,39612,158448,32200,33603,1403,0
54,37413,149652,30440,31655,1215,0
55,24416,97664,17387,18686,1299,0
56,51823,207292,40148,42084,1936,0
57,31284,125136,13833,16792,2959,0
58,34141,136564,16781,17533,752,0
59,42303,169212,21377,23852,2475,0
60,36074,144296,17029,19397,2368,0
61,36535,146140,18965,21438,2473,0
62,37584,150336,19089,21438,2349,0
63,37030,148120,18817,20360,1543,0
64,35943,143772,14630,15860,1230,0
65,38424,153696,13038,14137,1099,0
