method,bin_low,bin_high,mean_probability,observed_injected_fraction,n
transparent P02 morphology,0.375,0.5,0.4594006139749096,0.4599336178283547,2109
transparent P02 morphology,0.5,0.625,0.5387349251792086,0.5384265575261482,2199
transparent P02 morphology,0.875,1.0,0.9946683406529467,0.5,2
traditional timing/template reference,0.25,0.375,0.3460231041202139,0.3472222222222222,1080
traditional timing/template reference,0.375,0.5,0.4515470924293256,0.44049459041731065,647
traditional timing/template reference,0.5,0.625,0.5552789203076376,0.5605164066702528,1859
traditional timing/template reference,0.625,0.75,0.6538903115293606,0.6256906077348067,724
random_forest_s07h,0.0,0.125,0.07022621550428867,0.07854984894259819,662
random_forest_s07h,0.125,0.25,0.17196690731880732,0.16120218579234974,366
random_forest_s07h,0.25,0.375,0.3040877354953223,0.3142857142857143,805
random_forest_s07h,0.375,0.5,0.4326011441653057,0.438953488372093,344
random_forest_s07h,0.5,0.625,0.5520515493482119,0.5957446808510638,658
random_forest_s07h,0.625,0.75,0.7024013874481855,0.4411764705882353,238
random_forest_s07h,0.75,0.875,0.8296423062324851,0.8241758241758241,364
random_forest_s07h,0.875,1.0,0.9701321415790691,0.9656357388316151,873
ridge_logistic,0.0,0.125,0.03423014072601214,0.3333333333333333,3
ridge_logistic,0.125,0.25,0.16444121060872197,0.17261904761904762,1008
ridge_logistic,0.25,0.375,0.29832527756985316,0.3035230352303523,738
ridge_logistic,0.375,0.5,0.42923426758343974,0.42052023121387283,692
ridge_logistic,0.5,0.625,0.5623635828963232,0.583011583011583,259
ridge_logistic,0.625,0.75,0.692814636804404,0.6873385012919897,387
ridge_logistic,0.75,0.875,0.8248347274593437,0.7826961770623743,497
ridge_logistic,0.875,1.0,0.9219221863727414,0.9077134986225895,726
gradient_boosted_trees,0.0,0.125,0.05852322747528035,0.06113902847571189,1194
gradient_boosted_trees,0.125,0.25,0.20442959061547022,0.22099447513812154,362
gradient_boosted_trees,0.25,0.375,0.28819089417913596,0.26384364820846906,307
gradient_boosted_trees,0.375,0.5,0.4320607029143752,0.43799472295514513,379
gradient_boosted_trees,0.5,0.625,0.5417268073963801,0.572972972972973,185
gradient_boosted_trees,0.625,0.75,0.6967823826641543,0.6585365853658537,246
gradient_boosted_trees,0.75,0.875,0.809180151328919,0.8362068965517241,464
gradient_boosted_trees,0.875,1.0,0.965573904278808,0.9369138959931799,1173
mlp,0.0,0.125,0.06971772280871338,0.07241063244729606,1091
mlp,0.125,0.25,0.20036244041777207,0.23648648648648649,444
mlp,0.25,0.375,0.30513017314803736,0.23214285714285715,280
mlp,0.375,0.5,0.4274137384894824,0.5032967032967033,455
mlp,0.5,0.625,0.5390211688129252,0.6171875,128
mlp,0.625,0.75,0.6516405798856835,0.5414201183431953,338
mlp,0.75,0.875,0.8258913746702219,0.7875354107648725,353
mlp,0.875,1.0,0.9549284010930181,0.9312039312039312,1221
cnn_1d,0.125,0.25,0.20000000000000007,0.36363636363636365,22
cnn_1d,0.25,0.375,0.3241882708160014,0.32489451476793246,474
cnn_1d,0.375,0.5,0.40642254722237614,0.4098613251155624,2596
cnn_1d,0.5,0.625,0.5202783168178995,0.43529411764705883,85
cnn_1d,0.625,0.75,0.6820913927662744,0.7222222222222222,306
cnn_1d,0.75,0.875,0.8302176807800655,0.81136638452237,827
residual_tcn_fusion,0.0,0.125,0.08678774029138119,0.15151515151515152,66
residual_tcn_fusion,0.125,0.25,0.19359143769237058,0.19490254872563717,667
residual_tcn_fusion,0.25,0.375,0.31025655835276994,0.3104895104895105,1430
residual_tcn_fusion,0.375,0.5,0.45611152741866556,0.4857142857142857,385
residual_tcn_fusion,0.5,0.625,0.5446677025600627,0.5323741007194245,278
residual_tcn_fusion,0.625,0.75,0.6811048122238227,0.6933333333333334,300
residual_tcn_fusion,0.75,0.875,0.8201693920894625,0.7317880794701986,302
residual_tcn_fusion,0.875,1.0,0.9221227838396536,0.9149659863945578,882
