method,lowering_axis,n,tail_rate_abs_error_gt5ns,mean_tail_probability_gt5ns,tail_probability_brier,tail_probability_ece,tail_capture_at_95_acceptance,accepted_tail_rate_at_95_acceptance
cnn_1d_heteroskedastic,large,465,0.0301075268817204,0.0290261752226737,0.0316990511616261,0.0223599591049984,0.2857142857142857,0.0226757369614512
cnn_1d_heteroskedastic,medium,706,0.018413597733711,0.0062136095018722,0.0146086740367966,0.0122006807473229,0.5384615384615384,0.008955223880597
cnn_1d_heteroskedastic,none,9240,0.0124458874458874,0.0012847852195201,0.0115641212473753,0.0111611022263673,0.391304347826087,0.0079744816586921
cnn_1d_heteroskedastic,small,1049,0.0257387988560533,0.0063336313060904,0.0223169743505534,0.0194110611130597,0.3703703703703703,0.0170682730923694
control_amplitude_only_ridge,large,465,0.032258064516129,0.032493099271533,0.0323621048660782,0.0364038812379454,0.0666666666666666,0.0317460317460317
control_amplitude_only_ridge,medium,706,0.0169971671388102,0.0147340787114412,0.0168621692963967,0.017095738859475,0.1666666666666666,0.0149253731343283
control_amplitude_only_ridge,none,9240,0.0211038961038961,0.0058798003596373,0.0211067109520283,0.0180403788922337,0.0153846153846153,0.0218728639781271
control_amplitude_only_ridge,small,1049,0.0285986653956148,0.0109476211151627,0.0283207928530562,0.0240234699057813,0.1,0.0271084337349397
control_phase_scrambled_cnn,large,465,0.0301075268817204,0.0416539329689181,0.0322853706605486,0.0283007043974623,0.3571428571428571,0.0204081632653061
control_phase_scrambled_cnn,medium,706,0.0155807365439093,0.0061706914427839,0.015774068633924,0.0094401323580247,0.3636363636363636,0.0104477611940298
control_phase_scrambled_cnn,none,9240,0.0134199134199134,0.0015497514011725,0.0125830883369547,0.0118701620187408,0.3467741935483871,0.0092276144907723
control_phase_scrambled_cnn,small,1049,0.0247855100095328,0.010313825479836,0.0231420677418633,0.0144839679903861,0.3461538461538461,0.0170682730923694
control_run_only_width,large,465,0.032258064516129,0.0045060473662995,0.0319642666116186,0.028405941103024,0.0,0.032258064516129
control_run_only_width,medium,706,0.0169971671388102,0.0044443777918808,0.016850079849344,0.0125527893469293,0.0,0.0169971671388102
control_run_only_width,none,9240,0.03008658008658,0.0044849259064442,0.0297889616049058,0.0256016541801358,0.0,0.03008658008658
control_run_only_width,small,1049,0.0295519542421353,0.0044549795757332,0.0293058025523329,0.025096974666402,0.0,0.0295519542421353
control_sample_permuted_cnn,large,465,0.032258064516129,0.0155178976115753,0.0272395838552656,0.0172647609101631,0.4,0.0204081632653061
control_sample_permuted_cnn,medium,706,0.018413597733711,0.0061178061292991,0.0144891073732066,0.0122971022505549,0.5384615384615384,0.008955223880597
control_sample_permuted_cnn,none,9240,0.0129870129870129,0.0014225916508634,0.0122091529136532,0.0115644344808419,0.375,0.0085440874914559
control_sample_permuted_cnn,small,1049,0.0238322211630123,0.0073891367343419,0.0225594976086776,0.0165381936553507,0.32,0.0170682730923694
