consumer,check,value,pass
timing,leave_one_run_out_train_test_overlap,0,True
timing,scalar_feature_identifier_label_exclusion,,True
timing,nominal_control_present_for_false_promotion,130,True
timing,all_best_predictions_finite,1,True
pileup,leave_one_run_out_train_test_overlap,0,True
pileup,scalar_feature_identifier_label_exclusion,,True
pileup,nominal_control_present_for_false_promotion,130,True
pileup,all_best_predictions_finite,1,True
charge,leave_one_run_out_train_test_overlap,0,True
charge,scalar_feature_identifier_label_exclusion,,True
charge,nominal_control_present_for_false_promotion,130,True
charge,all_best_predictions_finite,1,True
pid,leave_one_run_out_train_test_overlap,0,True
pid,scalar_feature_identifier_label_exclusion,,True
pid,nominal_control_present_for_false_promotion,130,True
pid,all_best_predictions_finite,1,True
