unit,stratum,n_pair_residuals,n_events,n_runs,sigma68_ns,delta_vs_sample_i_sigma68_ns,delta_vs_sample_ii_analysis_sigma68_ns,bias_ns,median_ns,full_rms_ns,tail_frac_abs_gt5ns,amp_slope_ns_per_kadc,q_template_median,q_template_shift_vs_sample_i,sigma68_ci_low_ns,sigma68_ci_high_ns,bias_ci_low_ns,bias_ci_high_ns,tail5_ci_low,tail5_ci_high,amp_slope_ci_low_ns_per_kadc,amp_slope_ci_high_ns_per_kadc,q_template_median_ci_low,q_template_median_ci_high,action,rationale
run,61,2799,933,1,1.7929873649895456,0.4585726422590874,0.2983208157382861,1.8058712050565804,1.913580330845896,2.770921799882409,0.0239371204001429,0.2204519235806266,0.0690463980954036,-0.0651241278590525,1.744321376553594,1.9220253127343727,1.6748555761586497,1.9094512481501351,0.0164076455877098,0.0325473383351196,-0.1117550532649718,0.5414346080070814,0.0653555332719549,0.0748316141462331,recalibrate,sigma68 CI above Sample-I transfer band
run,63,1110,370,1,1.4043221273491764,0.0699074046187182,-0.090344421902083,1.3857263462749445,1.701072153525466,2.8998924131770885,0.0261261261261261,-0.5178138614287596,0.068515324592415,-0.0656552013620412,1.3655384791955727,1.546255792416009,1.2073937279686175,1.5537183767844818,0.0143918918918918,0.0369594594594594,-1.115969468227055,-0.0662985221509558,0.0649659226862662,0.0775259278878214,recalibrate,amplitude slope and q_template shift both elevated
sample_ii_amplitude_bin,"(3000.0, 4000.0]",867,565,7,1.8142500687082328,0.4798353459777746,0.3195835194569734,1.4856826805218206,1.7276668264437518,4.391128008545111,0.0507497116493656,0.9995919764146314,0.0791785733922479,-0.0549919525622082,1.6571578183397238,1.877504404911832,1.2015457257110542,1.5677174119518378,0.0381517502459434,0.1029172932330826,-0.6163984687303387,2.494644993057816,0.0773074318778402,0.0824039467160792,recalibrate,sigma68 CI above Sample-I transfer band
sample_ii_amplitude_bin,"(999.999, 1500.0]",1145,523,7,1.2717107810789638,-0.0627039416514942,-0.2229557681722955,1.5818214649604716,1.9733760124682505,2.72713756737279,0.0157205240174672,0.6535371334411761,0.1634762569278691,0.0293057309734128,1.211471133296402,1.290771457989095,1.4468942618705962,1.6849357390582336,0.0100228858215477,0.0220015509219369,-0.1944832184526306,1.731817267099521,0.1288715566281936,0.1883891637426722,recalibrate,amplitude slope and q_template shift both elevated
global,sample_ii_analysis,11460,3820,7,1.4946665492512594,0.1602518265208012,0.0,1.5242693690173097,1.7700686278374285,2.681472251011269,0.0207678883071553,0.0607519823487111,0.0694809673415511,-0.0646895586129051,1.3728834900365752,1.6843914915891929,1.3970696107071252,1.672046775775292,0.0179167541789698,0.0229490550508156,-0.1008875262003135,0.1648160608193983,0.0651889628189862,0.0744943215839157,abstain,mixed evidence: not pass-stable and not a forced recalibration
run,64,0,0,0,,,,,,,,,,,,,,,,,,,,,abstain,no strict B4/B6/B8 same-event support
sample_ii_amplitude_bin,"(4000.0, 7000.0]",25,19,6,11.1990250275601,9.86461030482964,9.70435847830884,4.02878656073305,2.1922306385917736,13.063814286045996,0.56,1.7979721102262174,0.0799806378319166,-0.0541898881225396,7.165245430453448,18.20499585016696,-1.5819813939152654,10.676801352821496,0.4285714285714285,0.7274242424242424,-5.334720106802855,18.268206831242782,0.0656392374928757,0.1082484999580403,abstain,low support
sample_ii_amplitude_bin,"(2000.0, 3000.0]",6922,2983,7,1.56002515847279,0.2256104357423318,0.0653586092215305,1.5378055420683114,1.7508224169186093,2.375830315326698,0.0158913608783588,0.0230446883831085,0.0636351074762778,-0.0705354184781783,1.3815210506135196,1.828244413976396,1.4001017646708402,1.7698861954613097,0.0112510243785974,0.0197575698922608,-0.1733692451734707,0.2035494596558004,0.062152485147399,0.0658177059371564,abstain,mixed evidence: not pass-stable and not a forced recalibration
sample_ii_pair,B6-B8,3820,3820,7,1.6709650230418571,0.336550300311399,0.1762984737905977,0.6880933954737442,-0.2483062058917156,2.454231864059587,0.0426701570680628,-0.0096181003507391,0.0674050139518568,-0.0667655120025993,1.5770114587339945,1.79522767041694,0.6169320192486843,0.7485293319792518,0.037368895327734,0.0472984179348981,-0.3053621520792892,0.1755818147778809,0.0638926878155506,0.0727158226839318,abstain,mixed evidence: not pass-stable and not a forced recalibration
sample_ii_pair,B4-B8,3820,3820,7,1.0718734569718085,-0.2625412657586496,-0.4227930922794509,2.286404053525964,1.8236170746357525,2.8970076805789025,0.0261780104712041,0.3737509091093726,0.0699545431789629,-0.0642159827754933,0.8271634664472736,1.3211776994998896,2.110169639246129,2.4752723375549146,0.019516173826178,0.0324033540056821,0.1085210522066314,0.6738597762633147,0.067442372763705,0.072844005158968,abstain,mixed evidence: not pass-stable and not a forced recalibration
