method,heldout_run,n,q_template_mse,tail_mse,live10_abs_error_ns,live20_abs_error_ns,tau_eff_abs_error_ns,timing_abs_error_ns,secondary_abs_error,timing_sigma68_ns
cnn_tail_knockout_surrogate,44,374,0.1253172961264034,0.18869899245228552,22.375690607734807,23.176795580110497,9.717638959713645,0.9050837263559575,0.04786841423559118,0.7070638083435247
cnn_tail_knockout_surrogate,45,624,0.17764619456782482,0.28880619343282626,30.114192495921696,30.783034257748778,13.078427627951106,1.0701125921894379,0.059599789377277,1.228647328228351
cnn_tail_knockout_surrogate,46,227,0.04253946778321628,0.058127384977125156,9.910313901345292,16.457399103139014,4.303994641283347,2.975627110628207,0.04579368225548068,3.643819231710793
cnn_tail_knockout_surrogate,47,379,0.10981021662852701,0.1577525900145217,18.4,24.906666666666666,7.991018467019834,7.55024388168416,0.0591245002653707,6.8745296855377225
cnn_tail_knockout_surrogate,48,594,0.15332159793165,0.2747814848707925,27.671232876712327,28.886986301369863,12.017463745816011,1.13705033696214,0.057848224762474344,1.2939622100371613
cnn_tail_knockout_surrogate,49,589,0.16453457410985217,0.2748051852589141,26.57940663176265,27.888307155322863,11.543289632437217,0.9843184042040706,0.048709381300549956,1.1799975648250633
cnn_tail_knockout_surrogate,50,602,0.14300410425025076,0.2745632011053042,30.75085324232082,31.808873720136518,13.354925876956651,1.1084205635675621,0.06341613816200607,1.1999323097331436
cnn_tail_knockout_surrogate,51,527,0.1409539381391299,0.2505916598255714,30.428849902534115,30.292397660818715,13.215081603332866,1.0357209233355746,0.05974217427992478,1.042934845341236
cnn_tail_knockout_surrogate,52,447,0.09946059659723719,0.21895992588422766,24.70046082949309,24.838709677419356,10.727273838716265,0.9283007215213506,0.05192531582888994,0.9256490610035388
cnn_tail_knockout_surrogate,53,594,0.1779467425799608,0.34566077040547966,33.09153713298791,33.229706390328154,14.371471974553202,1.1733505491680547,0.05655253887732633,1.282785109701642
cnn_tail_knockout_surrogate,54,598,0.1873062505650998,0.3330820835054363,31.801029159519725,31.475128644939964,13.811011482823822,1.0937458603522778,0.056190655774914486,1.194209277010841
cnn_tail_knockout_surrogate,55,561,0.140747103955644,0.2739600037686068,31.13345521023766,31.37111517367459,13.52108780038826,0.9574634461564254,0.060124689900705026,0.8895866325442563
cnn_tail_knockout_surrogate,56,613,0.16729094708687905,0.289128736033396,31.66386554621849,32.11764705882353,13.751442082449183,1.2656591777789739,0.06081933605945398,1.2987829193881866
cnn_tail_knockout_surrogate,57,601,0.19576605867526045,0.2568929345181751,30.786324786324787,31.17948717948718,13.370330972782162,1.2281740985289709,0.05937580703539302,1.2995464424100016
cnn_tail_knockout_surrogate,58,598,0.14282615240644975,0.345672842999198,32.955326460481096,33.16151202749141,14.312316431107163,1.157387316843179,0.06265190132153285,1.3133097837585663
cnn_tail_knockout_surrogate,59,666,0.06694788898645965,0.10694023120965926,19.47129909365559,20.951661631419938,8.456277751862409,1.3363692739763497,0.04866886744431766,1.6020960551810934
cnn_tail_knockout_surrogate,60,710,0.10818855363970002,0.16240084438113225,21.792318634423896,22.802275960170697,9.464283730807706,1.2035359046405278,0.04391585053619538,1.5266663112654706
cnn_tail_knockout_surrogate,61,675,0.07689342828934724,0.11629088967334313,21.2012012012012,21.186186186186188,9.207564691402276,1.1314705639649383,0.044231836545271706,1.4657267108034873
cnn_tail_knockout_surrogate,62,670,0.07789501142396146,0.1375382671527937,19.03469079939668,20.512820512820515,8.266661178912575,1.164152367292312,0.042705071899241075,1.3738906952848056
cnn_tail_knockout_surrogate,63,648,0.06439503678925936,0.08773002964980096,19.657320872274145,20.700934579439252,8.537065983830276,1.1569911886674613,0.04351773297043346,1.4450688375484062
cnn_tail_knockout_surrogate,65,584,0.12957739232765295,0.19486103871415122,27.806563039723663,29.15371329879102,12.076236888846898,1.3140379832430795,0.0577056614144982,1.5084198355636533
control_gated_cnn_gbt_ensemble,44,374,0.2042808223264356,0.2776655866438349,23.011049723756905,23.8121546961326,9.99357191782897,0.5891312990006802,0.04817312114735533,0.40969005777478495
control_gated_cnn_gbt_ensemble,45,624,0.22993865045752826,0.33582435364924107,29.9347471451876,29.053833605220227,13.000495502324096,0.5651676280933214,0.05792841568325654,0.47368288513815593
control_gated_cnn_gbt_ensemble,46,227,0.06070641766648175,0.08047807773953591,7.533632286995516,10.31390134529148,3.271814930930328,0.8548991072726031,0.03161784569371898,0.8805748962341493
control_gated_cnn_gbt_ensemble,47,379,0.1402815632110075,0.1920761248511314,17.14666666666667,18.266666666666666,7.446702716367758,1.9456765363244428,0.045197988210262385,1.9343161085201512
control_gated_cnn_gbt_ensemble,48,594,0.1986108607227791,0.31731177635590757,27.414383561643834,26.506849315068493,11.905915505601133,0.6042900136767251,0.056787066869050884,0.46707811217194795
control_gated_cnn_gbt_ensemble,49,589,0.225542146684826,0.33318329676265085,26.090750436300173,26.2478184991274,11.331068943200025,0.5816055740292294,0.050353421513631945,0.4957667067329188
control_gated_cnn_gbt_ensemble,50,602,0.17718674773764112,0.29876924019536644,28.822525597269625,28.02047781569966,12.517463821409423,0.5893622809421519,0.05798275333236867,0.4128929916884062
control_gated_cnn_gbt_ensemble,51,527,0.18206411416502727,0.28393461710566986,28.693957115009745,27.485380116959064,12.461627239017282,0.5902014682104951,0.05595065851146846,0.48129255706159396
control_gated_cnn_gbt_ensemble,52,447,0.13956514523751876,0.24744435479467208,23.870967741935484,23.847926267281107,10.367029568013107,0.5189060432995958,0.049445957173045854,0.43623429678978165
control_gated_cnn_gbt_ensemble,53,594,0.24247010361432234,0.4042738053988494,31.865284974093264,30.88082901554404,13.83891742852331,0.6749268219818831,0.05612986452354792,0.4779929740865385
control_gated_cnn_gbt_ensemble,54,598,0.24689506188843702,0.39188355033306066,29.536878216123498,28.43910806174957,12.8277032219108,0.618793205094126,0.05336710051710383,0.4836785100262143
control_gated_cnn_gbt_ensemble,55,561,0.17687057797164307,0.30481241331331144,29.945155393053017,28.70201096892139,13.005015746938327,0.5124961557616057,0.0582786977384273,0.37809187810530276
control_gated_cnn_gbt_ensemble,56,613,0.20067461491445615,0.31008788394134207,28.941176470588236,28.100840336134453,12.5689932409647,0.7325340822004348,0.056169043636483854,0.4945384218303638
control_gated_cnn_gbt_ensemble,57,601,0.24713315776825193,0.3168451441511162,28.88888888888889,27.863247863247864,12.546285032760608,0.7485608845004578,0.0552375275767739,0.6413671398341662
control_gated_cnn_gbt_ensemble,58,598,0.14408138439675214,0.3161187627593946,27.388316151202748,27.164948453608247,11.89459457308906,0.7346513968140549,0.04996997693028886,0.7528400800127892
control_gated_cnn_gbt_ensemble,59,666,0.0974063590576722,0.13915038190589535,18.444108761329304,18.6404833836858,8.010174658668738,0.7738268856568534,0.044886067222171054,0.7680309962748627
