method,fixed_clean_threshold_from_s11i,injected_transfer_acceptance,injected_transfer_acceptance_ci_low,injected_transfer_acceptance_ci_high,s11i_roc_auc,s11i_brier,s11i_ece,s11i_fixed_95_clean_rejection
MLP,0.8874286055564884,0.6234887737478411,0.5047826959751078,0.7214372119815669,0.9013724454944352,0.1301079507013655,0.064903974260106,0.6234887737478411
fit-plus-shape-residual ExtraTrees,0.6718050149901849,0.46286701208981,0.3597280998730427,0.5259266848816029,0.8355496493567314,0.1730519198825392,0.0825625891663884,0.46286701208981
gradient-boosted trees,0.7547879086066742,0.4525043177892919,0.3970442472143042,0.48695701413166576,0.8548835017196583,0.1586077548372987,0.05262828731029,0.4525043177892919
ridge,0.4483679473400117,0.4438687392055268,0.3987921812931304,0.47205843688267146,0.8373289663257178,0.1861828787318473,0.1165147742611198,0.4438687392055268
shape-only RF,0.6221914895109211,0.41968911917098445,0.3755656108597285,0.449220165307971,0.8223964252582471,0.1758490844949999,0.0529279325442012,0.4196891191709844
channel-attention CNN,0.7190981447696687,0.4058721934369603,0.3365833403667844,0.5029784728308501,0.8192762818390351,0.177101030770661,0.0578673612618832,0.4058721934369603
fit-output ExtraTrees calibration,0.598615642109555,0.30569948186528495,0.2304911403449896,0.35302474221656305,0.7312724278951561,0.2160745400539087,0.070910073794061,0.3056994818652849
1D-CNN,0.6825922012329102,0.3005181347150259,0.20308483290488433,0.3892161082372102,0.7316438025181884,0.2153664220030596,0.0668627561611598,0.3005181347150259
fit-output logistic calibration,0.6513925446586037,0.20725388601036268,0.12853470437017994,0.25706995212175815,0.6528601811830892,0.2301383431322106,0.0426479748595178,0.2072538860103626
bounded two-pulse fit isotonic,0.5482743469312287,0.153713298791019,0.10975252138894018,0.1844171183147561,0.607549494244439,0.239428805871215,0.0249578877513459,0.153713298791019
