support_cell,n,runs,method,method_res68,shuffled_neural_res68,knockoff_neural_res68,delta_vs_shuffled,delta_vs_knockoff
A3_only|B2_only|1000_2000|all_B_amp_lt7000|dropout_like|downstream_none,108,18,cnn1d_waveform,0.5168572598323448,0.6837425712142393,0.41703906447776823,-0.16688531138189455,0.09981819535457653
A3_only|B2_only|1000_2000|all_B_amp_lt7000|dropout_like|downstream_none,108,18,hybrid_support_gate_cnn,0.5244085866554545,0.6837425712142393,0.41703906447776823,-0.15933398455878478,0.1073695221776863
A3_only|B2_only|7000_inf|any_B_amp_ge7000|broad_saturation_like|downstream_none,150,23,hybrid_support_gate_cnn,0.5421883178372809,0.6424997329075739,0.39897271963388264,-0.10031141507029295,0.1432155982033983
A3_only|B2_only|3000_5000|all_B_amp_lt7000|late_tail_high|downstream_none,81,19,cnn1d_waveform,0.335581122596396,0.42212488154875616,0.42020895291368704,-0.08654375895236016,-0.08462783031729104
A3_only|B2_only|7000_inf|any_B_amp_ge7000|broad_saturation_like|downstream_none,150,23,cnn1d_waveform,0.559658380201169,0.6424997329075739,0.39897271963388264,-0.08284135270640491,0.16068566056728634
A3_only|B2_only|3000_5000|all_B_amp_lt7000|late_tail_high|downstream_none,81,19,hybrid_support_gate_cnn,0.33965689165123647,0.42212488154875616,0.42020895291368704,-0.08246798989751969,-0.08055206126245057
A3_only|B2_only|1000_2000|all_B_amp_lt7000|late_tail_high|downstream_none,174,22,cnn1d_waveform,0.48980959936484353,0.5599659911439978,0.381510745501661,-0.07015639177915428,0.10829885386318255
A3_only|B2_only|1000_2000|all_B_amp_lt7000|late_tail_high|downstream_none,174,22,hybrid_support_gate_cnn,0.511887619735489,0.5599659911439978,0.381510745501661,-0.04807837140850879,0.13037687423382804
A1_A3_pair|B2_only|1000_2000|all_B_amp_lt7000|dropout_like|downstream_none,71,16,cnn1d_waveform,0.4928058106570359,0.530251173559293,0.3129107421320649,-0.037445362902257084,0.179895068524971
A1_A3_pair|B2_only|7000_inf|any_B_amp_ge7000|late_tail_high|downstream_none,190,20,cnn1d_waveform,0.49808462152494487,0.5305476725386183,0.2941730473009979,-0.03246305101367347,0.20391157422394696
A1_A3_pair|B2_only|7000_inf|any_B_amp_ge7000|late_tail_high|downstream_none,190,20,hybrid_support_gate_cnn,0.49947772846265326,0.5305476725386183,0.2941730473009979,-0.031069944075965084,0.20530468116165534
A1_A3_pair|B2_only|1000_2000|all_B_amp_lt7000|dropout_like|downstream_none,71,16,hybrid_support_gate_cnn,0.5024580224302434,0.530251173559293,0.3129107421320649,-0.027793151129049565,0.18954728029817852
A1_A3_pair|B2_only|2000_3000|all_B_amp_lt7000|late_tail_high|downstream_none,101,17,hybrid_support_gate_cnn,0.44282907001591604,0.4688090556880901,0.27608379926654625,-0.025979985672174077,0.1667452707493698
A1_A3_pair|B2_only|2000_3000|all_B_amp_lt7000|late_tail_high|downstream_none,101,17,cnn1d_waveform,0.4471920270328533,0.4688090556880901,0.27608379926654625,-0.021617028655236792,0.17110822776630707
A1_A3_pair|B2_only|1000_2000|all_B_amp_lt7000|late_tail_high|downstream_none,76,18,hybrid_support_gate_cnn,0.4756885138197413,0.4968730769134568,0.2586998575880969,-0.02118456309371547,0.21698865623164443
A1_A3_pair|B2_only|3000_5000|all_B_amp_lt7000|broad_saturation_like|downstream_none,300,22,hybrid_support_gate_cnn,0.494263769826587,0.5144450966016579,0.28420138122068067,-0.02018132677507095,0.21006238860590631
A1_A3_pair|B2_only|1000_2000|all_B_amp_lt7000|late_tail_high|downstream_none,76,18,cnn1d_waveform,0.47827943313953486,0.4968730769134568,0.2586998575880969,-0.01859364377392192,0.21957957555143798
A1_A3_pair|B2_only|3000_5000|all_B_amp_lt7000|broad_saturation_like|downstream_none,300,22,cnn1d_waveform,0.49631218152276313,0.5144450966016579,0.28420138122068067,-0.018132915078894807,0.21211080030208246
A1_A3_pair|B2_only|7000_inf|any_B_amp_ge7000|broad_saturation_like|downstream_none,80,17,hybrid_support_gate_cnn,0.48290675856122356,0.5006383998989167,0.2855548365696034,-0.017731641337693116,0.19735192199162016
A1_A3_pair|B2_only|5000_7000|all_B_amp_lt7000|broad_saturation_like|downstream_none,303,24,cnn1d_waveform,0.48354908445454886,0.5008832317864292,0.2605872340939233,-0.01733414733188038,0.22296185036062555
A1_A3_pair|B2_only|5000_7000|all_B_amp_lt7000|broad_saturation_like|downstream_none,303,24,hybrid_support_gate_cnn,0.4857371336129787,0.5008832317864292,0.2605872340939233,-0.015146098173450528,0.2251498995190554
A1_A3_pair|B2_only|7000_inf|any_B_amp_ge7000|broad_saturation_like|downstream_none,80,17,cnn1d_waveform,0.48629477948243505,0.5006383998989167,0.2855548365696034,-0.014343620416481628,0.20073994291283165
A3_only|B2_only|2000_3000|all_B_amp_lt7000|late_tail_high|downstream_none,166,19,cnn1d_waveform,0.5772187723606126,0.5725677674073845,0.41852808426291443,0.004651004953228122,0.15869068809769815
