run,event_index,eventno,evt,group,depth_idx,multiplicity
31,0,391389,4910,sample_i_calib,0,1
31,1,391390,4911,sample_i_calib,0,1
31,2,391391,4912,sample_i_calib,0,1
31,4,391393,4914,sample_i_calib,0,1
31,5,391394,4915,sample_i_calib,0,1
31,8,391397,4918,sample_i_calib,0,1
31,10,391399,4920,sample_i_calib,0,1
31,12,391401,4922,sample_i_calib,0,1
31,13,391402,4923,sample_i_calib,0,1
31,14,391403,4924,sample_i_calib,0,1
31,15,391404,4925,sample_i_calib,0,1
31,16,391405,4926,sample_i_calib,0,1
31,17,391406,4927,sample_i_calib,0,1
31,18,391407,4928,sample_i_calib,0,1
31,19,391408,4929,sample_i_calib,1,2
31,21,391410,4931,sample_i_calib,0,1
31,23,391412,4933,sample_i_calib,0,1
31,27,391416,4937,sample_i_calib,0,1
31,29,391418,4939,sample_i_calib,0,1
31,30,391419,4940,sample_i_calib,0,1
31,31,391420,4941,sample_i_calib,0,1
31,32,391421,4941,sample_i_calib,0,1
31,35,391424,4944,sample_i_calib,0,1
31,36,391425,4945,sample_i_calib,0,1
31,37,391426,4946,sample_i_calib,0,1
31,38,391427,4947,sample_i_calib,0,1
31,39,391428,4948,sample_i_calib,0,1
31,40,391429,4949,sample_i_calib,0,1
31,41,391430,4949,sample_i_calib,0,1
31,42,391431,4950,sample_i_calib,0,1
31,44,391433,4952,sample_i_calib,0,1
31,45,391434,4953,sample_i_calib,0,1
31,47,391436,4955,sample_i_calib,0,1
31,50,391439,4958,sample_i_calib,0,1
31,51,391440,4959,sample_i_calib,0,1
31,52,391441,4960,sample_i_calib,0,1
31,53,391442,4961,sample_i_calib,0,1
31,54,391443,4962,sample_i_calib,0,1
31,55,391444,4963,sample_i_calib,0,1
31,56,391445,4964,sample_i_calib,0,1
31,61,391451,4970,sample_i_calib,0,1
31,65,391455,4974,sample_i_calib,0,1
31,66,391456,4975,sample_i_calib,0,1
31,67,391457,4976,sample_i_calib,0,1
31,68,391458,4976,sample_i_calib,0,1
31,70,391460,4978,sample_i_calib,0,1
31,71,391461,4979,sample_i_calib,0,1
31,72,391462,4980,sample_i_calib,0,1
31,73,391463,4981,sample_i_calib,0,1
31,77,391467,4985,sample_i_calib,0,1
31,78,391468,4986,sample_i_calib,0,1
31,80,391470,4988,sample_i_calib,0,1
31,81,391471,4989,sample_i_calib,0,1
31,82,391472,4990,sample_i_calib,0,1
31,84,391474,4992,sample_i_calib,0,1
31,85,391475,4993,sample_i_calib,0,1
31,86,391476,4994,sample_i_calib,0,1
31,89,391479,4997,sample_i_calib,0,1
31,90,391480,4998,sample_i_calib,0,1
31,91,391481,4999,sample_i_calib,0,1
31,92,391482,5000,sample_i_calib,0,1
31,93,391483,5001,sample_i_calib,0,1
31,94,391484,5001,sample_i_calib,0,1
31,95,391485,5002,sample_i_calib,0,1
31,96,391486,5003,sample_i_calib,0,1
31,97,391487,5004,sample_i_calib,0,1
31,98,391488,5004,sample_i_calib,0,1
31,99,391489,5005,sample_i_calib,0,1
31,100,391490,5006,sample_i_calib,0,1
31,101,391491,5007,sample_i_calib,0,1
31,102,391492,5008,sample_i_calib,0,1
31,103,391493,5009,sample_i_calib,0,1
31,106,391496,5012,sample_i_calib,0,1
