method,run,stave,n,ks,wasserstein,median_frac_error,p90_frac_error
traditional_response_scan,44,B2,1884,0.5753715498938429,0.4299227096517954,-0.2242084463486438,-0.5393414589529475
traditional_response_scan,44,B4,93,0.3763440860215054,0.2800280280768984,-0.08979345557611536,-0.2809455107659085
traditional_response_scan,44,B6,44,0.75,0.46565837836568935,0.4501914911862191,-0.010477279549143424
traditional_response_scan,44,B8,17,0.7647058823529411,0.51625303572754,0.4136050113780966,-0.18766667036898593
traditional_response_scan,45,B2,22786,0.6139734924953919,0.4508057889483709,-0.27945891440552184,-0.5696691931888928
traditional_response_scan,45,B4,969,0.3126934984520124,0.24545348931528102,-0.03542208044001442,-0.2582862135865064
traditional_response_scan,45,B6,401,0.5610972568578554,0.32389064762532416,0.24918348810353352,0.012465377361748855
traditional_response_scan,45,B8,177,0.5932203389830508,0.3607358247786836,0.2887181143055857,0.0030618185280360866
traditional_response_scan,46,B2,675,0.6162962962962963,0.44275661337943195,-0.24534534760201251,-0.560214128916733
traditional_response_scan,46,B4,7,0.5714285714285714,0.4839036006085821,0.35815296393611656,-0.15385703416970278
traditional_response_scan,46,B6,3,0.6666666666666666,0.1864983908062287,0.18832990350733886,-0.01782380708061539
traditional_response_scan,46,B8,2,1.0,0.3756939757527669,0.3756939757527669,0.3878074205811616
traditional_response_scan,47,B2,5116,0.6389757623143081,0.45092594272709907,-0.28574317488331163,-0.5733194075882182
traditional_response_scan,47,B4,85,0.4235294117647059,0.26558718923566077,0.036585892869633596,-0.20930018154864002
traditional_response_scan,47,B6,50,0.64,0.43929051357683746,0.45759738266657307,0.036439971984525844
traditional_response_scan,47,B8,25,0.8,0.8293419175812288,0.8454130019903215,0.1791363482866165
traditional_response_scan,48,B2,13044,0.53311867525299,0.4227384883212484,-0.16278821448859876,-0.5283327412054475
traditional_response_scan,48,B4,599,0.31385642737896496,0.2436814270887236,-0.05679120225861789,-0.25447046775830723
traditional_response_scan,48,B6,245,0.5836734693877551,0.3086947313861353,0.22593560784748315,0.012992238625605338
traditional_response_scan,48,B8,112,0.6785714285714286,0.3826971604716554,0.3024887526363225,-0.038449576815796624
traditional_response_scan,49,B2,13779,0.5437259597938893,0.4241149225222349,-0.17854155490423118,-0.5308985778246502
traditional_response_scan,49,B4,640,0.30625,0.22128516528800152,-0.04859523091265178,-0.24154422145640048
traditional_response_scan,49,B6,281,0.5587188612099644,0.27622341394830313,0.21555226328276336,-0.02086267714071255
traditional_response_scan,49,B8,115,0.7130434782608696,0.48831648643849,0.4331707780643592,0.1342420972060356
traditional_response_scan,50,B2,34088,0.9015195963388876,0.49577062491570645,-0.5377857858122673,-0.6005076341926467
traditional_response_scan,50,B4,659,0.30197268588770865,0.215902410402201,0.010703503618863958,-0.25409371267231373
traditional_response_scan,50,B6,330,0.48484848484848486,0.2287983307132568,0.13826900036065515,-0.04437044271363043
traditional_response_scan,50,B8,140,0.7285714285714285,0.4292876770881416,0.30908242485179854,0.07098586285017187
traditional_response_scan,51,B2,14200,0.8620422535211267,0.4803528369875465,-0.5197270546188949,-0.5966691753688069
traditional_response_scan,51,B4,303,0.31683168316831684,0.22047418129747617,-0.009645115034336906,-0.20958985305075603
traditional_response_scan,51,B6,177,0.5423728813559322,0.2777884405807369,0.20975677768546047,-0.007384745589829326
traditional_response_scan,51,B8,60,0.6833333333333333,0.4064661436683868,0.38080549824030013,0.021953968679408055
traditional_response_scan,52,B2,6893,0.8688524590163934,0.4796450947174029,-0.5244861294087493,-0.5964270980243466
traditional_response_scan,52,B4,148,0.3581081081081081,0.270280867201537,0.03569472289679105,-0.27753573544184534
traditional_response_scan,52,B6,76,0.6447368421052632,0.270768183710191,0.25391613094609694,-0.03956222506938349
traditional_response_scan,52,B8,35,0.6285714285714286,0.3648608607547306,0.32621188567141784,0.05159168393412131
traditional_response_scan,53,B2,31225,0.912986389111289,0.4786200998136677,-0.5021406270080784,-0.5760261538109346
traditional_response_scan,53,B4,559,0.3112701252236136,0.21827102374553872,0.0127614186279745,-0.2423319269982697
traditional_response_scan,53,B6,296,0.5202702702702703,0.2749896285257178,0.19977628558867394,-0.04848081590194054
traditional_response_scan,53,B8,120,0.6583333333333333,0.4135582451415755,0.33563567187028354,0.0759226958724853
traditional_response_scan,54,B2,29493,0.913911775675584,0.4792322934086443,-0.5022672553659535,-0.5762143555646094
traditional_response_scan,54,B4,536,0.31529850746268656,0.20827224604281588,-0.000345249630813385,-0.23278019787206475
traditional_response_scan,54,B6,298,0.5067114093959731,0.24879549870565715,0.1449892050927587,-0.021730981491211464
traditional_response_scan,54,B8,113,0.6637168141592921,0.4529390588197349,0.360181060559518,-0.038597902093057725
traditional_response_scan,55,B2,16735,0.8592769644457723,0.47477612863605484,-0.5153233339925625,-0.5914533606328125
traditional_response_scan,55,B4,372,0.30913978494623656,0.21684991412936355,0.01083181907194465,-0.24330225134810024
traditional_response_scan,55,B6,199,0.5477386934673367,0.27870724331251495,0.2434491466529171,-0.019472892608558036
traditional_response_scan,55,B8,81,0.654320987654321,0.42531294594149205,0.30302117416657137,-0.05174860924737427
traditional_response_scan,56,B2,38730,0.8890524141492383,0.49062038479234005,-0.5346494048702577,-0.5996162566771615
traditional_response_scan,56,B4,825,0.296969696969697,0.21208527555352463,-0.01935487088346849,-0.2429304187084235
traditional_response_scan,56,B6,421,0.503562945368171,0.25082920192694186,0.16602959412887544,-0.04612897823999358
traditional_response_scan,56,B8,172,0.6569767441860465,0.3895996603550994,0.2975064320891018,0.02318043781629662
traditional_response_scan,57,B2,12774,0.5321747299201504,0.41999386863134774,-0.16173480220408248,-0.5233664691277213
traditional_response_scan,57,B4,656,0.2926829268292683,0.22507325086092972,-0.03467442975491252,-0.2740127290402778
traditional_response_scan,57,B6,273,0.6043956043956044,0.29927976803655604,0.2428833266337178,-0.01766763672116225
traditional_response_scan,57,B8,130,0.7,0.44011855024910085,0.36734654770013014,0.01377327606812005
traditional_response_scan,58,B2,15791,0.5435374580457222,0.3701665854770709,-0.1467650050066519,-0.47853623458096634
traditional_response_scan,58,B4,591,0.3096446700507614,0.2566559815899509,-0.047490140977747786,-0.3138493226008099
traditional_response_scan,58,B6,285,0.5929824561403508,0.3326767276737105,0.2864137936558177,-0.00037969691071864986
traditional_response_scan,58,B8,114,0.6403508771929824,0.366952759968223,0.2908490838135638,-0.07037686226645272
traditional_response_scan,59,B2,13565,0.45049760412827133,0.37809085593970226,0.07805819768655416,-0.38728867307120424
traditional_response_scan,59,B4,4527,0.35100508062734703,0.2320874110198086,0.009307192285442502,-0.27391948161191515
traditional_response_scan,59,B6,2366,0.6525781910397295,0.3328651166009768,0.2926529807631811,-0.04201861598387124
traditional_response_scan,59,B8,919,0.5799782372143635,0.28461569771396666,0.21293190870696496,-0.11622939437959064
traditional_response_scan,60,B2,9873,0.42347817279449,0.3167731695134519,0.06042537273068811,-0.3344410475837847
traditional_response_scan,60,B4,4040,0.41806930693069305,0.24996951371398676,-0.09562768347763334,-0.36314533595153003
traditional_response_scan,60,B6,2189,0.48652352672453175,0.23975923905831004,0.13063095735666666,-0.18575133425847595
traditional_response_scan,60,B8,927,0.44660194174757284,0.23784986793685758,0.09627101308904293,-0.20282180806044778
traditional_response_scan,61,B2,11015,0.42941443486155245,0.3196858677489746,0.06913324117417766,-0.33414307860273773
traditional_response_scan,61,B4,4401,0.3176550783912747,0.21678988089762505,-0.022512866381066136,-0.2954658057298317
traditional_response_scan,61,B6,2490,0.5389558232931727,0.2548194903795582,0.17439497388331945,-0.12327021264679452
traditional_response_scan,61,B8,1059,0.48914069877242683,0.2389832856220957,0.14082735601677812,-0.17133038351134017
traditional_response_scan,62,B2,11635,0.4547486033519553,0.3507795084307402,0.08681624813468251,-0.3480968530479366
traditional_response_scan,62,B4,4183,0.32201769065264163,0.22228426865009385,-0.03620575903735785,-0.2972994792310383
traditional_response_scan,62,B6,2342,0.6114432109308283,0.2891223577862144,0.24621984163111665,-0.07361473557943835
traditional_response_scan,62,B8,929,0.5328310010764262,0.25280466660405393,0.17028769858365442,-0.14863811348969735
traditional_response_scan,63,B2,14566,0.4261293423039956,0.4031304376862511,0.04362167421889419,-0.4495882196348787
traditional_response_scan,63,B4,2645,0.3587901701323251,0.24413704590444388,-0.0003323225461298602,-0.28959863568769706
traditional_response_scan,63,B6,1153,0.6843018213356461,0.34876353647075964,0.3338205063651266,-0.002774572334483231
traditional_response_scan,63,B8,453,0.5739514348785872,0.27886066933796666,0.21107637884659883,-0.09565032423702406
traditional_response_scan,65,B2,11768,0.5082426920462271,0.42491170307498743,0.14356122325437787,-0.3700853934561798
traditional_response_scan,65,B4,842,0.3752969121140142,0.22774835708980232,0.00906554512282029,-0.21628672620782086
traditional_response_scan,65,B6,323,0.6873065015479877,0.3820431665362613,0.3242123088712834,0.06448207495958919
traditional_response_scan,65,B8,105,0.6857142857142857,0.4149949920093303,0.3712712048946347,0.060789765875446565
gp_bo_surrogate_response,44,B2,1884,0.5753715498938429,0.4299227096517954,-0.2242084463486438,-0.5393414589529475
gp_bo_surrogate_response,44,B4,93,0.3763440860215054,0.2800280280768984,-0.08979345557611536,-0.2809455107659085
gp_bo_surrogate_response,44,B6,44,0.75,0.46565837836568935,0.4501914911862191,-0.010477279549143424
gp_bo_surrogate_response,44,B8,17,0.7647058823529411,0.51625303572754,0.4136050113780966,-0.18766667036898593
gp_bo_surrogate_response,45,B2,22786,0.6139734924953919,0.4508057889483709,-0.27945891440552184,-0.5696691931888928
gp_bo_surrogate_response,45,B4,969,0.3126934984520124,0.24545348931528102,-0.03542208044001442,-0.2582862135865064
gp_bo_surrogate_response,45,B6,401,0.5610972568578554,0.32389064762532416,0.24918348810353352,0.012465377361748855
gp_bo_surrogate_response,45,B8,177,0.5932203389830508,0.3607358247786836,0.2887181143055857,0.0030618185280360866
gp_bo_surrogate_response,46,B2,675,0.6162962962962963,0.44275661337943195,-0.24534534760201251,-0.560214128916733
gp_bo_surrogate_response,46,B4,7,0.5714285714285714,0.4839036006085821,0.35815296393611656,-0.15385703416970278
gp_bo_surrogate_response,46,B6,3,0.6666666666666666,0.1864983908062287,0.18832990350733886,-0.01782380708061539
gp_bo_surrogate_response,46,B8,2,1.0,0.3756939757527669,0.3756939757527669,0.3878074205811616
gp_bo_surrogate_response,47,B2,5116,0.6389757623143081,0.45092594272709907,-0.28574317488331163,-0.5733194075882182
gp_bo_surrogate_response,47,B4,85,0.4235294117647059,0.26558718923566077,0.036585892869633596,-0.20930018154864002
gp_bo_surrogate_response,47,B6,50,0.64,0.43929051357683746,0.45759738266657307,0.036439971984525844
gp_bo_surrogate_response,47,B8,25,0.8,0.8293419175812288,0.8454130019903215,0.1791363482866165
gp_bo_surrogate_response,48,B2,13044,0.53311867525299,0.4227384883212484,-0.16278821448859876,-0.5283327412054475
gp_bo_surrogate_response,48,B4,599,0.31385642737896496,0.2436814270887236,-0.05679120225861789,-0.25447046775830723
gp_bo_surrogate_response,48,B6,245,0.5836734693877551,0.3086947313861353,0.22593560784748315,0.012992238625605338
gp_bo_surrogate_response,48,B8,112,0.6785714285714286,0.3826971604716554,0.3024887526363225,-0.038449576815796624
gp_bo_surrogate_response,49,B2,13779,0.5437259597938893,0.4241149225222349,-0.17854155490423118,-0.5308985778246502
gp_bo_surrogate_response,49,B4,640,0.30625,0.22128516528800152,-0.04859523091265178,-0.24154422145640048
gp_bo_surrogate_response,49,B6,281,0.5587188612099644,0.27622341394830313,0.21555226328276336,-0.02086267714071255
gp_bo_surrogate_response,49,B8,115,0.7130434782608696,0.48831648643849,0.4331707780643592,0.1342420972060356
gp_bo_surrogate_response,50,B2,34088,0.9015195963388876,0.49577062491570645,-0.5377857858122673,-0.6005076341926467
gp_bo_surrogate_response,50,B4,659,0.30197268588770865,0.215902410402201,0.010703503618863958,-0.25409371267231373
gp_bo_surrogate_response,50,B6,330,0.48484848484848486,0.2287983307132568,0.13826900036065515,-0.04437044271363043
gp_bo_surrogate_response,50,B8,140,0.7285714285714285,0.4292876770881416,0.30908242485179854,0.07098586285017187
gp_bo_surrogate_response,51,B2,14200,0.8620422535211267,0.4803528369875465,-0.5197270546188949,-0.5966691753688069
gp_bo_surrogate_response,51,B4,303,0.31683168316831684,0.22047418129747617,-0.009645115034336906,-0.20958985305075603
gp_bo_surrogate_response,51,B6,177,0.5423728813559322,0.2777884405807369,0.20975677768546047,-0.007384745589829326
gp_bo_surrogate_response,51,B8,60,0.6833333333333333,0.4064661436683868,0.38080549824030013,0.021953968679408055
gp_bo_surrogate_response,52,B2,6893,0.8688524590163934,0.4796450947174029,-0.5244861294087493,-0.5964270980243466
gp_bo_surrogate_response,52,B4,148,0.3581081081081081,0.270280867201537,0.03569472289679105,-0.27753573544184534
gp_bo_surrogate_response,52,B6,76,0.6447368421052632,0.270768183710191,0.25391613094609694,-0.03956222506938349
gp_bo_surrogate_response,52,B8,35,0.6285714285714286,0.3648608607547306,0.32621188567141784,0.05159168393412131
gp_bo_surrogate_response,53,B2,31225,0.912986389111289,0.4786200998136677,-0.5021406270080784,-0.5760261538109346
gp_bo_surrogate_response,53,B4,559,0.3112701252236136,0.21827102374553872,0.0127614186279745,-0.2423319269982697
gp_bo_surrogate_response,53,B6,296,0.5202702702702703,0.2749896285257178,0.19977628558867394,-0.04848081590194054
gp_bo_surrogate_response,53,B8,120,0.6583333333333333,0.4135582451415755,0.33563567187028354,0.0759226958724853
gp_bo_surrogate_response,54,B2,29493,0.913911775675584,0.4792322934086443,-0.5022672553659535,-0.5762143555646094
gp_bo_surrogate_response,54,B4,536,0.31529850746268656,0.20827224604281588,-0.000345249630813385,-0.23278019787206475
gp_bo_surrogate_response,54,B6,298,0.5067114093959731,0.24879549870565715,0.1449892050927587,-0.021730981491211464
gp_bo_surrogate_response,54,B8,113,0.6637168141592921,0.4529390588197349,0.360181060559518,-0.038597902093057725
gp_bo_surrogate_response,55,B2,16735,0.8592769644457723,0.47477612863605484,-0.5153233339925625,-0.5914533606328125
gp_bo_surrogate_response,55,B4,372,0.30913978494623656,0.21684991412936355,0.01083181907194465,-0.24330225134810024
gp_bo_surrogate_response,55,B6,199,0.5477386934673367,0.27870724331251495,0.2434491466529171,-0.019472892608558036
gp_bo_surrogate_response,55,B8,81,0.654320987654321,0.42531294594149205,0.30302117416657137,-0.05174860924737427
gp_bo_surrogate_response,56,B2,38730,0.8890524141492383,0.49062038479234005,-0.5346494048702577,-0.5996162566771615
gp_bo_surrogate_response,56,B4,825,0.296969696969697,0.21208527555352463,-0.01935487088346849,-0.2429304187084235
gp_bo_surrogate_response,56,B6,421,0.503562945368171,0.25082920192694186,0.16602959412887544,-0.04612897823999358
gp_bo_surrogate_response,56,B8,172,0.6569767441860465,0.3895996603550994,0.2975064320891018,0.02318043781629662
gp_bo_surrogate_response,57,B2,12774,0.5321747299201504,0.41999386863134774,-0.16173480220408248,-0.5233664691277213
gp_bo_surrogate_response,57,B4,656,0.2926829268292683,0.22507325086092972,-0.03467442975491252,-0.2740127290402778
gp_bo_surrogate_response,57,B6,273,0.6043956043956044,0.29927976803655604,0.2428833266337178,-0.01766763672116225
gp_bo_surrogate_response,57,B8,130,0.7,0.44011855024910085,0.36734654770013014,0.01377327606812005
gp_bo_surrogate_response,58,B2,15791,0.5435374580457222,0.3701665854770709,-0.1467650050066519,-0.47853623458096634
gp_bo_surrogate_response,58,B4,591,0.3096446700507614,0.2566559815899509,-0.047490140977747786,-0.3138493226008099
gp_bo_surrogate_response,58,B6,285,0.5929824561403508,0.3326767276737105,0.2864137936558177,-0.00037969691071864986
gp_bo_surrogate_response,58,B8,114,0.6403508771929824,0.366952759968223,0.2908490838135638,-0.07037686226645272
gp_bo_surrogate_response,59,B2,13565,0.45049760412827133,0.37809085593970226,0.07805819768655416,-0.38728867307120424
gp_bo_surrogate_response,59,B4,4527,0.35100508062734703,0.2320874110198086,0.009307192285442502,-0.27391948161191515
gp_bo_surrogate_response,59,B6,2366,0.6525781910397295,0.3328651166009768,0.2926529807631811,-0.04201861598387124
gp_bo_surrogate_response,59,B8,919,0.5799782372143635,0.28461569771396666,0.21293190870696496,-0.11622939437959064
gp_bo_surrogate_response,60,B2,9873,0.42347817279449,0.3167731695134519,0.06042537273068811,-0.3344410475837847
gp_bo_surrogate_response,60,B4,4040,0.41806930693069305,0.24996951371398676,-0.09562768347763334,-0.36314533595153003
