run,events,selected_pulses,root_file
31,39990,27871,data/root/root/hrdb_run_0031.root
32,41921,28240,data/root/root/hrdb_run_0032.root
33,57173,48737,data/root/root/hrdb_run_0033.root
34,39765,34118,data/root/root/hrdb_run_0034.root
35,27786,11667,data/root/root/hrdb_run_0035.root
36,21764,10391,data/root/root/hrdb_run_0036.root
37,50513,24537,data/root/root/hrdb_run_0037.root
39,30321,14218,data/root/root/hrdb_run_0039.root
40,32613,14708,data/root/root/hrdb_run_0040.root
41,33997,16146,data/root/root/hrdb_run_0041.root
42,33972,18112,data/root/root/hrdb_run_0042.root
44,4294,2038,data/root/root/hrdb_run_0044.root
45,48181,24333,data/root/root/hrdb_run_0045.root
46,1441,687,data/root/root/hrdb_run_0046.root
47,10970,5276,data/root/root/hrdb_run_0047.root
48,31713,14000,data/root/root/hrdb_run_0048.root
49,32354,14815,data/root/root/hrdb_run_0049.root
50,44804,35217,data/root/root/hrdb_run_0050.root
51,20569,14740,data/root/root/hrdb_run_0051.root
52,10005,7152,data/root/root/hrdb_run_0052.root
53,39612,32200,data/root/root/hrdb_run_0053.root
54,37413,30440,data/root/root/hrdb_run_0054.root
55,24416,17387,data/root/root/hrdb_run_0055.root
56,51823,40148,data/root/root/hrdb_run_0056.root
57,31284,13833,data/root/root/hrdb_run_0057.root
58,34141,16781,data/root/root/hrdb_run_0058.root
59,42303,21377,data/root/root/hrdb_run_0059.root
60,36074,17029,data/root/root/hrdb_run_0060.root
61,36535,18965,data/root/root/hrdb_run_0061.root
62,37584,19089,data/root/root/hrdb_run_0062.root
63,37030,18817,data/root/root/hrdb_run_0063.root
64,35943,14630,data/root/root/hrdb_run_0064.root
65,38424,13038,data/root/root/hrdb_run_0065.root
