method,pool_level,n_rows,n_clean,n_injected,mean_pool_clean,clean_false_positive_rate,injected_rejection,exact_stratum_available_fraction
transparent P02 morphology,adjacent_run_amp_topology_baseline,4024,2029,1995,134.9955268389662,0.0724494825036964,0.07719298245614035,1.0
transparent P02 morphology,amp_only,6,0,6,426.0,,0.0,0.0
transparent P02 morphology,amp_topology,126,52,74,428.76984126984127,0.40384615384615385,0.32432432432432434,0.0
transparent P02 morphology,any_run_amp_topology_baseline,154,74,80,97.11688311688312,0.0945945945945946,0.1625,1.0
transparent P02 morphology,all_hierarchical,4310,2155,2155,142.6354988399072,0.08120649651972157,0.08863109048723898,0.9693735498839907
traditional timing/template reference,adjacent_run_amp_topology_baseline,4024,2029,1995,134.9955268389662,0.05766387382947265,0.12330827067669173,1.0
traditional timing/template reference,amp_only,6,0,6,426.0,,0.0,0.0
traditional timing/template reference,amp_topology,126,52,74,428.76984126984127,0.34615384615384615,0.33783783783783783,0.0
traditional timing/template reference,any_run_amp_topology_baseline,154,74,80,97.11688311688312,0.10810810810810811,0.275,1.0
traditional timing/template reference,all_hierarchical,4310,2155,2155,142.6354988399072,0.06635730858468677,0.1359628770301624,0.9693735498839907
random_forest_s07h,adjacent_run_amp_topology_baseline,4024,2029,1995,134.9955268389662,0.06604238541153278,0.5538847117794486,1.0
random_forest_s07h,amp_only,6,0,6,426.0,,0.16666666666666666,0.0
random_forest_s07h,amp_topology,126,52,74,428.76984126984127,0.038461538461538464,0.5,0.0
random_forest_s07h,any_run_amp_topology_baseline,154,74,80,97.11688311688312,0.02702702702702703,0.3625,1.0
random_forest_s07h,all_hierarchical,4310,2155,2155,142.6354988399072,0.06403712296983759,0.5438515081206496,0.9693735498839907
ridge_logistic,adjacent_run_amp_topology_baseline,4024,2029,1995,134.9955268389662,0.06604238541153278,0.41854636591478694,1.0
ridge_logistic,amp_only,6,0,6,426.0,,0.0,0.0
ridge_logistic,amp_topology,126,52,74,428.76984126984127,0.0,0.5,0.0
ridge_logistic,any_run_amp_topology_baseline,154,74,80,97.11688311688312,0.05405405405405406,0.3625,1.0
ridge_logistic,all_hierarchical,4310,2155,2155,142.6354988399072,0.06403712296983759,0.41809744779582364,0.9693735498839907
gradient_boosted_trees,adjacent_run_amp_topology_baseline,4024,2029,1995,134.9955268389662,0.07392804337111877,0.6882205513784461,1.0
gradient_boosted_trees,amp_only,6,0,6,426.0,,0.8333333333333334,0.0
gradient_boosted_trees,amp_topology,126,52,74,428.76984126984127,0.07692307692307693,0.5135135135135135,0.0
gradient_boosted_trees,any_run_amp_topology_baseline,154,74,80,97.11688311688312,0.05405405405405406,0.5,1.0
gradient_boosted_trees,all_hierarchical,4310,2155,2155,142.6354988399072,0.07331786542923434,0.6756380510440835,0.9693735498839907
mlp,adjacent_run_amp_topology_baseline,4024,2029,1995,134.9955268389662,0.08378511582060127,0.6345864661654136,1.0
mlp,amp_only,6,0,6,426.0,,0.16666666666666666,0.0
mlp,amp_topology,126,52,74,428.76984126984127,0.07692307692307693,0.5540540540540541,0.0
mlp,any_run_amp_topology_baseline,154,74,80,97.11688311688312,0.06756756756756757,0.4875,1.0
mlp,all_hierarchical,4310,2155,2155,142.6354988399072,0.08306264501160093,0.6250580046403712,0.9693735498839907
cnn_1d,adjacent_run_amp_topology_baseline,4024,2029,1995,134.9955268389662,0.06604238541153278,0.2832080200501253,1.0
cnn_1d,amp_only,6,0,6,426.0,,0.0,0.0
cnn_1d,amp_topology,126,52,74,428.76984126984127,0.057692307692307696,0.3108108108108108,0.0
cnn_1d,any_run_amp_topology_baseline,154,74,80,97.11688311688312,0.10810810810810811,0.25,1.0
cnn_1d,all_hierarchical,4310,2155,2155,142.6354988399072,0.06728538283062645,0.28213457076566123,0.9693735498839907
residual_tcn_fusion,adjacent_run_amp_topology_baseline,4024,2029,1995,134.9955268389662,0.0625924100542139,0.40601503759398494,1.0
residual_tcn_fusion,amp_only,6,0,6,426.0,,0.0,0.0
residual_tcn_fusion,amp_topology,126,52,74,428.76984126984127,0.057692307692307696,0.3783783783783784,0.0
residual_tcn_fusion,any_run_amp_topology_baseline,154,74,80,97.11688311688312,0.10810810810810811,0.35,1.0
residual_tcn_fusion,all_hierarchical,4310,2155,2155,142.6354988399072,0.06403712296983759,0.40185614849187934,0.9693735498839907
