method,metric,delta_export_minus_reconstructed,pass
pair_median,sigma68_ns,0.0,True
pair_median,full_rms_ns,0.0,True
pair_median,atom_weighted_abs_coverage_error_95,1.9949319973733282e-17,True
pair_median,worst_atom_undercoverage_95,-8.326672684688674e-17,True
traditional_s05d_static_priors,sigma68_ns,0.0,True
traditional_s05d_static_priors,full_rms_ns,0.0,True
traditional_s05d_static_priors,atom_weighted_abs_coverage_error_95,4.358492733391728e-17,True
traditional_s05d_static_priors,worst_atom_undercoverage_95,-8.326672684688674e-17,True
ridge,sigma68_ns,-8.881784197001252e-16,True
ridge,full_rms_ns,0.0,True
ridge,atom_weighted_abs_coverage_error_95,9.215718466126788e-17,True
ridge,worst_atom_undercoverage_95,-5.551115123125783e-17,True
gradient_boosted_trees,sigma68_ns,0.0,True
gradient_boosted_trees,full_rms_ns,0.0,True
gradient_boosted_trees,atom_weighted_abs_coverage_error_95,7.37257477290143e-17,True
gradient_boosted_trees,worst_atom_undercoverage_95,0.0,True
mlp,sigma68_ns,0.0,True
mlp,full_rms_ns,0.0,True
mlp,atom_weighted_abs_coverage_error_95,5.377642775528102e-17,True
mlp,worst_atom_undercoverage_95,0.0,True
cnn_1d,sigma68_ns,0.0,True
cnn_1d,full_rms_ns,0.0,True
cnn_1d,atom_weighted_abs_coverage_error_95,3.469446951953614e-18,True
cnn_1d,worst_atom_undercoverage_95,-5.551115123125783e-17,True
support_gated_cnn_new,sigma68_ns,0.0,True
support_gated_cnn_new,full_rms_ns,7.105427357601002e-15,True
support_gated_cnn_new,atom_weighted_abs_coverage_error_95,2.6020852139652106e-17,True
support_gated_cnn_new,worst_atom_undercoverage_95,0.0,True
extra_trees_s05e_dynamic,sigma68_ns,0.0,True
extra_trees_s05e_dynamic,full_rms_ns,0.0,True
extra_trees_s05e_dynamic,atom_weighted_abs_coverage_error_95,7.19910242530375e-17,True
extra_trees_s05e_dynamic,worst_atom_undercoverage_95,-1.3877787807814457e-17,True
