task,model,alpha,fold,train_seconds,sigma68_ns,n_pair_residuals,learning_rate,hidden,width,n_parameters,train_loss
timing,ridge,0.1,0,0.012397289276123047,1.227419477456705,3018,,,,,
timing,ridge,0.1,1,0.010047435760498047,1.4076508305263813,3534,,,,,
timing,ridge,0.1,2,0.022695302963256836,1.384912721986305,4710,,,,,
timing,ridge,0.1,-1,,1.3399943433231305,0,,,,,
timing,ridge,1.0,0,0.009279727935791016,1.2258498318224493,3018,,,,,
timing,ridge,1.0,1,0.026043415069580078,1.4098363860110645,3534,,,,,
timing,ridge,1.0,2,0.013672113418579102,1.38595636998265,4710,,,,,
timing,ridge,1.0,-1,,1.3405475292720546,0,,,,,
timing,ridge,10.0,0,0.013624906539916992,1.22234211069712,3018,,,,,
timing,ridge,10.0,1,0.01726818084716797,1.4083010333207389,3534,,,,,
timing,ridge,10.0,2,0.03604006767272949,1.3831559109756628,4710,,,,,
timing,ridge,10.0,-1,,1.3379330183311737,0,,,,,
timing,gradient_boosted_trees,,0,0.49016857147216797,1.1001569793710029,3018,0.03,,,,
timing,gradient_boosted_trees,,1,0.43425631523132324,1.224098393017339,3534,0.03,,,,
timing,gradient_boosted_trees,,2,0.40748167037963867,1.131568291708859,4710,0.03,,,,
timing,gradient_boosted_trees,,-1,,1.1519412213657336,0,0.03,,,,
timing,gradient_boosted_trees,,0,0.39731335639953613,1.1313044366519267,3018,0.08,,,,
timing,gradient_boosted_trees,,1,0.45076441764831543,1.2866789438034336,3534,0.08,,,,
timing,gradient_boosted_trees,,2,0.3922464847564697,1.1961181407020829,4710,0.08,,,,
timing,gradient_boosted_trees,,-1,,1.204700507052481,0,0.08,,,,
timing,mlp,,0,2.4998459815979004,1.198975453749941,3018,,32.0,,,
timing,mlp,,1,1.1193089485168457,1.2269004039188236,3534,,32.0,,,
timing,mlp,,2,0.8839061260223389,1.303530647645931,4710,,32.0,,,
timing,mlp,,-1,,1.2431355017715653,0,,32.0,,,
timing,mlp,,0,2.752973794937134,1.165574036623321,3018,,64.0,,,
timing,mlp,,1,4.5918052196502686,1.2509568892162501,3534,,64.0,,,
timing,mlp,,2,2.8291895389556885,1.2057247358717755,4710,,64.0,,,
timing,mlp,,-1,,1.2074185539037823,0,,64.0,,,
timing,cnn,,0,2.4232752323150635,1.1362834743248114,3018,,,8.0,337.0,5.676173210144043
timing,cnn,,1,2.296144485473633,1.3405500276382405,3534,,,8.0,337.0,3.9688496589660645
timing,cnn,,2,1.8294243812561035,1.4261228741267318,4710,,,8.0,337.0,3.9787561893463135
timing,cnn,,-1,,1.3009854586965945,0,,,8.0,,
timing,resnet,,0,3.761190891265869,1.1411951174714439,3018,,,8.0,537.0,1.492883563041687
timing,resnet,,1,3.2620794773101807,1.0678057587943355,3534,,,8.0,537.0,4.88131046295166
timing,resnet,,2,3.012570858001709,1.3603061798311176,4710,,,8.0,537.0,4.547662258148193
timing,resnet,,-1,,1.1897690186989658,0,,,8.0,,
timing,tcn,,0,2.9585797786712646,1.1291175170298142,3018,,,8.0,337.0,5.693885803222656
timing,tcn,,1,2.637495517730713,1.3324719066033843,3534,,,8.0,337.0,3.935011625289917
timing,tcn,,2,2.2860054969787598,1.4314798896920153,4710,,,8.0,337.0,3.9560959339141846
timing,tcn,,-1,,1.2976897711084048,0,,,8.0,,
timing,attention,,0,8.462401866912842,1.1410005599039996,3018,,,8.0,425.0,0.8942176103591919
timing,attention,,1,7.50011420249939,1.3359774776197055,3534,,,8.0,425.0,4.799464225769043
timing,attention,,2,6.570373058319092,1.0900372862514351,4710,,,8.0,425.0,5.734486103057861
timing,attention,,-1,,1.1890051079250468,0,,,8.0,,
timing,gru,,0,13.617835521697998,1.1300549794700054,3018,,,16.0,1249.0,5.833444595336914
timing,gru,,1,13.412874937057495,1.2592987717444957,3534,,,16.0,1249.0,3.944528102874756
timing,gru,,2,9.654640674591064,1.3592270609628463,4710,,,16.0,1249.0,3.875967502593994
timing,gru,,-1,,1.2495269373924491,0,,,16.0,,
