model,n_events,n_pair_residuals,sigma68_ns,ci_low,ci_high,full_rms_ns,delta_vs_analytic_timewalk_ns,delta_ci_low,delta_ci_high,task,cv_sigma68_ns,train_seconds,n_parameters,alpha,learning_rate,hidden,width
mlp,66,198,1.1847333844917132,0.9781021264431857,1.455763587444924,1.3019068365185562,-0.30990669177796293,-0.5287810379978986,0.04166248269315463,timing,1.2074185539037823,83.37419366836548,1664.0,,,64.0,
gradient_boosted_trees,66,198,1.2811162488015553,0.9766843149127385,1.476407462555407,1.2896589216326542,-0.21352382746812082,-0.5320508099542025,0.023099178956202324,timing,1.1519412213657336,0.8601219654083252,26.0,,0.03,,
gru,66,198,1.3009282811828304,1.0374644829271222,1.536232036151324,1.359023632264118,-0.19371179508684566,-0.490459707724447,0.10434127615570786,timing,1.2495269373924491,9.887490272521973,1249.0,,,,16.0
resnet,66,198,1.3192818161289193,1.098572083876138,1.5682530301998092,1.3630089866172428,-0.17535826014075684,-0.4346060073502271,0.13653350134029385,timing,1.1897690186989658,3.7492856979370117,537.0,,,,8.0
cnn,66,198,1.3194211291708302,1.0630303961354668,1.5907909975220311,1.391681965170474,-0.1752189470988459,-0.45125072579448927,0.16874367321932698,timing,1.3009854586965945,4.0638267993927,337.0,,,,8.0
tcn,66,198,1.3235509936239827,1.0427673692732862,1.5793620928564769,1.3716751000653025,-0.17108908264569345,-0.44134240556185383,0.14990272430834628,timing,1.2976897711084048,3.1828243732452393,337.0,,,,8.0
attention,66,198,1.3863346063299935,1.0175229869384732,1.622142670607642,1.4004414099764184,-0.1083054699396826,-0.4701952954704106,0.1896978755153072,timing,1.1890051079250468,14.440264701843262,425.0,,,,8.0
ridge,66,198,1.4428421669311344,1.181721956145659,1.6294903260321005,1.4115887395844882,-0.05179790933854167,-0.3927764805342455,0.2022691873706181,timing,1.3379330183311737,0.05814504623413086,26.0,10.0,,,
analytic_timewalk,66,198,1.494640076269676,1.310928630169312,1.6857449309691173,1.6991283591200679,0.0,0.0,0.0,,,,,,,,
s02_ridge_cfd20,66,198,1.77781251968152,1.521496482646512,2.056250154105353,1.7157724289805303,0.2831724434118439,0.008739544829064541,0.6182956381660072,,,,,,,,
template_phase,66,198,2.889152765080617,2.6391527650806132,3.277183911488386,2.5766948897254753,1.3945126888109407,1.0767090746201098,1.8386651122014301,,,,,,,,
cfd20,66,198,2.9933861916712807,2.693280534358682,3.3797134583572723,2.7426839288126446,1.4987461154016046,1.1549388397710743,1.9570638608019653,,,,,,,,
