sim_run,method,n,balanced_accuracy
0,traditional_bands,537,0.7638355021939052
0,ridge,537,0.9072614879485484
0,gradient_boosted_trees,537,0.9307304502013585
0,mlp,537,0.8408272975897098
0,cnn1d,537,0.5952823525876059
0,hybrid_cnn_tabular,537,0.8909527709322594
1,traditional_bands,542,0.7204437804032179
1,ridge,542,0.9554507165423463
1,gradient_boosted_trees,542,0.9033498844360872
1,mlp,542,0.6727713620411144
1,cnn1d,542,0.6040124182238414
1,hybrid_cnn_tabular,542,0.9031155593039896
2,traditional_bands,498,0.8421343537414966
2,ridge,498,0.8376913265306122
2,gradient_boosted_trees,498,0.9392786281179138
2,mlp,498,0.7965702947845805
2,cnn1d,498,0.6958758503401361
2,hybrid_cnn_tabular,498,0.8656675170068027
3,traditional_bands,500,0.7948576658696952
3,ridge,500,0.8435706814106395
3,gradient_boosted_trees,500,0.9254420701334928
3,mlp,500,0.8193408796573023
3,cnn1d,500,0.5258884987049213
3,hybrid_cnn_tabular,500,0.8441833532576211
4,traditional_bands,525,0.8039836482709715
4,ridge,525,0.8697612939557002
4,gradient_boosted_trees,525,0.860939390147249
4,mlp,525,0.7963219038084512
4,cnn1d,525,0.5617063988653902
4,hybrid_cnn_tabular,525,0.7961946773453469
5,traditional_bands,506,0.8768274853801169
5,ridge,506,0.9550770866560341
5,gradient_boosted_trees,506,0.9343766613503456
5,mlp,506,0.8541832801701223
5,cnn1d,506,0.5216507177033493
5,hybrid_cnn_tabular,506,0.8640517012227539
