run,method,n,bias_frac,res68_frac,mae_mev
44,old_power_law,1911,-0.03900189419423381,0.6084806677535995,6.961938285497584
44,geant4_birks_lookup,1911,-0.016009789425381102,0.04366557622491936,1.1383764986254754
44,ridge,1911,-0.008330704298225003,0.12863002370788001,1.3844152543363533
44,gradient_boosted_trees,1911,-0.005956974751813045,0.06448114216771175,0.8850776268532987
44,mlp,1911,-0.706091736768586,0.7674910466883585,10.089928659330571
44,1d_cnn,1911,-0.20394842120988102,0.2846857574483619,3.332906059030796
44,physics_residual_mlp,1911,0.00047586280413573,0.0693090847741356,0.9832845597792259
45,old_power_law,22999,-0.11235344643345535,0.4959725244731265,7.208757500292895
45,geant4_birks_lookup,22999,-0.01655946839131517,0.04481774655477042,1.1907520201056092
45,ridge,22999,-0.015213575163286391,0.11427560506097972,1.336524357150755
45,gradient_boosted_trees,22999,-0.007940075196911603,0.06514550427436212,0.9158003291205076
45,mlp,22999,-0.7261022292366417,0.7653449519398823,10.849156699687889
45,1d_cnn,22999,-0.20216864369443527,0.2804896175467204,3.5388777180036337
45,physics_residual_mlp,22999,-0.00020736276911409917,0.06978956965095841,1.0083468094962293
46,old_power_law,676,-0.07018027913071787,0.4765496380615686,6.385797390772702
46,geant4_birks_lookup,676,-0.01127704433722905,0.034423437526879944,0.8247892153907044
46,ridge,676,-0.05142065099698988,0.10273258280604287,1.0755903894870003
46,gradient_boosted_trees,676,0.007241440699077683,0.05741110281971628,0.7685011909589229
46,mlp,676,-0.748610324490663,0.781817186329066,10.837873324371676
46,1d_cnn,676,-0.23585134209559525,0.29706808298897475,3.50826513571832
46,physics_residual_mlp,676,-0.021459509979134712,0.06382244118007678,0.8303737028530983
47,old_power_law,5160,-0.12700409423700104,0.4757252768078858,6.711859851154069
47,geant4_birks_lookup,5160,-0.01225782529658558,0.03679790856911235,0.8728905227917872
47,ridge,5160,-0.05059461089271458,0.09940061669274051,1.1188315650663987
47,gradient_boosted_trees,5160,0.0012536483138954023,0.05497465590611756,0.7791145727854294
47,mlp,5160,-0.7488612520199973,0.7821486045822533,11.234631271867073
47,1d_cnn,5160,-0.23825466794186845,0.2916059081396026,3.612024192248114
47,physics_residual_mlp,5160,-0.019558588331796162,0.06051672984290465,0.8245985860680458
48,old_power_law,13175,0.05110972378975491,0.6498010867601046,6.678153191182371
48,geant4_birks_lookup,13175,-0.014262596341095514,0.0425107907080153,1.1564626831336573
48,ridge,13175,-0.005845967358351782,0.1269564212613684,1.3194508778695775
