energy_bin_mev,energy_lo_mev,energy_hi_mev,method,n,median_truth_target_mev,bias_frac,res68_frac,mae_mev,res68_ci95,bias_ci95,mae_mev_ci95
"[0.038, 8.472)",0.03778117155677375,8.47166087604521,old_power_law,66571,4.5472071430113035,2.0154094522751627,3.1667964021555313,9.28595006621592,"[2.8933225454019533, 3.4574264249479794]","[1.8858517381981645, 2.144572925756321]","[9.100330985996035, 9.442510680677763]"
"[0.038, 8.472)",0.03778117155677375,8.47166087604521,geant4_birks_lookup,66571,4.5472071430113035,-0.005236531463566088,0.17363787493149832,1.5208720108214178,"[0.045302280736922676, 0.34476594337143635]","[-0.00765335217173608, -0.0014471443411988533]","[1.2466062299422433, 1.780265742539052]"
"[0.038, 8.472)",0.03778117155677375,8.47166087604521,ridge,66571,4.5472071430113035,0.005234909603865765,0.24537017639700667,1.1130195117906865,"[0.20799069677317045, 0.2956725009157257]","[-0.029616874882922493, 0.02810086746912298]","[1.024213332283327, 1.1886946892923551]"
"[0.038, 8.472)",0.03778117155677375,8.47166087604521,gradient_boosted_trees,66571,4.5472071430113035,0.059721891624125535,0.1377507654042198,0.6157737403653433,"[0.11792368740656528, 0.1608397415007383]","[0.05707354749849569, 0.06189531712597907]","[0.559395974201381, 0.6542176767761682]"
"[0.038, 8.472)",0.03778117155677375,8.47166087604521,mlp,66571,4.5472071430113035,-0.04464366166566124,0.5522119216371746,2.556336088272214,"[0.525956816870591, 0.576030694822617]","[-0.1039839206248786, 0.008581816811675877]","[2.453377971118069, 2.6793309627095665]"
"[0.038, 8.472)",0.03778117155677375,8.47166087604521,1d_cnn,66571,4.5472071430113035,0.12377795326933697,0.4630314108796569,2.1611224692066338,"[0.436412474646223, 0.4893088868015452]","[0.04955645404445661, 0.17525673120064253]","[2.002590827881241, 2.3144522201455517]"
"[0.038, 8.472)",0.03778117155677375,8.47166087604521,transformer,66571,4.5472071430113035,0.1982107515884878,0.37857503820745236,1.4621474905321326,"[0.3536503499359056, 0.41119106469276023]","[0.15110963583965725, 0.23208859290399328]","[1.3778746653172922, 1.5433304776020027]"
"[0.038, 8.472)",0.03778117155677375,8.47166087604521,physics_residual_mlp,66571,4.5472071430113035,0.03239217717172888,0.18186084689040363,0.989554783195889,"[0.11555572578569039, 0.3123952012256683]","[0.021913254932093753, 0.04021986131361616]","[0.8580284587684187, 1.0967721107895003]"
"[8.472, 16.885)",8.47166087604521,16.884817046828253,old_power_law,66566,12.929203199035143,0.060521874336840725,0.21102628875081025,2.2182063397827063,"[0.1943741553684482, 0.22823381136254836]","[0.045874098322321345, 0.07494003245930805]","[2.1855630346779416, 2.2545380015019565]"
"[8.472, 16.885)",8.47166087604521,16.884817046828253,geant4_birks_lookup,66566,12.929203199035143,-0.017648150960052095,0.027196351598621993,0.914140441374924,"[0.026411522724083304, 0.02814078044657199]","[-0.018942850976747142, -0.01654051397688978]","[0.7497777926479011, 1.1053436463570638]"
"[8.472, 16.885)",8.47166087604521,16.884817046828253,ridge,66566,12.929203199035143,0.0146605928688259,0.12188929641581209,1.5168296543334214,"[0.11407139210798176, 0.12941086265937446]","[-0.008125527119643317, 0.036292417686503466]","[1.3825018255168005, 1.6325708830464114]"
"[8.472, 16.885)",8.47166087604521,16.884817046828253,gradient_boosted_trees,66566,12.929203199035143,0.005493762605688865,0.04172899650335342,0.7149183169489075,"[0.038692892872876625, 0.04431087352551036]","[0.0038437031107984533, 0.006997466390543114]","[0.641557476262794, 0.7826150997573728]"
"[8.472, 16.885)",8.47166087604521,16.884817046828253,mlp,66566,12.929203199035143,-0.46754878051818827,0.5794358531926288,6.396186031353947,"[0.5340851527570056, 0.6096205199372386]","[-0.5125279348332532, -0.4075202902667226]","[5.938268483860916, 6.76109347395671]"
"[8.472, 16.885)",8.47166087604521,16.884817046828253,1d_cnn,66566,12.929203199035143,-0.21465559020049418,0.2941600351349096,3.270934314502103,"[0.2645447838181365, 0.31301759389304556]","[-0.243700220708996, -0.17912519674168567]","[3.0190772634329166, 3.513803561015431]"
"[8.472, 16.885)",8.47166087604521,16.884817046828253,transformer,66566,12.929203199035143,0.07064270173897447,0.1537210158432588,1.8179144324857444,"[0.1284105925443978, 0.17344219658238236]","[0.0443873641484979, 0.09661658262973559]","[1.6192784071271566, 2.0290913329179165]"
"[8.472, 16.885)",8.47166087604521,16.884817046828253,physics_residual_mlp,66566,12.929203199035143,-0.002888293576058204,0.04920093073324441,0.8595222415191417,"[0.03728088002132429, 0.056724967728170365]","[-0.011508212212965748, 0.004221796319941326]","[0.7374965241176883, 0.9835957337497093]"
"[16.885, 21.297)",16.884817046828253,21.297208999452813,old_power_law,66574,19.522017635692162,-0.29762859003715814,0.3215237137457113,5.674945959480887,"[0.31587508022437494, 0.3246617958653273]","[-0.3026862773864333, -0.28930864206121754]","[5.518036391651921, 5.782941380765949]"
"[16.885, 21.297)",16.884817046828253,21.297208999452813,geant4_birks_lookup,66574,19.522017635692162,-0.029957560821255287,0.03423506077820838,0.7200361756760643,"[0.033379162841517235, 0.0358570259470736]","[-0.031136696998949442, -0.028705713677323216]","[0.6420398142828596, 0.8528308981827983]"
"[16.885, 21.297)",16.884817046828253,21.297208999452813,ridge,66574,19.522017635692162,-0.027396474259276993,0.07512579783876483,1.2953916054254944,"[0.07258848965536287, 0.08233285792440656]","[-0.041438205735118715, -0.00021672884881685]","[1.1416747221140804, 1.599258583587163]"
"[16.885, 21.297)",16.884817046828253,21.297208999452813,gradient_boosted_trees,66574,19.522017635692162,-0.012109308480159843,0.028121364443844405,0.512142554924083,"[0.026499581136644693, 0.030590483000972262]","[-0.014089983528938187, -0.010374178902933977]","[0.45977109653161186, 0.5870763418763567]"
"[16.885, 21.297)",16.884817046828253,21.297208999452813,mlp,66574,19.522017635692162,-0.4827913593653755,0.533653442178623,9.105715456651046,"[0.5090083399870311, 0.547750890124497]","[-0.49791738130594243, -0.45409565677871494]","[8.234000300942949, 9.635543861736089]"
"[16.885, 21.297)",16.884817046828253,21.297208999452813,1d_cnn,66574,19.522017635692162,-0.2285609894810942,0.25262576264082903,4.318316551977103,"[0.23892019850495394, 0.2642948825767049]","[-0.23719889051755258, -0.20703590474166197]","[3.8361843412912755, 4.606926650742051]"
"[16.885, 21.297)",16.884817046828253,21.297208999452813,transformer,66574,19.522017635692162,0.013689948363612443,0.05466815761045706,1.1661113215235368,"[0.04767683498988729, 0.08405046228746786]","[0.005094665090212933, 0.03140142823092387]","[0.9380247787188973, 1.5398712046200294]"
"[16.885, 21.297)",16.884817046828253,21.297208999452813,physics_residual_mlp,66574,19.522017635692162,-0.016841143910894238,0.04306768157049177,0.7576371867840654,"[0.04146120212286624, 0.045988669700107176]","[-0.02391161775374182, -0.0023879571530503046]","[0.699367957063345, 0.8561652046056999]"
"[21.297, 24.077)",21.297208999452813,24.07708026981923,old_power_law,66568,22.75174669728805,-0.39733380206123836,0.4100078218506049,9.021538217057177,"[0.4083655077694602, 0.41097500556931404]","[-0.3985059446463712, -0.39555603046461735]","[8.975590253616547, 9.049889532109937]"
"[21.297, 24.077)",21.297208999452813,24.07708026981923,geant4_birks_lookup,66568,22.75174669728805,-0.03542935848000353,0.04117014742919851,0.8129035418079901,"[0.040461736282290814, 0.04306703180035058]","[-0.03689609695642467, -0.03394438272002846]","[0.769912016502231, 0.8949748009000196]"
"[21.297, 24.077)",21.297208999452813,24.07708026981923,ridge,66568,22.75174669728805,-0.020606290600419727,0.04842503276390518,1.0615963738566612,"[0.04639830578754691, 0.054807430870993684]","[-0.024476358935425543, -0.011567784790833436]","[0.9557688556189042, 1.3123528756558236]"
"[21.297, 24.077)",21.297208999452813,24.07708026981923,gradient_boosted_trees,66568,22.75174669728805,-0.019675046036075214,0.027862816800628302,0.5263127897131581,"[0.02753516889583551, 0.028655029950087157]","[-0.020372475030580095, -0.019057014144299014]","[0.5106785663771637, 0.5655593127508465]"
